Geneid	0_R1	0_R2	0_R3	30_R1	30_R2	30_R3	60_R1	60_R2	60_R3	Entity	Symbol	is_outlier	outlier_info
gene-VC_RS09270	2012	3397	2652	2534	3563	2617	1694	2004	1287	host	clpP	False	
gene-VC_RS05255	109	161	132	187	272	231	422	411	268	host	gene-VC_RS05255	False	
gene-VC_RS11320	70	122	96	82	141	87	105	117	79	host	gene-VC_RS11320	False	
gene-VC_RS07995	421	615	500	354	492	430	437	453	340	host	vieA	False	
gene-VC_RS14235	104	128	127	348	303	263	511	558	389	host	gene-VC_RS14235	False	
gene-VC_RS14260	416	671	543	469	696	502	524	633	394	host	gene-VC_RS14260	False	
gene-VC_RS12765	358	603	496	514	789	596	686	790	478	host	gene-VC_RS12765	False	
gene-VC_RS12590	620	812	754	1237	1271	1054	1929	2384	1768	host	gene-VC_RS12590	False	
gene-VC_RS05200	329	513	468	783	775	704	1212	1174	897	host	gene-VC_RS05200	False	
gene-VC_RS06560	387	545	522	531	677	538	575	644	412	host	gene-VC_RS06560	False	
gene-VC_RS00845	528	781	620	606	789	604	748	866	566	host	gene-VC_RS00845	False	
gene-VC_RS04850	530	693	689	677	965	802	1162	1141	723	host	yfcE	False	
gene-VC_RS04530	353	440	392	350	429	282	191	188	133	host	gene-VC_RS04530	False	
gene-VC_RS00510	1187	1879	1614	1661	2151	1576	1596	1905	1235	host	polA	False	
gene-VC_RS13210	158	208	179	321	417	282	522	746	417	host	gene-VC_RS13210	False	
gene-VC_RS17115	364	578	511	393	444	387	279	329	263	host	gene-VC_RS17115	False	
gene-VC_RS08275	704	1068	930	549	840	630	429	516	320	host	gene-VC_RS08275	False	
gene-VC_RS00490	327	420	374	573	672	550	268	313	208	host	glpE	False	
gene-VC_RS14360	590	855	782	1132	1311	1216	2565	2735	1921	host	gene-VC_RS14360	False	
gene-VC_RS07930	116	161	129	98	174	121	120	129	80	host	gene-VC_RS07930	False	
gene-VC_RS00260	207	371	300	204	246	194	150	174	106	host	gene-VC_RS00260	False	
gene-VC_RS15810	355	415	322	433	531	439	515	653	420	host	gene-VC_RS15810	False	
gene-VC_RS16510	78	133	130	95	142	105	139	152	95	host	gene-VC_RS16510	False	
gene-VC_RS03835	343	491	389	415	520	408	486	573	396	host	gene-VC_RS03835	False	
gene-VC_RS10305	391	634	523	343	532	396	393	407	225	host	flaG	False	
gene-VC_RS12610	302	534	430	416	625	422	380	440	309	host	gene-VC_RS12610	False	
gene-VC_RS14985	254	397	364	260	412	312	483	544	354	host	gene-VC_RS14985	False	
gene-VC_RS15325	209	213	200	271	417	336	533	566	360	host	gene-VC_RS15325	False	
gene-VC_RS14605	575	809	677	472	584	453	372	434	306	host	gene-VC_RS14605	False	
gene-VC_RS01115	701	963	774	559	1062	616	504	1003	375	host	gene-VC_RS01115	False	
gene-VC_RS09095	406	556	565	536	805	634	657	740	455	host	gene-VC_RS09095	False	
gene-VC_RS06550	150	223	183	196	239	161	158	212	142	host	gene-VC_RS06550	False	
gene-VC_RS09290	385	588	479	262	413	304	190	254	148	host	gene-VC_RS09290	False	
gene-VC_RS17195	119	169	138	134	206	156	231	303	201	host	gene-VC_RS17195	False	
gene-VC_RS12430	1472	2537	1689	1227	2136	1405	888	1178	702	host	rpmD	False	
gene-VC_RS15010	826	1008	929	714	1035	795	453	507	349	host	gene-VC_RS15010	False	
gene-VC_RS05375	902	1223	984	546	779	530	312	379	271	host	oppF	False	
gene-VC_RS05455	1512	2625	1886	939	1617	1035	374	466	764	host	bioB	False	
gene-VC_RS11030	909	1133	1099	675	1026	779	837	2168	644	host	gene-VC_RS11030	False	
gene-VC_RS02005	89	129	105	103	123	120	96	108	100	host	gene-VC_RS02005	False	
gene-VC_RS10935	1201	1533	1270	886	1349	948	622	780	524	host	gene-VC_RS10935	False	
gene-VC_RS12980	301	530	453	565	670	509	641	817	561	host	gene-VC_RS12980	False	
gene-VC_RS09570	296	354	307	265	422	342	297	344	222	host	tsaB	False	
gene-VC_RS02555	1237	1574	1371	1435	1992	1623	1724	3599	1268	host	gene-VC_RS02555	False	
gene-VC_RS08145	460	696	545	299	459	321	261	277	170	host	gene-VC_RS08145	False	
gene-VC_RS17315	326	447	434	431	450	402	518	566	411	host	gene-VC_RS17315	False	
gene-VC_RS17945	1039	1457	1383	1453	1781	1493	1179	1422	924	host	gene-VC_RS17945	False	
gene-VC_RS16595	258	386	349	354	447	332	419	484	313	host	narQ	False	
gene-VC_RS17505	1266	1888	1520	2187	2885	2222	2382	3168	2079	host	gene-VC_RS17505	False	
gene-VC_RS14770	1127	1493	1464	1177	1624	1224	796	961	586	host	gene-VC_RS14770	False	
gene-VC_RS06445	67	97	112	95	123	143	140	116	81	host	nqrM	False	
gene-VC_RS05805	282	413	312	330	471	335	565	732	449	host	gene-VC_RS05805	False	
gene-VC_RS09520	132	164	166	279	259	286	330	323	209	host	yfbR	False	
gene-VC_RS08115	219	369	305	279	468	367	482	539	386	host	pspB	False	
gene-VC_RS08450	1034	1566	1353	1374	1858	1531	1303	1563	1035	host	gene-VC_RS08450	False	
gene-VC_RS06330	615	957	770	677	1186	784	770	1063	573	host	queD	False	
gene-VC_RS17335	457	746	599	651	739	601	534	604	372	host	gene-VC_RS17335	False	
gene-VC_RS19040	218	292	257	260	400	282	576	885	606	host	gene-VC_RS19040	False	
gene-VC_RS13840	1256	1939	1778	1409	1730	1332	1599	1821	1226	host	gene-VC_RS13840	False	
gene-VC_RS09395	125	185	156	212	240	179	251	305	172	host	gene-VC_RS09395	False	
gene-VC_RS17935	728	1265	1050	915	1517	1003	963	1153	702	host	gene-VC_RS17935	False	
gene-VC_RS11405	260	403	379	220	331	244	270	277	167	host	gene-VC_RS11405	False	
gene-VC_RS10375	507	974	660	775	1040	815	874	1158	671	host	gene-VC_RS10375	False	
gene-VC_RS12270	1411	2205	1853	2598	2631	2223	2073	2353	1535	host	ppa	False	
gene-VC_RS04835	549	863	636	528	865	519	296	319	222	host	gene-VC_RS04835	False	
gene-VC_RS13625	1016	1446	1313	734	902	698	685	884	532	host	gene-VC_RS13625	False	
gene-VC_RS17010	934	1251	1165	965	1250	903	905	1057	756	host	gene-VC_RS17010	False	
gene-VC_RS08140	803	1199	1168	651	754	674	492	555	391	host	sapC	False	
gene-VC_RS15305	252	442	375	319	574	466	818	956	603	host	gene-VC_RS15305	False	
gene-VC_RS02380	583	996	816	815	1017	791	850	986	711	host	gene-VC_RS02380	False	
gene-VC_RS03330	237	352	312	312	376	280	330	410	271	host	rimI	False	
gene-VC_RS10055	1905	3027	2335	1338	1859	1272	687	842	568	host	gene-VC_RS10055	False	
gene-VC_RS05695	335	480	453	438	619	489	573	597	406	host	gene-VC_RS05695	False	
gene-VC_RS15730	320	493	393	296	508	376	560	725	443	host	gene-VC_RS15730	False	
gene-VC_RS16755	631	907	758	870	1104	856	927	1052	711	host	torS	False	
gene-VC_RS04435	376	532	494	478	553	500	504	643	341	host	gene-VC_RS04435	False	
gene-VC_RS04990	713	1084	908	830	1059	755	705	833	539	host	gene-VC_RS04990	False	
gene-VC_RS14325	290	428	330	356	502	375	682	735	434	host	gene-VC_RS14325	False	
gene-VC_RS05910	221	230	273	420	404	425	728	695	484	host	gene-VC_RS05910	False	
gene-VC_RS16570	171	257	229	190	320	212	201	248	141	host	gene-VC_RS16570	False	
gene-VC_RS17440	213	334	289	283	339	272	312	412	293	host	gene-VC_RS17440	False	
gene-VC_RS06190	334	420	372	418	632	515	399	486	310	host	gene-VC_RS06190	False	
gene-VC_RS00815	2325	2937	2585	2915	3889	2654	1960	2294	1365	host	gene-VC_RS00815	False	
gene-VC_RS15890	46	122	101	132	145	114	184	215	130	host	pfkB	False	
gene-VC_RS16040	430	652	587	976	1135	1032	1120	1290	893	host	gene-VC_RS16040	False	
gene-VC_RS05105	298	449	385	804	991	708	889	1839	686	host	udk	False	
gene-VC_RS16915	216	378	288	284	395	273	325	384	249	host	glpK	False	
gene-VC_RS02060	1124	1674	1512	849	1213	769	536	728	404	host	gene-VC_RS02060	False	
gene-VC_RS07500	53	59	72	59	94	73	80	110	76	host	gene-VC_RS07500	False	
gene-VC_RS16525	109	178	157	165	212	142	136	133	94	host	gene-VC_RS16525	False	
gene-VC_RS15465	378	495	424	453	686	533	817	1023	708	host	gene-VC_RS15465	False	
gene-VC_RS00390	388	595	540	512	753	531	449	597	319	host	uspB	False	
gene-VC_RS10470	455	612	575	932	1015	877	900	950	705	host	lolB	False	
gene-VC_RS18025	292	400	366	563	602	517	665	810	504	host	gene-VC_RS18025	False	
gene-VC_RS04240	528	721	743	656	973	646	481	449	287	host	gene-VC_RS04240	False	
gene-VC_RS00350	615	939	877	938	1056	955	1081	1233	800	host	gene-VC_RS00350	False	
gene-VC_RS18585	322	480	434	260	347	295	252	268	217	host	gene-VC_RS18585	False	
gene-VC_RS04465	827	1294	1064	1302	1855	1335	1677	2156	1348	host	queF	False	
gene-VC_RS17535	576	784	741	1027	1128	932	1172	1173	836	host	gene-VC_RS17535	False	
gene-VC_RS16025	368	503	455	857	880	857	1615	1808	1306	host	gene-VC_RS16025	False	
gene-VC_RS03670	951	1612	1069	577	1194	688	1136	623	413	host	phoU	False	
gene-VC_RS03650	872	1100	984	898	1166	976	602	734	457	host	ppk1	False	
gene-VC_RS02320	455	645	531	700	1222	826	789	1038	670	host	mutY	False	
gene-VC_RS06575	2113	3332	2604	2453	3046	2391	2087	2669	1609	host	gene-VC_RS06575	False	
gene-VC_RS05850	306	477	391	492	785	545	638	779	483	host	gene-VC_RS05850	False	
gene-VC_RS08710	92	164	126	108	190	148	235	289	170	host	gene-VC_RS08710	False	
gene-VC_RS11105	1003	1391	1073	669	1023	688	553	621	386	host	gene-VC_RS11105	False	
gene-VC_RS03055	1542	2444	2153	1788	2232	1759	1567	1661	1178	host	gene-VC_RS03055	False	
gene-VC_RS12110	455	708	537	266	367	270	74	80	54	host	argF	False	
gene-VC_RS16845	1356	1953	1725	1104	1711	1215	1200	1356	896	host	gene-VC_RS16845	False	
gene-VC_RS00475	509	852	728	743	949	655	498	651	441	host	gene-VC_RS00475	False	
gene-VC_RS04030	364	545	428	461	676	540	588	653	397	host	gene-VC_RS04030	False	
gene-VC_RS07475	528	766	527	874	1154	813	619	848	522	host	gene-VC_RS07475	False	
gene-VC_RS09035	1387	2005	1751	1461	1956	1481	746	967	535	host	gene-VC_RS09035	False	
gene-VC_RS16190	306	339	332	337	445	360	459	586	378	host	gene-VC_RS16190	False	
gene-VC_RS10175	213	364	306	379	493	424	548	665	395	host	gene-VC_RS10175	False	
gene-VC_RS13110	1217	1521	1247	939	1164	929	967	1084	727	host	cysQ	False	
gene-VC_RS02015	1684	2662	2242	2127	2999	2211	1777	2284	1334	host	csrD	False	
gene-VC_RS15335	127	192	169	155	165	182	403	494	310	host	gene-VC_RS15335	False	
gene-VC_RS13610	1488	2017	1668	1651	2457	1717	1892	2686	1581	host	gene-VC_RS13610	False	
gene-VC_RS09540	724	989	966	1198	1518	1194	1514	1620	1026	host	gene-VC_RS09540	False	
gene-VC_RS17870	973	1387	1158	1021	1360	1083	1026	1247	702	host	gene-VC_RS17870	False	
gene-VC_RS09070	668	952	841	1044	1610	1121	973	1290	855	host	gene-VC_RS09070	False	
gene-VC_RS04410	1008	1498	1259	1305	1787	1536	1600	1906	1155	host	ispA	False	
gene-VC_RS13080	605	988	786	925	861	642	333	363	198	host	gene-VC_RS13080	False	
gene-VC_RS07590	51	61	51	80	124	82	167	174	159	host	gene-VC_RS07590	False	
gene-VC_RS17665	641	1080	726	1768	2884	1826	1547	2438	1249	host	gene-VC_RS17665	False	
gene-VC_RS05155	343	509	383	520	866	553	497	621	435	host	gene-VC_RS05155	False	
gene-VC_RS09660	476	599	587	555	709	548	839	896	580	host	pyk	False	
gene-VC_RS07795	352	486	451	344	479	361	343	409	248	host	gene-VC_RS07795	False	
gene-VC_RS17720	325	474	413	422	532	469	736	814	581	host	mlp37	False	
gene-VC_RS02400	812	1231	910	814	1213	847	467	533	384	host	gshB	False	
gene-VC_RS03515	710	955	877	778	1109	842	516	676	396	host	gene-VC_RS03515	False	
gene-VC_RS06405	126	197	174	245	222	173	276	359	265	host	gene-VC_RS06405	False	
gene-VC_RS13940	121	175	183	135	174	136	147	204	88	host	vasJ	False	
gene-VC_RS03115	69	103	93	98	124	106	117	105	56	host	gene-VC_RS03115	False	
gene-VC_RS07145	295	424	358	478	665	513	689	785	499	host	gene-VC_RS07145	False	
gene-VC_RS14720	351	484	479	459	604	514	788	937	644	host	intIA	False	
gene-VC_RS10345	947	1652	1210	1816	1769	1644	2152	2654	1889	host	gene-VC_RS10345	False	
gene-VC_RS12910	941	1422	1254	1333	1588	1288	2875	1632	1107	host	gene-VC_RS12910	False	
gene-VC_RS12770	1332	2057	1816	1737	2379	1649	1363	1668	1129	host	cysE	False	
gene-VC_RS01080	365	561	460	840	1153	952	995	1234	938	host	gene-VC_RS01080	False	
gene-VC_RS14595	158	222	182	252	283	239	357	362	244	host	gene-VC_RS14595	False	
gene-VC_RS01390	273	465	448	322	369	313	248	259	169	host	gene-VC_RS01390	False	
gene-VC_RS14040	322	478	427	330	459	349	358	395	281	host	gene-VC_RS14040	False	
gene-VC_RS05240	502	712	664	795	823	796	1295	1418	1010	host	gene-VC_RS05240	False	
gene-VC_RS02220	234	342	342	439	691	497	614	661	431	host	folA	False	
gene-VC_RS13475	1047	1817	1411	1187	1695	1190	677	913	557	host	gene-VC_RS13475	False	
gene-VC_RS14070	580	768	684	1270	1272	1156	1227	1435	988	host	def	False	
gene-VC_RS09590	356	463	479	432	515	382	388	475	325	host	gene-VC_RS09590	False	
gene-VC_RS17780	181	239	214	233	313	298	275	366	211	host	gene-VC_RS17780	False	
gene-VC_RS10850	60	115	119	109	178	128	118	137	90	host	rnhB	False	
gene-VC_RS10240	97	99	100	70	113	93	76	88	71	host	gene-VC_RS10240	False	
gene-VC_RS10485	914	1229	1177	1192	1743	1265	1177	1430	865	host	pth	False	
gene-VC_RS02070	1345	2112	1686	1921	2955	2014	2119	2880	1491	host	gene-VC_RS02070	False	
gene-VC_RS00785	697	961	848	915	1051	928	1012	1198	804	host	vexR	False	
gene-VC_RS04715	478	751	669	709	819	621	657	734	501	host	rlmH	False	
gene-VC_RS15540	162	215	160	145	240	202	346	434	266	host	gene-VC_RS15540	False	
gene-VC_RS11280	994	1575	1278	1402	1819	1336	1407	1579	987	host	radA	False	
gene-VC_RS16815	330	498	443	542	705	514	1016	1279	798	host	gene-VC_RS16815	False	
gene-VC_RS06660	644	881	802	827	1187	977	1736	2001	1395	host	gene-VC_RS06660	False	
gene-VC_RS09965	1603	2664	2239	2195	3265	2293	2130	2743	1596	host	flhF	False	
gene-VC_RS06215	262	314	290	155	286	201	216	251	125	host	gene-VC_RS06215	False	
gene-VC_RS06100	72	141	109	61	107	88	84	97	67	host	gene-VC_RS06100	False	
gene-VC_RS11785	304	470	427	460	557	434	398	477	324	host	gene-VC_RS11785	False	
gene-VC_RS10735	550	742	710	275	437	337	100	127	89	host	gene-VC_RS10735	False	
gene-VC_RS11870	348	544	493	267	484	358	299	332	187	host	gene-VC_RS11870	False	
gene-VC_RS03195	726	1163	1043	1046	1241	945	875	1062	630	host	dacB	False	
gene-VC_RS13865	577	929	812	1029	1150	1005	1484	1679	1108	host	gene-VC_RS13865	False	
gene-VC_RS04685	640	919	820	1030	1359	1112	1607	1742	1094	host	lipB	False	
gene-VC_RS15935	618	856	705	931	1129	970	1157	1300	857	host	gene-VC_RS15935	False	
gene-VC_RS18435	844	1272	1097	742	1143	785	726	880	595	host	gene-VC_RS18435	False	
gene-VC_RS00250	254	365	287	381	433	357	449	532	265	host	hemF	False	
gene-VC_RS11415	1042	1416	1218	1376	1790	1473	1456	1714	1175	host	arcB	False	
gene-VC_RS07535	259	405	347	375	481	344	568	665	449	host	gene-VC_RS07535	False	
gene-VC_RS04995	400	544	493	404	546	433	409	534	349	host	rsxG	False	
gene-VC_RS06380	226	320	304	259	329	262	265	324	224	host	rimJ	False	
gene-VC_RS10235	1590	2323	2009	2840	3245	2804	2324	2785	1661	host	gene-VC_RS10235	False	
gene-VC_RS00850	527	857	751	795	1027	862	1070	1238	933	host	gene-VC_RS00850	False	
gene-VC_RS11955	2047	2789	2459	1741	2389	1846	1140	1358	982	host	ilvN	False	
gene-VC_RS17750	319	478	463	334	457	406	674	751	460	host	rlmC	False	
gene-VC_RS18565	32	44	50	50	63	44	65	93	66	host	gene-VC_RS18565	False	
gene-VC_RS03415	77	135	143	181	212	171	271	271	221	host	gene-VC_RS03415	False	
gene-VC_RS16655	335	352	416	392	348	444	448	475	301	host	gene-VC_RS16655	False	
gene-VC_RS14090	133	279	244	131	184	123	124	118	83	host	gene-VC_RS14090	False	
gene-VC_RS16135	638	970	797	433	919	599	368	434	244	host	yciH	False	
gene-VC_RS18300	109	164	133	203	284	224	266	298	179	host	gene-VC_RS18300	False	
gene-VC_RS14180	456	766	641	498	751	485	417	498	318	host	gene-VC_RS14180	False	
gene-VC_RS01145	490	754	627	443	588	441	1611	318	247	host	gene-VC_RS01145	False	
gene-VC_RS01650	859	1235	1120	973	1165	998	850	979	669	host	gene-VC_RS01650	False	
gene-VC_RS01455	703	953	884	1126	1593	1274	1147	1289	787	host	gene-VC_RS01455	False	
gene-VC_RS06210	77	98	98	77	108	103	155	193	131	host	gene-VC_RS06210	False	
gene-VC_RS15050	719	807	863	1580	1523	1514	1768	1832	1342	host	gene-VC_RS15050	False	
gene-VC_RS15320	100	133	135	170	239	177	356	439	331	host	gene-VC_RS15320	False	
gene-VC_RS16115	622	1020	818	693	878	684	593	784	476	host	vxrB	False	
gene-VC_RS17755	520	753	735	663	808	681	736	824	531	host	gene-VC_RS17755	False	
gene-VC_RS17895	693	918	812	972	1158	1001	2201	2445	1636	host	gene-VC_RS17895	False	
gene-VPVV882_gp14	792	1031	763	10175	14888	12228	33119	36578	23935	phage	gene-VPVV882_gp14	False	
gene-VC_RS01540	151	216	175	227	272	223	290	306	203	host	gene-VC_RS01540	False	
gene-VC_RS07915	400	630	576	579	776	639	868	984	567	host	gene-VC_RS07915	False	
gene-VC_RS03500	841	1258	1125	862	1025	852	708	834	652	host	gene-VC_RS03500	False	
gene-VC_RS00560	492	866	702	793	1035	749	698	843	474	host	hemC	False	
gene-VC_RS01990	934	1353	1280	1028	1399	1129	979	1059	695	host	gene-VC_RS01990	False	
gene-VC_RS07060	67	71	53	80	104	91	111	135	88	host	zot	False	
gene-VC_RS12205	199	245	209	200	284	194	120	148	76	host	hpf	False	
gene-VC_RS14165	574	841	746	652	837	665	744	748	586	host	gene-VC_RS14165	False	
gene-VC_RS14765	1099	1725	1375	988	1573	1149	844	1200	674	host	gene-VC_RS14765	False	
gene-VC_RS15735	190	252	249	259	360	264	366	456	342	host	gene-VC_RS15735	False	
gene-VC_RS00150	1050	1658	1327	1602	2331	1689	1652	2086	1306	host	gene-VC_RS00150	False	
gene-VC_RS18075	75	94	121	117	151	152	162	214	118	host	gene-VC_RS18075	False	
gene-VC_RS09545	274	456	402	438	490	414	479	628	415	host	rnd	False	
gene-VC_RS11340	697	983	896	902	1260	931	946	1091	755	host	yaaA	False	
gene-VC_RS15580	563	671	658	781	1055	926	2210	2451	1576	host	gene-VC_RS15580	False	
gene-VC_RS09605	421	620	676	481	764	558	336	358	205	host	gene-VC_RS09605	False	
gene-VC_RS06790	859	1355	1041	730	975	648	570	640	471	host	gene-VC_RS06790	False	
gene-VC_RS00515	479	777	651	801	1025	791	776	977	564	host	yihA	False	
gene-VC_RS11135	1086	1546	1379	1592	2308	1702	1536	1830	1117	host	gene-VC_RS11135	False	
gene-VC_RS16730	228	266	224	279	357	274	505	606	377	host	gene-VC_RS16730	False	
gene-VC_RS06820	112	138	111	130	194	143	235	272	161	host	vceC	False	
gene-VC_RS00225	778	1154	977	868	1091	874	731	868	610	host	gene-VC_RS00225	False	
gene-VC_RS13410	1753	2744	2300	1782	2359	1812	1220	1416	1040	host	gene-VC_RS13410	False	
gene-VC_RS10430	221	344	290	248	346	300	288	322	215	host	ybaK	False	
gene-VC_RS00180	401	557	464	627	735	641	571	610	406	host	gene-VC_RS00180	False	
gene-VC_RS14695	120	194	141	144	233	206	210	232	149	host	gene-VC_RS14695	False	
gene-VC_RS15455	469	639	593	494	674	501	625	726	492	host	gene-VC_RS15455	False	
gene-VC_RS15960	640	1051	818	526	882	570	500	573	334	host	gene-VC_RS15960	False	
gene-VC_RS04300	152	226	235	365	387	386	622	674	457	host	gene-VC_RS04300	False	
gene-VC_RS16660	118	191	163	209	243	196	228	276	203	host	fbpC	False	
gene-VC_RS16855	40	28	32	57	72	78	63	83	36	host	gene-VC_RS16855	False	
gene-VC_RS05480	58	68	90	76	80	111	144	153	102	host	gene-VC_RS05480	False	
gene-VC_RS17250	900	1586	990	708	1323	701	314	431	233	host	gene-VC_RS17250	False	
gene-VC_RS11010	783	1187	929	1129	1500	1119	1378	1574	1025	host	gene-VC_RS11010	False	
gene-VC_RS06080	318	456	421	397	504	391	638	718	503	host	btuD	False	
gene-VC_RS16545	696	1202	972	1110	1369	1049	1073	1378	824	host	gene-VC_RS16545	False	
gene-VC_RS17100	249	388	351	277	392	326	320	407	272	host	fabV	False	
gene-VC_RS17855	90	180	157	160	276	231	322	331	199	host	ppiC	False	
gene-VC_RS10095	761	1107	957	1200	1505	1301	1225	1564	969	host	seqA	False	
gene-VC_RS09110	208	294	271	352	400	378	954	974	720	host	gene-VC_RS09110	False	
gene-VC_RS04535	291	400	378	321	362	262	193	172	105	host	gene-VC_RS04535	False	
gene-VC_RS14530	73	99	91	94	123	96	128	137	91	host	gene-VC_RS14530	False	
gene-VC_RS00700	493	660	612	616	776	657	624	738	494	host	fabR	False	
gene-VC_RS13355	160	257	223	257	319	281	280	292	180	host	punC	False	
gene-VC_RS14195	860	1180	1024	1817	2411	1878	1615	1993	1290	host	gene-VC_RS14195	False	
gene-VC_RS17990	151	201	159	221	279	201	271	281	171	host	gene-VC_RS17990	False	
gene-VC_RS05470	465	686	569	354	548	342	181	228	137	host	bioD	False	
gene-VC_RS11400	410	579	465	336	464	344	393	387	232	host	gene-VC_RS11400	False	
gene-VC_RS14430	781	1420	1092	1274	1827	1256	2179	2668	1715	host	vctG	False	
gene-VPVV882_gp30	489	746	575	7314	7271	7116	20488	23240	15232	phage	gene-VPVV882_gp30	False	
gene-VC_RS15510	385	567	515	511	704	531	804	795	679	host	gene-VC_RS15510	False	
gene-VC_RS07465	552	948	678	834	1204	898	612	765	441	host	gene-VC_RS07465	False	
gene-VC_RS13810	404	555	485	408	605	435	469	485	291	host	gene-VC_RS13810	False	
gene-VC_RS10070	1439	2042	1790	1783	2335	1748	1223	1438	942	host	sdhC	False	
gene-VC_RS17630	234	306	276	245	293	190	322	334	196	host	gene-VC_RS17630	False	
gene-VC_RS12580	1271	1712	1603	1593	1789	1533	1626	1841	1290	host	gene-VC_RS12580	False	
gene-VC_RS05735	503	717	661	410	690	480	299	356	236	host	trpB	False	
gene-VPVV882_gp33	356	552	349	1634	1692	1623	5150	5402	3483	phage	gene-VPVV882_gp33	False	
gene-VC_RS11145	177	281	280	270	409	333	350	383	223	host	gene-VC_RS11145	False	
gene-VC_RS15565	359	464	397	429	550	413	772	847	518	host	gene-VC_RS15565	False	
