Geneid	0_R1	0_R2	10_R1	10_R2	35_R1	35_R2	Entity	Symbol	is_outlier	outlier_info
gene-PA2911	29	19	1	1	0	0	host	gene-PA2911	False	
gene-PA5125	18	20	0	0	0	0	host	ntrC	False	
gene-PA2217	9	1	0	0	3	1	host	gene-PA2217	False	
gene-PA2725	11	12	1	1	0	0	host	gene-PA2725	False	
gene-PA1225	7	5	2	1	1	1	host	gene-PA1225	False	
gene-PA2693	4	3	0	0	0	1	host	gene-PA2693	False	
gene-PA5446	6	15	6	2	4	7	host	gene-PA5446	False	
gene-PA3178	5	2	1	2	1	2	host	gene-PA3178	False	
gene-PHIKZ_p52	0	0	8	14	68	82	phage	gene-PHIKZ_p52	False	
gene-PA1692	0	4	0	1	0	0	host	gene-PA1692	False	
gene-PA3198	6	9	0	3	3	1	host	gene-PA3198	False	
gene-PA4966	10	8	0	0	0	0	host	gene-PA4966	False	
gene-PA0025	8	14	0	0	1	1	host	aroE	False	
gene-PA4139	3	4	5	5	1	2	host	gene-PA4139	False	
gene-PA2609	6	4	1	1	1	0	host	gene-PA2609	False	
gene-PA4732	15	18	2	5	6	8	host	pgi	False	
gene-PA3388	11	8	0	0	0	0	host	gene-PA3388	False	
gene-PA1989	12	5	0	0	0	7	host	pqqE	False	
gene-PA0436	16	15	4	2	3	4	host	gene-PA0436	False	
gene-PA3063	21	13	0	0	0	2	host	pelB	False	
gene-PHIKZ001	0	0	141	125	1664	1524	phage	gene-PHIKZ001	False	
gene-PA2494	19	14	2	1	3	2	host	mexF	False	
gene-PA0122	14	7	1	3	2	2	host	gene-PA0122	False	
gene-PA3261	3	6	3	1	1	1	host	gene-PA3261	False	
gene-PA2888	18	2	0	0	0	0	host	atuC	False	
gene-PA0297	13	26	4	6	6	5	host	spuA	False	
gene-PA1667	5	3	2	2	0	0	host	gene-PA1667	False	
gene-PA4383	3	4	0	0	0	1	host	gene-PA4383	False	
gene-PA2631	1	11	0	2	1	0	host	gene-PA2631	False	
gene-PA3260	4	14	0	0	1	1	host	gene-PA3260	False	
gene-PHIKZ010	0	0	2786	2692	2994	2891	phage	gene-PHIKZ010	False	
gene-PA3264	7	5	0	0	1	0	host	gene-PA3264	False	
gene-PA4868	28	6	0	1	1	2	host	ureC	False	
gene-PA0732	3	3	2	3	3	1	host	gene-PA0732	False	
gene-PA4960	22	23	0	0	2	2	host	gene-PA4960	False	
gene-PA2048	1	0	1	2	7	2	host	gene-PA2048	False	
gene-PA4607	6	15	1	1	2	2	host	gene-PA4607	False	
gene-PHIKZ_p40	1	2	728	724	1043	1025	phage	gene-PHIKZ_p40	False	
gene-PA1085	15	8	1	0	1	3	host	flgJ	False	
gene-PA0910	2	0	1	1	0	2	host	gene-PA0910	False	
gene-PA0048	7	1	0	1	0	0	host	gene-PA0048	False	
gene-PA2059	7	2	0	0	0	0	host	gene-PA2059	False	
gene-PA0565	4	1	0	0	0	0	host	gene-PA0565	False	
gene-PA5547	11	11	1	2	1	2	host	gene-PA5547	False	
gene-PA1866a	1	4	0	0	0	0	host	gene-PA1866a	False	
gene-PA4876	7	1	0	1	0	0	host	osmE	False	
gene-PA2450	4	8	0	1	1	3	host	gene-PA2450	False	
gene-PA4452	13	24	0	0	0	0	host	gene-PA4452	False	
gene-PA0627	3	1	2	0	1	2	host	gene-PA0627	False	
gene-PA3490	1	0	0	0	0	0	host	gene-PA3490	False	
gene-PA4587	4	1	5	3	0	0	host	ccpR	False	
gene-PA3095	3	0	0	0	0	2	host	xcpZ	False	
gene-PA1196	8	2	0	0	0	0	host	gene-PA1196	False	
gene-PA3486	24	18	0	0	5	2	host	gene-PA3486	False	
gene-PA2442	3	0	0	0	0	0	host	gcvT2	False	
gene-PA0334	13	10	2	3	4	2	host	gene-PA0334	False	
gene-PA5082	14	4	2	3	0	4	host	gene-PA5082	False	
gene-PA2716	3	4	1	3	2	0	host	gene-PA2716	False	
gene-PA5167	22	7	6	5	8	2	host	gene-PA5167	False	
gene-PA2172	3	2	0	0	1	0	host	gene-PA2172	False	
gene-PA4769	12	28	1	2	0	1	host	gene-PA4769	False	
gene-PA3619	8	8	1	3	0	0	host	gene-PA3619	False	
gene-PA4065	23	8	0	0	1	1	host	gene-PA4065	False	
gene-PA5196	11	4	0	0	0	0	host	gene-PA5196	False	
gene-PA2705	8	9	1	1	0	2	host	gene-PA2705	False	
gene-PA1842	1	4	0	0	0	0	host	gene-PA1842	False	
gene-PA0146	16	4	0	0	1	0	host	gene-PA0146	False	
gene-PA0157	11	4	1	2	6	5	host	gene-PA0157	False	
gene-PHIKZ257	2	1	6895	6520	5510	5304	phage	gene-PHIKZ257	False	
gene-PA0309	3	6	1	0	1	0	host	gene-PA0309	False	
gene-PA2438	5	4	0	0	0	0	host	gene-PA2438	False	
gene-PA2449	10	10	1	1	2	1	host	gene-PA2449	False	
gene-PA3724	16	25	0	0	0	0	host	lasB	False	
gene-PA3734	20	12	0	1	0	1	host	gene-PA3734	False	
gene-PA0391	25	18	2	0	1	1	host	gene-PA0391	False	
gene-PA4183	0	1	0	0	0	0	host	gene-PA4183	False	
gene-PA0740	16	4	0	1	3	5	host	sdsA1	False	
gene-PA2592	7	19	1	2	0	0	host	gene-PA2592	False	
gene-PA1879	0	2	0	0	1	1	host	gene-PA1879	False	
gene-PA0487	4	5	0	0	0	0	host	gene-PA0487	False	
gene-PA0112	16	3	0	0	2	3	host	gene-PA0112	False	
gene-PA2654	12	14	0	1	2	2	host	gene-PA2654	False	
gene-PA2570	2	6	0	0	0	1	host	lecA	False	
gene-PA3269	8	6	0	0	1	0	host	gene-PA3269	False	
gene-PA3511	3	0	0	0	0	0	host	gene-PA3511	False	
gene-PA5269	4	2	1	1	1	1	host	gene-PA5269	False	
gene-PA5440	15	6	0	4	2	5	host	gene-PA5440	False	
gene-PA4559	9	29	0	0	0	0	host	lspA	False	
gene-PA1145	6	4	0	0	1	0	host	gene-PA1145	False	
gene-PA3730	16	10	1	1	2	2	host	gene-PA3730	False	
gene-PA5543	3	1	0	0	1	0	host	gene-PA5543	False	
gene-PA5230	23	8	0	1	2	2	host	gene-PA5230	False	
gene-PA2130	9	5	0	0	1	0	host	cupA3	False	
gene-PA5113	11	9	1	2	1	0	host	gene-PA5113	False	
gene-PA0406	19	20	0	0	1	0	host	tonB3	False	
gene-PHIKZ_p23	0	1	359	304	167	140	phage	gene-PHIKZ_p23	False	
gene-PA2374	4	1	0	1	0	0	host	gene-PA2374	False	
gene-PA2721	2	1	1	0	1	0	host	gene-PA2721	False	
gene-PHIKZ250	1	1	2818	3134	1485	1528	phage	gene-PHIKZ250	False	
gene-PA0206	17	5	0	0	0	1	host	gene-PA0206	False	
gene-PA4150	11	1	0	0	1	2	host	gene-PA4150	False	
gene-PA0447	15	11	2	1	0	2	host	gcdH	False	
gene-PA2027	1	0	0	0	0	0	host	gene-PA2027	False	
gene-PA1200	4	8	0	0	0	1	host	gene-PA1200	False	
gene-PA3912	4	2	0	0	0	0	host	gene-PA3912	False	
gene-PA3943	23	6	1	0	3	1	host	gene-PA3943	False	
gene-PA5293	14	2	0	0	2	1	host	gene-PA5293	False	
gene-PA3530	6	18	1	1	1	2	host	gene-PA3530	False	
gene-PA0460	7	2	0	0	0	1	host	gene-PA0460	False	
gene-PA1693	6	10	1	1	1	0	host	pscR	False	
gene-PA2204	5	3	0	0	0	0	host	gene-PA2204	False	
gene-PA0590	8	14	2	6	10	7	host	apaH	False	
gene-PA3630	9	8	0	1	1	1	host	gfnR	False	
gene-PA3004	9	5	1	0	4	4	host	gene-PA3004	False	
gene-PA3507	3	1	1	0	1	1	host	gene-PA3507	False	
gene-PA2219	5	3	0	0	4	0	host	opdE	False	
gene-PA1217	16	5	0	0	0	0	host	gene-PA1217	False	
gene-PA0424	7	10	1	2	3	3	host	mexR	False	
gene-PA0075	6	3	1	0	1	1	host	pppA	False	
gene-PA0608	7	6	1	3	2	1	host	gene-PA0608	False	
gene-PHIKZ_p05	0	0	51	47	1413	1744	phage	gene-PHIKZ_p05	False	
gene-PA3696	8	3	0	0	5	3	host	gene-PA3696	False	
gene-PA1524	7	5	0	0	0	1	host	xdhA	False	
gene-PHIKZ288	2	2	6151	5823	3836	3654	phage	gene-PHIKZ288	False	
gene-PA4091	13	6	0	0	0	0	host	hpaA	False	
gene-PA3275	4	3	0	0	0	0	host	gene-PA3275	False	
gene-PA3543	5	8	1	0	1	1	host	algK	False	
gene-PA1505	3	8	0	0	0	0	host	moaA2	False	
gene-PA3694	5	4	0	0	0	0	host	gene-PA3694	False	
gene-PA2295	4	3	0	0	1	0	host	gene-PA2295	False	
gene-PA5474	16	10	1	1	0	1	host	gene-PA5474	False	
gene-PA1645	3	2	0	0	0	0	host	gene-PA1645	False	
gene-PA0919	7	12	0	0	0	0	host	gene-PA0919	False	
gene-PA2476	2	3	0	0	0	0	host	dsbG	False	
gene-PA4975	8	4	0	0	2	1	host	gene-PA4975	False	
gene-PA2954	2	3	0	0	0	0	host	gene-PA2954	False	
gene-PA3283	7	2	4	5	1	3	host	gene-PA3283	False	
gene-PA1473	1	1	0	0	0	0	host	gene-PA1473	False	
gene-PA5281	8	5	0	0	0	0	host	gene-PA5281	False	
gene-PA2428	4	2	0	0	2	0	host	gene-PA2428	False	
gene-PA1555.1	2	4	3	6	7	4	host	ccoQ2	False	
gene-PA0552	24	22	5	2	0	0	host	pgk	False	
gene-PA5314	2	7	2	1	0	0	host	gene-PA5314	False	
gene-PA3318	2	2	0	0	0	0	host	gene-PA3318	False	
gene-PA2594	3	6	0	1	0	0	host	gene-PA2594	False	
gene-PA5150	19	13	2	0	2	0	host	gene-PA5150	False	
gene-PA4220	4	2	0	0	0	0	host	gene-PA4220	False	
gene-PA2383	7	2	0	0	0	0	host	gene-PA2383	False	
gene-PA0214	10	1	0	0	0	0	host	gene-PA0214	False	
gene-PA1990	7	2	0	0	4	3	host	pqqH	False	
gene-PA4894	7	0	0	0	0	0	host	gene-PA4894	False	
gene-PA3414	6	2	1	0	0	0	host	gene-PA3414	False	
gene-PA5157	8	4	0	0	0	0	host	gene-PA5157	False	
gene-PA0515	5	3	0	0	0	0	host	gene-PA0515	False	
gene-PA5536	6	2	0	0	0	0	host	gene-PA5536	False	
gene-PA4046	7	6	0	1	2	0	host	gene-PA4046	False	
gene-PA3412	0	1	0	0	0	0	host	gene-PA3412	False	
gene-PA0739	7	3	0	0	0	0	host	gene-PA0739	False	
gene-PA2576	4	2	0	0	2	0	host	gene-PA2576	False	
gene-PA1947	4	6	0	0	1	1	host	rbsA	False	
gene-PA2191	9	20	0	1	3	2	host	exoY	False	
gene-PA1015	9	8	6	3	1	2	host	gene-PA1015	False	
gene-PA0941	3	2	0	1	1	0	host	gene-PA0941	False	
gene-PA0468	7	6	0	0	0	0	host	gene-PA0468	False	
gene-PA1746	1	1	0	0	0	0	host	gene-PA1746	False	
gene-PHIKZ195	0	0	1506	1349	3436	3579	phage	gene-PHIKZ195	False	
gene-PHIKZ_p02	0	0	525	454	498	495	phage	gene-PHIKZ_p02	False	
gene-PA5384	6	1	0	3	0	0	host	gene-PA5384	False	
gene-PA3032	12	11	2	0	1	4	host	snr1	False	
gene-PA4231	7	5	6	4	1	5	host	pchA	False	
gene-PHIKZ_p77	0	0	575	436	166	168	phage	gene-PHIKZ_p77	False	
gene-PA4630	5	5	1	1	1	0	host	gene-PA4630	False	
gene-PA5515	8	13	0	0	0	0	host	gene-PA5515	False	
gene-PA5519	6	8	3	4	3	2	host	gene-PA5519	False	
gene-PA0479	9	1	0	0	0	0	host	gene-PA0479	False	
gene-PA5273	10	3	1	0	1	2	host	gene-PA5273	False	
gene-PA3036	9	3	0	0	0	0	host	gene-PA3036	False	
gene-PA1907	8	2	2	0	0	1	host	gene-PA1907	False	
gene-PA5219	17	6	3	3	2	2	host	gene-PA5219	False	
gene-PA0425	18	27	0	1	3	3	host	mexA	False	
gene-PA4531	2	3	0	0	0	0	host	gene-PA4531	False	
gene-PA2815	10	5	2	2	1	8	host	gene-PA2815	False	
gene-PA3338	0	3	1	0	0	0	host	gene-PA3338	False	
gene-PA2515	3	3	0	0	1	0	host	xylL	False	
gene-PA2874	3	3	0	0	0	0	host	gene-PA2874	False	
gene-PA0536	11	10	0	0	0	0	host	gene-PA0536	False	
gene-PA3263	11	9	3	3	4	1	host	gene-PA3263	False	
gene-PA3927	5	4	2	0	1	1	host	gene-PA3927	False	
gene-PA4588	16	10	0	2	1	1	host	gdhA	False	
gene-PA3206	7	8	0	0	2	2	host	gene-PA3206	False	
gene-PA0774	5	15	0	0	1	0	host	gene-PA0774	False	
gene-PA3956	10	5	0	0	0	1	host	gene-PA3956	False	
gene-PA0028	4	3	0	0	0	0	host	gene-PA0028	False	
gene-PA2071	14	11	2	2	1	1	host	fusA2	False	
gene-PA2338	13	4	2	0	0	0	host	gene-PA2338	False	
gene-PA3249	4	3	0	0	0	0	host	gene-PA3249	False	
gene-PA4110	13	10	0	1	0	0	host	ampC	False	
gene-PA3242	14	19	5	5	2	2	host	gene-PA3242	False	
gene-PA0294	8	4	0	0	1	1	host	aguR	False	
gene-PA2047	3	3	0	0	0	1	host	gene-PA2047	False	
gene-PA2388	4	22	1	1	1	3	host	fpvR	False	
gene-PA3826	1	14	1	1	0	1	host	gene-PA3826	False	
gene-PA2852	4	15	0	0	0	0	host	gene-PA2852	False	
gene-PA4470	11	4	1	0	2	1	host	fumC1	False	
gene-PHIKZ286	0	1	5356	5269	4292	4154	phage	gene-PHIKZ286	False	
gene-PA3936	12	2	0	2	1	2	host	gene-PA3936	False	
gene-PA0556	1	6	0	0	0	0	host	gene-PA0556	False	
gene-PA1354	3	1	0	0	0	0	host	gene-PA1354	False	
gene-PA1657	3	1	0	0	0	0	host	gene-PA1657	False	
gene-PA2137	1	0	0	0	0	0	host	gene-PA2137	False	
gene-PA3560	16	16	0	0	2	3	host	fruA	False	
gene-PA3321	6	3	0	0	1	0	host	gene-PA3321	False	
gene-PA2782	3	3	0	0	1	0	host	gene-PA2782	False	
gene-PA2927	9	4	0	0	4	0	host	gene-PA2927	False	
gene-PA1312	7	3	0	0	1	2	host	gene-PA1312	False	
gene-PA4635a	4	0	0	0	0	0	host	gene-PA4635a	False	
gene-PA3690	15	18	1	1	0	0	host	gene-PA3690	False	
gene-PA4052	7	13	1	1	2	2	host	nusB	False	
gene-PA2089	14	8	0	0	1	3	host	gene-PA2089	False	
gene-PA2941	2	4	0	0	0	0	host	gene-PA2941	False	
gene-PA3255	5	1	0	0	0	0	host	gene-PA3255	False	
gene-PA3243	9	11	3	3	5	6	host	minC	False	
gene-PA1103	7	24	1	2	2	0	host	gene-PA1103	False	
gene-PA4201	9	14	0	0	7	5	host	ddlA	False	
gene-PA1065	3	2	0	0	1	0	host	gene-PA1065	False	
gene-PA3419	10	7	0	0	0	0	host	gene-PA3419	False	
gene-PA4843	28	30	0	1	2	2	host	gene-PA4843	False	
gene-PA1911	6	0	0	0	0	0	host	femR	False	
gene-PHIKZ058	0	0	6115	5992	3296	3233	phage	gene-PHIKZ058	False	
gene-PA3052	5	3	2	2	0	0	host	gene-PA3052	False	
gene-PA4171	5	7	0	0	0	2	host	gene-PA4171	False	
gene-PA3508	6	8	1	0	0	1	host	gene-PA3508	False	
gene-PA0950	3	13	0	0	0	0	host	gene-PA0950	False	
gene-PA4092	8	2	0	0	0	0	host	hpaC	False	
gene-PA0994	19	12	3	2	3	2	host	cupC3	False	
gene-PA3302	8	2	1	1	1	1	host	gene-PA3302	False	
gene-PA3424	12	4	0	0	1	1	host	gene-PA3424	False	
gene-PA0583	4	3	1	1	0	2	host	gene-PA0583	False	
gene-PA2095	3	2	0	0	0	1	host	gene-PA2095	False	
gene-PA3122	4	7	0	0	0	1	host	gene-PA3122	False	
gene-PA3195	10	11	3	1	1	2	host	gapA	False	
gene-PA3494	8	9	2	2	0	0	host	gene-PA3494	False	
gene-PA3872	6	1	0	0	1	2	host	narI	False	
gene-PA3614	13	8	0	1	0	1	host	gene-PA3614	False	
gene-PA0089	13	7	0	0	2	0	host	gene-PA0089	False	
gene-PA3016	2	5	1	0	0	0	host	gene-PA3016	False	
gene-PA2931	3	8	0	0	0	0	host	cifR	False	
gene-PA2710	1	2	0	0	1	0	host	gene-PA2710	False	
gene-PA4174	7	4	1	1	4	1	host	gene-PA4174	False	
gene-PHIKZ287	1	0	1280	1249	2175	2102	phage	gene-PHIKZ287	False	
gene-PA5145	10	5	1	6	5	10	host	gene-PA5145	False	
gene-PA2259	3	1	0	0	0	1	host	ptxS	False	
gene-PA3191	5	4	0	0	0	0	host	gene-PA3191	False	
gene-PA1621	1	1	1	0	1	1	host	gene-PA1621	False	
gene-PA0731	5	4	0	1	2	2	host	gene-PA0731	False	
gene-PA4210	4	0	0	0	1	1	host	phzA1	False	
gene-PA0772	2	12	0	0	0	0	host	recO	False	
gene-PA0778	4	5	3	2	0	6	host	icp	False	
gene-PA4844	24	10	3	3	2	1	host	gene-PA4844	False	
gene-PA1205	7	4	0	1	0	1	host	gene-PA1205	False	
gene-PA3307	8	7	0	0	1	2	host	gene-PA3307	False	
gene-PA1005	6	10	1	1	3	1	host	gene-PA1005	False	
gene-PA1704	2	7	0	0	0	0	host	pcrR	False	
gene-PA1401	5	2	0	0	0	0	host	gene-PA1401	False	
gene-PA1387	5	4	2	6	7	4	host	gene-PA1387	False	
gene-PA3120	4	5	1	0	0	0	host	leuD	False	
gene-PA0386	21	14	0	0	0	0	host	gene-PA0386	False	
gene-PA4152	12	4	0	0	0	0	host	gene-PA4152	False	
gene-PA1038	7	1	0	0	1	1	host	gene-PA1038	False	
gene-PA2835	9	8	0	0	2	4	host	gene-PA2835	False	
gene-PA0758	7	18	0	0	0	1	host	gene-PA0758	False	
gene-PA1836	2	6	1	0	1	2	host	gene-PA1836	False	
gene-PA1270	14	2	0	0	0	2	host	gene-PA1270	False	
gene-PA3564	3	1	0	0	0	0	host	gene-PA3564	False	
gene-PA4436	12	4	1	1	1	1	host	gene-PA4436	False	
gene-PA1511	23	13	2	2	5	7	host	gene-PA1511	False	
gene-PA0086	8	4	0	1	0	0	host	gene-PA0086	False	
gene-PA2454	5	5	0	2	0	1	host	gene-PA2454	False	
gene-PHIKZ112	0	0	1625	1622	1864	1880	phage	gene-PHIKZ112	False	
gene-PA3235	1	12	0	0	0	1	host	gene-PA3235	False	
gene-PA2122	13	1	0	0	2	1	host	gene-PA2122	False	
gene-PA4930	8	7	0	0	0	0	host	alr	False	
gene-PA3129	6	23	0	0	0	0	host	gene-PA3129	False	
gene-PA1106	5	5	0	0	0	0	host	gene-PA1106	False	
gene-PA2312	3	1	0	1	0	0	host	gene-PA2312	False	
gene-PA4849	4	5	0	0	0	0	host	gene-PA4849	False	
gene-PA4215	8	1	0	0	0	0	host	phzF1	False	
gene-PA2127	5	5	0	0	2	0	host	gene-PA2127	False	
gene-PA3477	8	13	2	1	1	0	host	rhlR	False	
gene-PA0506	15	15	0	0	1	0	host	gene-PA0506	False	
gene-PA5090	24	9	0	0	0	0	host	gene-PA5090	False	
gene-PA0186	10	2	1	0	0	0	host	gene-PA0186	False	
gene-PA4390	12	24	3	1	5	2	host	gene-PA4390	False	
gene-PA5185	1	9	3	4	0	0	host	gene-PA5185	False	
gene-PA4770	18	22	4	4	3	3	host	lldP	False	
gene-PA4881	6	4	2	4	2	2	host	gene-PA4881	False	
gene-PA0339	9	1	2	2	3	2	host	gene-PA0339	False	
gene-PA1485	10	1	0	0	0	0	host	gene-PA1485	False	
gene-PA1341	7	4	2	2	1	0	host	gene-PA1341	False	
gene-PA4404	4	26	0	0	4	4	host	gene-PA4404	False	
gene-PHIKZ011	0	0	1373	1454	1532	1542	phage	gene-PHIKZ011	False	
gene-PA1328	6	1	1	0	1	0	host	gene-PA1328	False	
gene-PA1359	6	3	0	0	0	0	host	gene-PA1359	False	
gene-PA2421	8	0	2	3	3	10	host	gene-PA2421	False	
gene-PA2511	4	5	0	0	2	2	host	gene-PA2511	False	
gene-PA4804	13	17	1	1	1	0	host	gene-PA4804	False	
gene-PA2072	12	5	0	0	5	0	host	gene-PA2072	False	
gene-PA4132	14	12	4	2	5	4	host	gene-PA4132	False	
gene-PA3173	6	2	4	5	3	4	host	gene-PA3173	False	
gene-PA5321	15	12	0	1	0	2	host	dut	False	
gene-PA3380	6	2	0	0	0	0	host	gene-PA3380	False	
gene-PA2175	3	3	0	0	1	0	host	gene-PA2175	False	
gene-PA4129	10	6	0	0	0	0	host	gene-PA4129	False	
gene-PA1914	4	5	0	0	0	2	host	gene-PA1914	False	
gene-PA3829	3	2	2	0	1	0	host	gene-PA3829	False	
gene-PA0219	24	4	0	1	0	0	host	gene-PA0219	False	
gene-PA2193	0	2	0	0	0	0	host	hcnA	False	
gene-PA1833a	7	2	1	0	0	0	host	gene-PA1833a	False	
gene-PA2129	6	3	0	0	0	0	host	cupA2	False	
gene-PA4965	7	10	4	2	2	1	host	gene-PA4965	False	
gene-PA3689	3	4	0	0	2	1	host	gene-PA3689	False	
gene-PA4179	19	7	0	0	1	0	host	gene-PA4179	False	
gene-PA2254	3	1	0	0	0	0	host	pvcA	False	
gene-PA2279	3	3	0	0	0	0	host	arsC	False	
gene-PA0037	10	3	0	0	0	0	host	trpI	False	
gene-PHIKZ215	1	0	1469	1649	3400	3071	phage	gene-PHIKZ215	False	
gene-PA1064	3	17	0	0	2	2	host	gene-PA1064	False	
gene-PA4103	18	12	0	0	1	1	host	gene-PA4103	False	
gene-PA0290	22	10	0	1	0	0	host	gene-PA0290	False	
gene-PA1933	18	21	2	3	1	2	host	gene-PA1933	False	
gene-PA4050	8	13	0	0	0	1	host	pgpA	False	
gene-PA3270	5	6	0	0	0	0	host	gene-PA3270	False	
gene-PA0792	18	5	2	1	4	2	host	prpD	False	
gene-PA3404	11	2	1	4	3	3	host	gene-PA3404	False	
gene-PA1952	4	2	0	0	0	0	host	gene-PA1952	False	
gene-PA0358	9	7	1	0	0	0	host	gene-PA0358	False	
gene-PA2960	12	29	0	0	3	3	host	pilZ	False	
gene-PA0519	26	9	5	5	5	4	host	nirS	False	
gene-PA1891	1	0	5	7	0	6	host	gene-PA1891	False	
gene-PA4553	6	7	0	2	1	1	host	pilX	False	
gene-PA1261	4	2	0	0	1	0	host	gene-PA1261	False	
gene-PA4348	8	4	0	1	5	4	host	gene-PA4348	False	
gene-PA0734	2	2	1	0	0	0	host	gene-PA0734	False	
gene-PA2080	6	6	0	0	3	5	host	kynU	False	
gene-PA2568	4	3	1	1	1	0	host	gene-PA2568	False	
gene-PA3840	4	10	1	1	2	1	host	gene-PA3840	False	
gene-PA1146	8	3	0	0	1	0	host	gene-PA1146	False	
gene-PA5447	23	9	2	1	9	7	host	wbpZ	False	
gene-PA2152	19	14	2	2	0	3	host	gene-PA2152	False	
gene-PA1177	1	3	0	0	0	0	host	napE	False	
gene-PA2124	4	2	7	2	3	1	host	gene-PA2124	False	
gene-PA3265	1	1	0	2	0	0	host	gene-PA3265	False	
gene-PA4018	0	5	0	0	0	0	host	gene-PA4018	False	
gene-PA0193	10	4	0	0	0	0	host	gene-PA0193	False	
gene-PA1950	6	3	1	0	0	1	host	rbsK	False	
gene-PA0691	4	1	1	1	2	0	host	gene-PA0691	False	
gene-PA0366	14	8	3	0	4	2	host	gene-PA0366	False	
gene-PA3733a	6	6	0	1	2	3	host	gene-PA3733a	False	
gene-PA3073	9	6	0	0	1	0	host	gene-PA3073	False	
