Geneid	0_R1	0_R2	0_R3	30_R1	30_R2	30_R3	60_R1	60_R2	60_R3	Entity	Symbol	is_outlier	outlier_info
gene-VC_RS14795	427	437	529	477	464	365	557	745	749	host	gene-VC_RS14795	False	
gene-VC_RS02555	1368	1432	2017	1216	1637	1487	1526	1757	2055	host	gene-VC_RS02555	False	
gene-VC_RS03545	1578	1496	2005	1617	1866	1687	1731	2358	2331	host	gene-VC_RS03545	False	
gene-VC_RS10770	977	926	1075	850	1123	911	900	1388	1402	host	gene-VC_RS10770	False	
gene-VC_RS14220	907	1115	1235	1028	1266	1164	2240	1884	2223	host	norR	False	
gene-VC_RS16130	79	63	99	88	120	79	108	161	157	host	gene-VC_RS16130	False	
gene-VC_RS16770	511	598	750	498	613	437	576	736	840	host	pncA	False	
gene-VC_RS08320	232	243	369	247	398	281	491	607	680	host	torR	False	
gene-VC_RS14400	73	75	65	78	92	78	94	137	119	host	gene-VC_RS14400	False	
gene-VC_RS13565	207	214	301	179	271	179	185	240	283	host	gene-VC_RS13565	False	
gene-VC_RS12625	1498	1566	1571	1193	1478	1160	1109	1117	1142	host	gene-VC_RS12625	False	
gene-VC_RS17165	404	344	548	484	576	408	479	628	741	host	gene-VC_RS17165	False	
gene-VC_RS03475	953	1089	1238	788	1016	817	822	910	899	host	gene-VC_RS03475	False	
gene-VC_RS16180	414	500	647	482	800	573	632	753	763	host	gene-VC_RS16180	False	
gene-VC_RS13240	564	612	712	438	571	441	390	524	539	host	glnG	False	
gene-VC_RS02480	487	634	659	669	629	605	591	476	495	host	gene-VC_RS02480	False	
gene-VC_RS14185	772	867	884	706	686	502	465	487	577	host	gene-VC_RS14185	False	
gene-VC_RS18960	79	52	69	49	81	36	49	53	83	host	gene-VC_RS18960	False	
gene-VC_RS00380	575	508	749	410	474	328	222	274	289	host	uspA	False	
gene-VC_RS17750	419	452	556	346	419	314	559	671	720	host	rlmC	False	
gene-VC_RS06870	133	182	186	130	120	87	196	186	210	host	gene-VC_RS06870	False	
gene-VC_RS00570	537	525	618	567	640	539	506	491	532	host	cyaY	False	
gene-VC_RS04145	58	51	78	45	47	52	178	47	48	host	tcpD	False	
gene-VC_RS15700	142	119	178	195	229	227	373	423	555	host	gene-VC_RS15700	False	
gene-VC_RS16700	283	346	428	300	381	359	520	484	555	host	gene-VC_RS16700	False	
gene-VC_RS17225	321	291	434	310	501	475	562	722	740	host	gene-VC_RS17225	False	
gene-VC_RS03550	1466	1841	2095	1331	1896	1417	1483	1752	1867	host	pheA	False	
gene-VC_RS01540	203	206	239	207	296	206	244	318	290	host	gene-VC_RS01540	False	
gene-VC_RS04560	139	120	152	96	106	101	121	177	187	host	vpsB	False	
gene-VC_RS12115	1218	1105	1522	1178	1686	1349	861	1182	1209	host	pyrB	False	
gene-VC_RS15890	81	88	145	105	113	105	176	172	166	host	pfkB	False	
gene-VC_RS08975	1366	2144	2184	1244	1814	1460	1068	1015	1151	host	xthA	False	
gene-VC_RS09350	292	346	362	275	354	250	548	510	573	host	gene-VC_RS09350	False	
gene-VC_RS11930	1048	994	1337	746	843	891	520	767	834	host	gene-VC_RS11930	False	
gene-VC_RS03105	136	194	198	107	202	135	161	199	226	host	gene-VC_RS03105	False	
gene-VC_RS16235	591	658	748	375	510	422	397	486	483	host	gene-VC_RS16235	False	
gene-VC_RS14730	174	148	230	182	184	174	225	249	259	host	gene-VC_RS14730	False	
gene-VC_RS13255	718	747	956	657	1061	975	693	1049	1036	host	gene-VC_RS13255	False	
gene-VC_RS06895	1874	1873	2428	1683	1893	1767	2214	2184	2600	host	gene-VC_RS06895	False	
gene-VC_RS08410	1914	1301	1802	1269	1020	964	359	424	506	host	gene-VC_RS08410	False	
gene-VC_RS16245	507	571	737	432	593	443	431	536	562	host	gene-VC_RS16245	False	
gene-VC_RS16840	2980	2882	3597	2006	2427	2006	1560	2002	2174	host	gene-VC_RS16840	False	
gene-VC_RS08745	145	126	204	142	193	166	246	226	238	host	gene-VC_RS08745	False	
gene-VC_RS12860	2207	2071	2416	2191	2464	1733	1628	2327	2177	host	tpiA	False	
gene-VC_RS07480	702	623	567	878	836	736	584	743	691	host	gene-VC_RS07480	False	
gene-VC_RS03045	803	789	986	725	881	700	824	947	910	host	hrpB	False	
gene-VC_RS10350	1095	1184	1279	969	1160	1047	970	1177	1163	host	dapE	False	
gene-VC_RS00430	365	316	458	288	365	301	216	282	269	host	tatB	False	
gene-VC_RS06435	591	739	1038	565	812	701	960	964	1045	host	carR	False	
gene-VC_RS03210	1018	1003	1175	1192	1378	1095	1058	1190	1364	host	yhbY	False	
gene-VC_RS11695	1682	1633	2049	1530	1797	1442	1708	2007	1993	host	zapD	False	
gene-VC_RS13555	579	596	764	457	642	497	458	521	584	host	gene-VC_RS13555	False	
gene-VC_RS06855	326	308	430	249	319	286	344	473	437	host	gene-VC_RS06855	False	
gene-VC_RS09505	2013	2177	2685	1206	1319	1231	1077	1259	1122	host	menD	False	
gene-VC_RS11330	560	567	777	491	735	592	648	789	841	host	gene-VC_RS11330	False	
gene-VC_RS05575	1387	1548	1753	789	992	807	498	452	563	host	hisA	False	
gene-VC_RS00155	1199	937	1179	1172	1152	942	919	914	1011	host	gene-VC_RS00155	False	
gene-VC_RS00190	1512	1818	2179	1114	1179	946	759	956	973	host	gene-VC_RS00190	False	
gene-VC_RS16070	2529	2102	2471	1380	1972	1885	462	1320	886	host	gene-VC_RS16070	False	
gene-VC_RS08885	213	225	291	286	276	315	264	373	313	host	cydX	False	
gene-VC_RS05685	313	318	457	209	280	212	125	182	162	host	gene-VC_RS05685	False	
gene-VC_RS15085	523	547	730	623	666	582	819	595	646	host	gene-VC_RS15085	False	
gene-VC_RS13355	203	191	240	181	280	212	236	305	307	host	punC	False	
gene-VC_RS10360	748	1054	1062	491	650	573	445	409	471	host	gene-VC_RS10360	False	
gene-VC_RS16945	163	167	244	184	195	136	136	151	167	host	trxC	False	
gene-VC_RS06420	464	484	675	497	622	558	936	1187	1072	host	gene-VC_RS06420	False	
gene-VC_RS01730	1896	1773	2192	1901	2045	1942	1277	1457	1553	host	tsaE	False	
gene-VC_RS12380	1373	1460	1845	1511	1677	1526	1688	1993	2191	host	gene-VC_RS12380	False	
gene-VC_RS02575	882	1050	1116	736	803	572	705	694	801	host	gene-VC_RS02575	False	
gene-VC_RS04665	170	199	264	401	523	434	668	734	775	host	gene-VC_RS04665	False	
gene-VC_RS17955	726	818	701	2287	2400	1874	1525	1634	1931	host	gene-VC_RS17955	False	
gene-VC_RS01920	64	59	86	91	130	107	77	117	107	host	gene-VC_RS01920	False	
gene-VC_RS02080	595	560	724	493	581	448	615	802	728	host	gene-VC_RS02080	False	
gene-VC_RS15955	671	715	907	740	1259	998	951	1430	1508	host	gene-VC_RS15955	False	
gene-VC_RS13675	1389	1396	1720	1176	1308	969	576	816	714	host	gene-VC_RS13675	False	
gene-VC_RS13945	442	548	622	364	421	315	375	371	397	host	tssM	False	
gene-VC_RS14830	294	317	468	295	485	364	367	463	511	host	gene-VC_RS14830	False	
gene-VC_RS10280	1197	1236	1417	995	1289	1134	653	948	843	host	gene-VC_RS10280	False	
gene-VC_RS08185	264	292	341	203	308	224	318	413	370	host	torA	False	
gene-VC_RS09870	1082	1473	1776	761	979	713	766	926	842	host	ccmI	False	
gene-VC_RS10685	344	392	392	863	1071	792	719	871	898	host	gene-VC_RS10685	False	
gene-VC_RS11890	1783	1854	2065	1508	1759	1618	1328	1550	1678	host	nadB	False	
gene-VC_RS16705	1721	1665	2252	1336	1722	1401	847	1064	1094	host	gene-VC_RS16705	False	
gene-VC_RS00085	2942	3225	3688	2247	2803	1979	1737	2124	2200	host	glyS	False	
gene-VC_RS01455	908	931	1091	1008	1302	1090	1050	1396	1348	host	gene-VC_RS01455	False	
gene-VC_RS06795	915	923	1066	746	941	720	474	605	667	host	gene-VC_RS06795	False	
gene-VC_RS17115	531	671	764	422	457	362	319	288	340	host	gene-VC_RS17115	False	
gene-VC_RS12205	260	205	345	195	267	198	121	141	152	host	hpf	False	
gene-VC_RS13765	758	743	1045	645	836	751	877	954	1137	host	gene-VC_RS13765	False	
gene-VC_RS07240	1178	1022	1287	1167	1133	865	857	1298	1207	host	proQ	False	
gene-VC_RS06770	130	195	175	84	92	63	63	60	66	host	gene-VC_RS06770	False	
gene-VC_RS15055	536	555	657	520	643	575	553	683	734	host	gene-VC_RS15055	False	
gene-VC_RS17710	1701	1934	2239	1675	2219	1868	1792	2200	2212	host	gene-VC_RS17710	False	
gene-VC_RS07265	877	966	1143	895	969	760	1155	1263	1427	host	rsmF	False	
gene-VC_RS02435	251	287	312	369	381	311	501	618	558	host	gene-VC_RS02435	False	
gene-VC_RS07485	841	795	722	1189	1429	1036	962	1493	1422	host	gene-VC_RS07485	False	
gene-VC_RS06675	1237	1252	1361	917	1014	735	746	857	833	host	gene-VC_RS06675	False	
gene-VC_RS14605	748	703	888	456	580	413	342	511	494	host	gene-VC_RS14605	False	
gene-VC_RS04235	386	365	401	322	387	312	322	390	407	host	gene-VC_RS04235	False	
gene-VC_RS05230	793	780	1058	925	1212	1025	1021	1264	1328	host	gene-VC_RS05230	False	
gene-VC_RS01645	1600	1779	2269	1052	1120	913	834	798	879	host	gene-VC_RS01645	False	
gene-VC_RS17350	2699	2458	3189	2581	3096	2467	2306	2794	2788	host	gene-VC_RS17350	False	
gene-VC_RS06970	303	244	284	138	136	139	48	64	50	host	gene-VC_RS06970	False	
gene-VC_RS06845	127	128	172	125	130	83	111	110	117	host	hcp-2	False	
gene-VC_RS15800	831	848	1104	743	725	731	918	900	966	host	gene-VC_RS15800	False	
gene-VC_RS14555	122	124	174	110	138	113	113	102	135	host	gene-VC_RS14555	False	
gene-VC_RS06615	1037	1074	1172	807	966	862	574	692	812	host	gene-VC_RS06615	False	
gene-VC_RS13545	288	282	387	257	333	249	300	375	392	host	gene-VC_RS13545	False	
gene-VC_RS16800	187	221	230	158	224	184	173	204	178	host	gene-VC_RS16800	False	
gene-VC_RS06885	598	676	666	500	762	730	332	400	465	host	gene-VC_RS06885	False	
gene-VC_RS08595	108	99	119	83	165	120	159	217	212	host	gene-VC_RS08595	False	
gene-VC_RS16530	271	357	364	251	315	248	301	361	354	host	glpD	False	
gene-VC_RS02355	1275	1519	2251	1411	1482	1175	1205	1189	1119	host	gene-VC_RS02355	False	
gene-VC_RS07070	76	90	126	109	121	93	132	161	150	host	gene-VC_RS07070	False	
gene-VC_RS15825	516	507	691	637	882	943	1282	1563	1834	host	gene-VC_RS15825	False	
gene-VC_RS01130	1023	1059	1356	594	789	622	309	393	415	host	gene-VC_RS01130	False	
gene-VC_RS04640	194	206	200	170	243	184	198	243	276	host	vpsM	False	
gene-VC_RS10695	44	51	89	57	96	50	62	117	108	host	gene-VC_RS10695	False	
gene-VC_RS12765	454	426	571	448	690	466	530	726	819	host	gene-VC_RS12765	False	
gene-VC_RS00185	371	415	514	297	351	309	218	305	319	host	gene-VC_RS00185	False	
gene-VC_RS02770	1212	1327	1567	1067	1329	1236	993	949	1073	host	gene-VC_RS02770	False	
gene-VC_RS08965	448	401	459	364	413	404	360	513	530	host	rsmS	False	
gene-VC_RS07695	270	298	377	160	232	214	236	238	267	host	gene-VC_RS07695	False	
gene-VC_RS13140	281	270	345	205	225	255	197	251	253	host	gspI	False	
gene-VC_RS13950	341	397	460	191	188	152	114	152	145	host	gene-VC_RS13950	False	
gene-VC_RS02495	108	110	139	125	167	84	157	207	192	host	gene-VC_RS02495	False	
gene-VC_RS00465	557	620	822	584	639	506	562	758	716	host	ubiA	False	
gene-VC_RS13435	202	234	304	198	193	176	255	235	282	host	gene-VC_RS13435	False	
gene-VC_RS00425	262	262	344	255	391	276	2091	389	275	host	tatA	False	
gene-VC_RS10135	2532	2700	3421	2492	2492	2090	1959	2034	2288	host	fcrX	False	
gene-VC_RS11040	926	912	1038	858	910	698	658	708	785	host	gene-VC_RS11040	False	
gene-VC_RS07975	263	289	336	223	276	225	330	336	303	host	gene-VC_RS07975	False	
gene-VC_RS00575	547	520	703	528	729	602	324	395	377	host	gene-VC_RS00575	False	
gene-VC_RS07615	256	341	330	286	272	193	315	323	304	host	yqfB	False	
gene-VC_RS13710	724	996	929	451	517	475	735	709	828	host	gene-VC_RS13710	False	
gene-VC_RS15410	142	140	215	196	254	145	251	364	355	host	gene-VC_RS15410	False	
gene-VC_RS04970	881	979	1176	1143	1679	1167	1599	2033	2201	host	gene-VC_RS04970	False	
gene-VC_RS02340	386	381	443	300	456	310	316	351	367	host	gene-VC_RS02340	False	
gene-VC_RS14770	1390	1514	1945	1122	1296	1109	713	780	848	host	gene-VC_RS14770	False	
gene-VC_RS08275	885	957	1153	623	748	618	390	487	546	host	gene-VC_RS08275	False	
gene-VC_RS09905	922	874	1180	816	861	812	823	999	961	host	ccmB	False	
gene-VC_RS12950	462	581	636	504	582	428	556	683	626	host	fieF	False	
gene-VC_RS07125	86	68	96	73	81	86	99	133	118	host	gene-VC_RS07125	False	
gene-VC_RS14550	63	75	107	63	73	44	51	62	64	host	gene-VC_RS14550	False	
gene-VC_RS09285	990	1055	1229	691	883	692	600	718	731	host	gene-VC_RS09285	False	
gene-VC_RS11280	1344	1508	1747	1180	1387	1208	1178	1501	1483	host	radA	False	
gene-VC_RS14020	242	235	290	218	301	232	328	336	397	host	glpQ	False	
gene-VC_RS12755	1091	1297	1628	719	884	591	442	522	490	host	argE	False	
gene-VC_RS01395	30	44	60	57	64	54	83	83	76	host	gene-VC_RS01395	False	
gene-VC_RS06790	1069	1289	1595	695	882	765	520	532	575	host	gene-VC_RS06790	False	
gene-VC_RS04400	245	274	309	255	399	276	386	500	506	host	truC	False	
gene-VC_RS10345	1334	2143	1457	1503	1296	1345	2341	1079	1629	host	gene-VC_RS10345	False	
gene-VC_RS12365	312	374	398	257	303	259	380	375	382	host	gene-VC_RS12365	False	
gene-VC_RS15945	105	102	127	111	109	91	120	191	186	host	gene-VC_RS15945	False	
gene-VC_RS16750	133	130	170	135	129	124	154	218	195	host	pyk	False	
gene-VC_RS01865	1709	1953	2289	1760	1927	1640	1690	1665	2141	host	gene-VC_RS01865	False	
gene-VC_RS13130	648	860	941	452	509	517	1368	461	411	host	gspK	False	
gene-VC_RS05000	1409	1627	1863	958	1055	957	1017	1072	1216	host	rsxD	False	
gene-VC_RS04390	2483	2990	3000	2062	1822	1180	915	840	854	host	gene-VC_RS04390	False	
gene-VC_RS08095	761	872	941	547	666	490	506	634	628	host	vexK	False	
gene-VC_RS05755	1356	1364	1684	679	597	527	208	251	246	host	gene-VC_RS05755	False	
gene-VC_RS05070	338	394	434	290	308	279	482	595	637	host	gene-VC_RS05070	False	
gene-VC_RS11200	125	151	178	133	158	99	139	165	166	host	gene-VC_RS11200	False	
gene-VC_RS16190	393	380	484	363	413	320	417	499	534	host	gene-VC_RS16190	False	
gene-VC_RS08905	747	928	1092	956	1115	874	1281	1227	1311	host	ruvA	False	
gene-VC_RS13330	1127	1153	1474	1023	1178	1045	959	1228	1229	host	gene-VC_RS13330	False	
gene-VC_RS06210	85	107	126	94	87	82	129	130	143	host	gene-VC_RS06210	False	
gene-VC_RS05165	660	767	1031	519	684	477	507	541	598	host	gene-VC_RS05165	False	
gene-VC_RS08445	447	532	675	468	604	468	768	809	848	host	gene-VC_RS08445	False	
gene-VC_RS09595	2488	2725	3152	2306	2697	2651	2331	2846	2803	host	sppA	False	
gene-VC_RS06195	1387	1550	1621	1287	1326	1148	1565	1771	1845	host	gene-VC_RS06195	False	
gene-VC_RS07430	740	731	956	659	750	646	750	840	833	host	gene-VC_RS07430	False	
gene-VC_RS07435	1053	908	1200	1012	950	902	788	849	876	host	gene-VC_RS07435	False	
gene-VC_RS11675	275	278	284	214	248	186	283	303	369	host	pilB	False	
gene-VC_RS15080	384	366	407	540	438	454	695	705	709	host	gene-VC_RS15080	False	
gene-VC_RS07670	1334	1454	1809	1396	1754	1615	924	1342	1426	host	gene-VC_RS07670	False	
gene-VC_RS02105	2125	2530	3223	1637	1892	1518	1103	1396	1452	host	mreC	False	
gene-VPVV882_gp16	1911	1440	1667	10555	11471	10808	31837	28999	30104	phage	gene-VPVV882_gp16	False	
gene-VC_RS01795	320	406	493	282	417	311	592	445	376	host	tusD	False	
gene-VC_RS18750	238	466	370	251	183	172	506	253	382	host	gene-VC_RS18750	False	
gene-VC_RS08725	166	243	216	167	178	130	286	278	313	host	gene-VC_RS08725	False	
gene-VC_RS04645	88	88	104	62	64	66	62	61	74	host	vpsN	False	
gene-VC_RS12725	217	198	245	161	218	191	204	253	308	host	gene-VC_RS12725	False	
gene-VC_RS03125	121	123	142	110	134	95	292	143	125	host	gene-VC_RS03125	False	
gene-VC_RS14630	156	193	188	162	163	188	108	145	171	host	gene-VC_RS14630	False	
gene-VC_RS17170	342	402	496	414	544	492	877	1159	1240	host	gene-VC_RS17170	False	
gene-VC_RS14960	788	893	1155	885	1212	825	1070	1225	1314	host	gene-VC_RS14960	False	
gene-VC_RS04695	2195	2194	2775	1694	1929	1479	1509	2008	1998	host	gene-VC_RS04695	False	
gene-VC_RS04565	107	130	142	136	136	106	160	185	223	host	vpsC	False	
gene-VC_RS17895	937	1143	1269	853	1003	928	1835	1952	2212	host	gene-VC_RS17895	False	
gene-VC_RS14880	320	324	347	213	294	221	381	322	420	host	gene-VC_RS14880	False	
gene-VC_RS05500	528	508	612	428	462	319	303	487	455	host	gene-VC_RS05500	False	
gene-VC_RS02455	1696	1935	2209	1929	2007	2003	2606	2549	2605	host	mscS	False	
gene-VC_RS00985	132	261	269	151	113	130	156	129	148	host	gene-VC_RS00985	False	
gene-VC_RS09075	626	721	736	675	755	558	897	1022	1067	host	gene-VC_RS09075	False	
gene-VC_RS18180	781	855	1000	800	887	784	773	837	823	host	gene-VC_RS18180	False	
gene-VC_RS17270	56	29	61	49	54	34	83	86	112	host	gene-VC_RS17270	False	
gene-VC_RS05060	230	220	211	197	169	141	212	275	226	host	moaD	False	
gene-VC_RS09715	1568	1827	2212	1604	1993	2108	1655	1852	1980	host	pabC	False	
gene-VC_RS07045	711	891	971	720	813	703	1009	927	1006	host	gene-VC_RS07045_gene_rstR	False	
gene-VC_RS00320	240	237	337	158	132	91	32	48	42	host	thiS	False	
gene-VC_RS08590	414	521	683	529	695	554	1062	937	1081	host	siaP	False	
gene-VC_RS10405	257	290	367	215	210	176	121	190	171	host	arsC	False	
gene-VC_RS07195	194	184	244	121	205	198	127	176	232	host	gene-VC_RS07195	False	
gene-VC_RS12730	323	336	366	285	384	283	234	252	282	host	gene-VC_RS12730	False	
gene-VC_RS16535	2037	1973	2300	1413	1683	1328	1133	1237	1146	host	gene-VC_RS16535	False	
gene-VC_RS10660	964	835	1220	1096	1203	887	902	1294	1408	host	gene-VC_RS10660	False	
gene-VC_RS01950	349	51	69	83	137	111	58	160	110	host	gene-VC_RS01950	False	
gene-VC_RS13465	81	81	108	116	122	102	111	165	166	host	gene-VC_RS13465	False	
gene-VC_RS18080	187	193	211	165	160	123	226	245	266	host	gene-VC_RS18080	False	
gene-VC_RS17815	890	1072	1126	644	697	599	534	509	511	host	malF	False	
gene-VC_RS11045	137	194	222	167	207	185	206	272	296	host	dinB	False	
gene-VC_RS07260	936	991	1314	717	777	812	578	721	686	host	gene-VC_RS07260	False	
gene-VC_RS07660	113	155	150	90	122	105	148	222	196	host	gene-VC_RS07660	False	
gene-VC_RS07590	71	81	83	64	110	85	133	191	182	host	gene-VC_RS07590	False	
gene-VC_RS04625	64	83	98	72	84	66	91	96	108	host	gene-VC_RS04625	False	
gene-VC_RS02185	549	645	813	643	737	566	977	992	1038	host	gene-VC_RS02185	False	
gene-VC_RS07470	730	732	710	800	1052	731	597	780	831	host	gene-VC_RS07470	False	
gene-VC_RS02875	2291	2259	2580	2267	2702	2368	2045	2589	2389	host	rpsP	False	
gene-VC_RS09960	1986	2167	2528	1874	1920	1779	1350	1627	1616	host	gene-VC_RS09960	False	
gene-VC_RS00375	1393	1485	1984	1257	1310	1358	1344	1329	1468	host	gene-VC_RS00375	False	
gene-VC_RS10740	229	232	259	250	307	245	229	320	271	host	smrA	False	
gene-VC_RS11945	1420	1452	1600	2002	2226	1914	2001	2431	2423	host	rpiA	False	
gene-VC_RS13625	1299	1559	1678	872	848	731	653	620	653	host	gene-VC_RS13625	False	
gene-VC_RS12500	2621	2165	2863	2425	1993	1506	1460	1804	1614	host	rpsS	False	
gene-VC_RS10145	1882	1940	2046	1712	1906	1618	1747	2091	2187	host	gene-VC_RS10145	False	
gene-VC_RS11310	272	242	341	224	272	238	310	277	321	host	deoA	False	
gene-VC_RS12220	65	76	88	57	82	56	76	142	99	host	gene-VC_RS12220	False	
gene-VC_RS16810	94	91	119	82	119	74	158	210	190	host	gene-VC_RS16810	False	
gene-VC_RS15115	706	898	1205	695	1039	897	894	1013	1139	host	gene-VC_RS15115	False	
gene-VC_RS08115	326	297	400	379	382	336	429	481	498	host	pspB	False	
gene-VC_RS16110	1611	1830	2202	1313	1408	1269	1416	1414	1686	host	vxrA	False	
gene-VC_RS04580	313	352	478	384	434	326	480	596	607	host	vpsF	False	
gene-VC_RS16645	113	120	142	74	110	100	103	117	113	host	gene-VC_RS16645	False	
gene-VC_RS00620	513	478	540	445	555	452	303	457	438	host	gene-VC_RS00620	False	
gene-VC_RS00395	632	632	840	579	792	660	1841	762	768	host	gene-VC_RS00395	False	
gene-VC_RS04600	362	416	506	258	392	281	296	287	349	host	vpsj	False	
gene-VC_RS02400	1115	1074	1265	1067	1026	733	522	506	565	host	gshB	False	
gene-VC_RS06180	2325	3343	2831	2430	2363	2576	2264	1810	1960	host	gene-VC_RS06180	False	
gene-VC_RS10755	513	470	537	593	604	522	1363	543	503	host	upp	False	
gene-VC_RS15170	234	284	351	244	262	229	273	337	365	host	gene-VC_RS15170	False	
gene-VC_RS11265	771	817	944	561	607	537	570	578	598	host	gene-VC_RS11265	False	
gene-VC_RS05455	2265	2397	2443	1347	1350	1014	425	466	465	host	bioB	False	
gene-VC_RS08755	59	52	65	48	101	62	62	102	90	host	gene-VC_RS08755	False	
