Geneid	5_R1	5_R2	15_R1	15_R2	35_R1	35_R2	Entity	Symbol	is_outlier	outlier_info
gene-PA2942	14	7	3	5	2	7	host	gene-PA2942	False	
gene-PA5209	17	15	5	7	3	9	host	gene-PA5209	False	
gene-PA3326	10	2	2	5	2	2	host	gene-PA3326	False	
gene-PA1907	7	9	4	7	0	7	host	gene-PA1907	False	
gene-PA5331	18	14	4	7	6	9	host	pyrE	False	
gene-PA5425	26	21	10	6	2	10	host	purK	False	
gene-PA4156	17	30	3	20	3	11	host	gene-PA4156	False	
gene-PA1551	20	20	7	9	4	8	host	gene-PA1551	False	
gene-PA3587	5	5	2	9	2	4	host	metR	False	
gene-PA2194	7	3	2	3	1	4	host	hcnB	False	
gene-PA4570	7	2	3	3	0	1	host	gene-PA4570	False	
gene-PA1746	4	1	1	1	0	0	host	gene-PA1746	False	
gene-PA2153	15	6	4	14	0	7	host	glgB	False	
gene-PA2817	18	12	4	4	1	3	host	gene-PA2817	False	
gene-PA1695	24	8	1	8	1	7	host	pscP	False	
gene-PA0573	2	2	0	3	0	0	host	gene-PA0573	False	
gene-PA4677	6	8	2	6	1	2	host	gene-PA4677	False	
gene-PA4543	12	12	3	0	1	3	host	gene-PA4543	False	
gene-PA3797	10	8	0	2	2	8	host	gene-PA3797	False	
gene-PA1594	3	3	0	3	1	2	host	gene-PA1594	False	
gene-PA1636	12	17	1	9	1	4	host	kdpD	False	
gene-PA2003	4	5	1	1	1	3	host	bdhA	False	
gene-PA3947	14	9	5	6	2	8	host	rocR	False	
gene-PA1211	4	3	0	2	2	3	host	gene-PA1211	False	
gene-PA2382	11	8	1	2	1	6	host	lldA	False	
gene-PA2602	1	6	3	1	1	3	host	gene-PA2602	False	
gene-PA0967	18	13	8	7	3	5	host	ruvB	False	
gene-PA1285	12	6	4	4	2	2	host	gene-PA1285	False	
gene-PHIKZ_p63	14	7	139	68	9	78	phage	gene-PHIKZ_p63	False	
gene-PA1464	13	16	2	9	1	12	host	gene-PA1464	False	
gene-PA2044	16	16	3	7	3	12	host	gene-PA2044	False	
gene-PHIKZ001	5	6	89	78	19	97	phage	gene-PHIKZ001	False	
gene-PHIKZ219	30	34	103	74	13	169	phage	gene-PHIKZ219	False	
gene-PA2368	3	0	1	0	0	1	host	gene-PA2368	False	
gene-PA4050	14	18	3	11	3	8	host	pgpA	False	
gene-PA4006	23	23	7	9	0	3	host	nadD	False	
gene-PA0836.1	1	0	1	0	0	2	host	gene-PA0836.1	False	
gene-PA1375	20	11	3	0	1	4	host	pdxB	False	
gene-PA1738	7	3	1	4	4	4	host	gene-PA1738	False	
gene-PA0181	16	17	3	8	0	9	host	gene-PA0181	False	
gene-PA5111	14	8	3	10	5	2	host	gloA3	False	
gene-PA0127	3	5	3	6	0	7	host	gene-PA0127	False	
gene-PA3828	30	20	13	15	4	8	host	gene-PA3828	False	
gene-PA1579	11	14	6	8	3	8	host	gene-PA1579	False	
gene-PA2444	8	10	2	4	3	9	host	glyA2	False	
gene-PHIKZ106	160	125	47	26	10	79	phage	gene-PHIKZ106	False	
gene-PA1351	6	9	4	5	2	0	host	gene-PA1351	False	
gene-PA5230	15	15	5	4	1	7	host	gene-PA5230	False	
gene-PA0871	9	3	2	3	0	5	host	phhB	False	
gene-PA2748	3	2	0	3	1	1	host	gene-PA2748	False	
gene-PHIKZ277	59	58	128	82	15	118	phage	gene-PHIKZ277	False	
gene-PA1671	3	4	4	3	2	1	host	stk1	False	
gene-PA1084	28	16	3	9	3	4	host	flgI	False	
gene-PA0746	6	4	3	4	0	5	host	gene-PA0746	False	
gene-PA1172	3	4	1	3	1	2	host	napC	False	
gene-PA5548	18	11	6	7	0	9	host	gene-PA5548	False	
gene-PA0068	10	5	3	6	2	4	host	gene-PA0068	False	
gene-PA2785	0	1	1	0	0	2	host	gene-PA2785	False	
gene-PA5514	9	7	2	9	2	5	host	gene-PA5514	False	
gene-PA5277	21	29	10	17	7	11	host	lysA	False	
gene-PA3702	17	5	6	8	1	7	host	wspR	False	
gene-PA0160	9	6	1	5	2	2	host	gene-PA0160	False	
gene-PA0271	2	2	2	1	2	2	host	gene-PA0271	False	
gene-PA2616	28	20	12	8	4	10	host	trxB1	False	
gene-PA4183	2	0	1	0	1	3	host	gene-PA4183	False	
gene-PA3098	8	2	1	2	0	1	host	xcpW	False	
gene-PA2868	4	2	0	2	0	4	host	gene-PA2868	False	
gene-PA3570	12	11	4	11	0	5	host	mmsA	False	
gene-PA3466	16	14	7	7	4	10	host	gene-PA3466	False	
gene-PA0558	10	2	0	4	4	3	host	gene-PA0558	False	
gene-PA4145a	7	4	1	5	0	5	host	gene-PA4145a	False	
gene-PA3040	6	5	10	0	3	5	host	gene-PA3040	False	
gene-PA5518	29	20	10	12	2	16	host	gene-PA5518	False	
gene-PA0132	24	19	7	13	1	14	host	gene-PA0132	False	
gene-PA1347	4	8	2	5	0	5	host	gene-PA1347	False	
gene-PA5018	17	8	3	4	3	1	host	msrA	False	
gene-PA1239	4	7	1	6	0	0	host	gene-PA1239	False	
gene-PA3021	4	4	1	5	0	4	host	gene-PA3021	False	
gene-PA1128	10	3	2	6	4	2	host	gene-PA1128	False	
gene-PA1342	18	10	10	10	2	8	host	gene-PA1342	False	
gene-PA0488	3	2	0	0	0	0	host	gene-PA0488	False	
gene-PA4034	2	1	0	6	1	7	host	aqpZ	False	
gene-PA3374	13	9	1	2	0	6	host	gene-PA3374	False	
gene-PA2492	14	12	4	9	6	5	host	mexT	False	
gene-PA3977	27	16	10	9	2	9	host	hemL	False	
gene-PA2465	10	8	0	6	0	5	host	gene-PA2465	False	
gene-PA4349	10	1	1	8	2	4	host	gene-PA4349	False	
gene-PA2077	15	8	1	7	1	1	host	gene-PA2077	False	
gene-PA1702	6	7	2	1	0	1	host	gene-PA1702	False	
gene-PA1248	8	9	4	9	2	7	host	aprF	False	
gene-PA1899	3	5	1	2	0	1	host	phzA2	False	
gene-PA2418	5	8	6	5	0	2	host	gene-PA2418	False	
gene-PA3551	13	12	6	7	1	1	host	algA	False	
gene-PA4114	7	14	4	7	0	3	host	gene-PA4114	False	
gene-PA0658	3	4	2	1	0	4	host	gene-PA0658	False	
gene-PA1757	7	8	6	8	1	4	host	thrH	False	
gene-PA1414	1	3	4	0	0	0	host	gene-PA1414	False	
gene-PA1797a	2	4	6	1	1	3	host	gene-PA1797a	False	
gene-PA2438	2	6	1	3	0	1	host	gene-PA2438	False	
gene-PA4495	9	7	2	2	4	12	host	gene-PA4495	False	
gene-PA0313	10	8	1	10	3	7	host	gene-PA0313	False	
gene-PA0950	7	8	6	5	4	0	host	gene-PA0950	False	
gene-PA5384	3	5	1	4	0	7	host	gene-PA5384	False	
gene-PA2188	8	5	3	5	1	5	host	gene-PA2188	False	
gene-PA3116	16	13	4	9	4	7	host	gene-PA3116	False	
gene-PA1662	9	10	5	10	0	13	host	gene-PA1662	False	
gene-PA2429	0	5	0	0	0	1	host	gene-PA2429	False	
gene-PA3848	15	6	6	5	2	7	host	gene-PA3848	False	
gene-PA0423	32	18	13	14	5	9	host	pasP	False	
gene-PA4409	22	24	7	16	5	12	host	ftsQ	False	
gene-PA2519	2	4	4	2	0	3	host	xylS	False	
gene-PHIKZ218	3	6	146	88	48	164	phage	gene-PHIKZ218	False	
gene-PA0682	3	2	1	1	1	4	host	gene-PA0682	False	
gene-PA1408	15	13	3	8	0	12	host	gene-PA1408	False	
gene-PA2403	16	15	2	15	0	7	host	gene-PA2403	False	
gene-PHIKZ_p36	31	34	10	12	3	30	phage	gene-PHIKZ_p36	False	
gene-PA4772	20	27	4	12	1	18	host	gene-PA4772	False	
gene-PA3129	19	11	7	7	0	5	host	gene-PA3129	False	
gene-PA5159	11	12	2	11	4	10	host	gene-PA5159	False	
gene-PA4771	13	8	5	12	1	10	host	lldD	False	
gene-PA5295	29	20	6	9	4	16	host	gene-PA5295	False	
gene-PA4596	2	3	1	8	1	4	host	gene-PA4596	False	
gene-PA1844	1	4	0	1	0	1	host	gene-PA1844	False	
gene-PA1730	9	12	2	10	1	11	host	gene-PA1730	False	
gene-PA5397	3	1	1	6	0	2	host	gene-PA5397	False	
gene-PA0764	17	28	3	4	5	5	host	mucB	False	
gene-PA4916	12	10	4	5	1	4	host	gene-PA4916	False	
gene-PA3675	12	7	3	7	1	4	host	gene-PA3675	False	
gene-PA0484	7	4	2	4	2	4	host	gene-PA0484	False	
gene-PA2864	6	6	1	6	1	4	host	gene-PA2864	False	
gene-PA1402	3	2	1	5	0	4	host	gene-PA1402	False	
gene-PA4681	11	2	0	4	2	6	host	gene-PA4681	False	
gene-PA3384	3	5	1	3	1	7	host	phnC	False	
gene-PA5071	8	12	1	3	0	4	host	gene-PA5071	False	
gene-PA1846	30	21	7	15	4	14	host	cti	False	
gene-PA2011	10	5	0	3	1	5	host	liuE	False	
gene-PA4107	13	4	1	5	0	0	host	gene-PA4107	False	
gene-PHIKZ_p33	42	42	23	11	4	26	phage	gene-PHIKZ_p33	False	
gene-PA0443	18	17	7	12	2	9	host	gene-PA0443	False	
gene-PA2736	12	11	4	8	1	1	host	gene-PA2736	False	
gene-PHIKZ208	96	106	440	286	41	270	phage	gene-PHIKZ208	False	
gene-PA1042	4	1	0	0	1	2	host	gene-PA1042	False	
gene-PHIKZ_p08	22	19	134	82	94	391	phage	gene-PHIKZ_p08	False	
gene-PA4231	8	14	2	13	0	10	host	pchA	False	
gene-PA2333	11	9	2	11	3	6	host	gene-PA2333	False	
gene-PA2709	5	7	4	4	4	6	host	cysK	False	
gene-PA4384	5	8	1	2	2	3	host	gene-PA4384	False	
gene-PHIKZ289	73	62	111	48	7	147	phage	gene-PHIKZ289	False	
gene-PA2350	7	5	0	7	1	3	host	gene-PA2350	False	
gene-PA3376	4	8	2	6	1	3	host	gene-PA3376	False	
gene-PA2576	3	2	1	0	0	2	host	gene-PA2576	False	
gene-PA1864	3	3	0	4	0	2	host	gene-PA1864	False	
gene-PA1599	5	6	1	5	0	2	host	gene-PA1599	False	
gene-PA1038	3	2	0	0	0	3	host	gene-PA1038	False	
gene-PA5075	18	9	4	5	3	11	host	gene-PA5075	False	
gene-PA4905	9	6	3	2	0	5	host	vanB	False	
gene-PA4690a	8	4	7	4	1	8	host	gene-PA4690a	False	
gene-PA1990	17	9	1	10	1	6	host	pqqH	False	
gene-PA1071	8	6	1	1	0	3	host	braF	False	
gene-PA4203	8	5	4	3	0	2	host	gene-PA4203	False	
gene-PA5502	25	6	4	5	5	3	host	gene-PA5502	False	
gene-PA2371	10	20	2	3	2	6	host	gene-PA2371	False	
gene-PA2312	12	8	0	2	0	2	host	gene-PA2312	False	
gene-PA1307	20	10	2	1	2	3	host	gene-PA1307	False	
gene-PA4312	9	6	3	3	1	3	host	gene-PA4312	False	
gene-PA0018	22	11	4	7	2	10	host	fmt	False	
gene-PA3493	10	4	4	3	1	4	host	gene-PA3493	False	
gene-PA3537	20	15	5	7	4	7	host	argF	False	
gene-PA0279	8	6	5	3	1	3	host	gene-PA0279	False	
gene-PA0231	4	14	1	3	0	3	host	pcaD	False	
gene-PA0101	7	10	5	1	1	10	host	gene-PA0101	False	
gene-PHIKZ157	18	11	80	58	210	797	phage	gene-PHIKZ157	False	
gene-PA1720	12	12	1	0	0	1	host	pscG	False	
gene-PA1964	29	18	4	9	4	7	host	gene-PA1964	False	
gene-PA3990	8	4	3	6	1	2	host	gene-PA3990	False	
gene-PA1096	7	5	8	9	3	7	host	gene-PA1096	False	
gene-PA1083	12	8	2	2	0	6	host	flgH	False	
gene-PA2242	14	10	2	3	1	4	host	pslL	False	
gene-PA0184	12	15	4	9	1	8	host	gene-PA0184	False	
gene-PA2936	2	2	3	5	0	3	host	gene-PA2936	False	
gene-PA3396	3	5	1	2	1	3	host	nosL	False	
gene-PHIKZ_p82	2	5	1	5	0	16	phage	gene-PHIKZ_p82	False	
gene-PA4585	6	1	0	5	1	10	host	rtcA	False	
gene-PA3393	13	11	3	10	1	6	host	nosD	False	
gene-PA2644	9	9	4	6	0	4	host	nuoI	False	
gene-PHIKZ293	0	2	201	113	14	64	phage	gene-PHIKZ293	False	
gene-PA0356	8	7	5	4	3	9	host	gene-PA0356	False	
gene-PA3072	5	1	0	1	1	0	host	gene-PA3072	False	
gene-PA3721	6	8	3	3	1	4	host	nalC	False	
gene-PA1887	6	4	2	2	2	0	host	gene-PA1887	False	
gene-PA4052	16	20	6	8	0	5	host	nusB	False	
gene-PA4405	6	8	2	8	0	4	host	gene-PA4405	False	
gene-PA5394	21	14	3	8	6	14	host	cls	False	
gene-PA0165	33	21	12	12	3	11	host	gene-PA0165	False	
gene-PA3101	10	7	0	4	0	7	host	xcpT	False	
gene-PHIKZ291	66	55	61	40	6	137	phage	gene-PHIKZ291	False	
gene-PA1134	1	2	1	1	3	1	host	gene-PA1134	False	
gene-PA1489	3	9	4	2	1	6	host	gene-PA1489	False	
gene-PA5124	10	13	4	9	1	4	host	ntrB	False	
gene-PA1270	15	12	2	11	3	14	host	gene-PA1270	False	
gene-PA2891	14	4	3	7	2	11	host	atuF	False	
gene-PA0739	9	6	1	3	3	9	host	gene-PA0739	False	
gene-PA0646	8	10	4	3	3	7	host	gene-PA0646	False	
gene-PA5004	26	30	10	16	1	15	host	gene-PA5004	False	
gene-PA4477	26	17	9	6	7	9	host	cafA	False	
gene-PA0592	13	13	7	4	1	9	host	ksgA	False	
gene-PA2150	10	5	1	4	1	3	host	gene-PA2150	False	
gene-PA2901	14	6	6	8	3	4	host	gene-PA2901	False	
gene-PA0897	24	17	3	7	1	6	host	aruG	False	
gene-PA0714	2	4	1	0	0	2	host	gene-PA0714	False	
gene-PA5002	34	24	11	14	2	12	host	gene-PA5002	False	
gene-PHIKZ204	12	11	29	28	6	79	phage	gene-PHIKZ204	False	
gene-PA2928	13	7	3	12	2	3	host	gene-PA2928	False	
gene-PA2238	6	3	4	4	0	2	host	pslH	False	
gene-PA2838	2	2	0	1	1	4	host	gene-PA2838	False	
gene-PA0327	11	8	3	16	2	7	host	gene-PA0327	False	
gene-PA0186	13	4	3	4	4	2	host	gene-PA0186	False	
gene-PA0243	14	8	3	10	2	9	host	gene-PA0243	False	
gene-PA1207	18	19	5	13	2	11	host	kefB	False	
gene-PA2596	4	4	0	2	0	3	host	gene-PA2596	False	
gene-PA1642	11	10	5	10	3	3	host	selD	False	
gene-PA2407	10	9	1	6	0	7	host	gene-PA2407	False	
gene-PA4629	13	8	3	4	1	10	host	gene-PA4629	False	
gene-PA1243	28	20	4	16	2	7	host	gene-PA1243	False	
gene-PA0502	9	12	2	4	2	3	host	gene-PA0502	False	
gene-PA0378	12	12	1	8	0	7	host	gene-PA0378	False	
gene-PA0790	4	2	0	5	0	7	host	gene-PA0790	False	
gene-PA5409	6	8	1	4	0	6	host	gene-PA5409	False	
gene-PA3600	0	1	1	2	0	0	host	gene-PA3600	False	
gene-PA0966	16	13	8	11	4	6	host	ruvA	False	
gene-PA4392	3	2	0	1	3	1	host	gene-PA4392	False	
gene-PHIKZ201	14	14	165	99	82	666	phage	gene-PHIKZ201	False	
gene-PA1700	8	2	2	1	0	0	host	gene-PA1700	False	
gene-PA1607	7	5	5	4	2	10	host	gene-PA1607	False	
gene-PA1352	4	5	2	2	0	4	host	gene-PA1352	False	
gene-PA2122	11	7	3	6	3	6	host	gene-PA2122	False	
gene-PA4539	12	10	5	9	4	9	host	gene-PA4539	False	
gene-PA4624	17	10	3	14	3	12	host	gene-PA4624	False	
gene-PA0810	5	8	1	3	1	1	host	gene-PA0810	False	
gene-PA1637	10	7	1	3	2	3	host	kdpE	False	
gene-PA1908	6	4	2	5	2	3	host	gene-PA1908	False	
gene-PA3580	34	11	9	10	3	3	host	gene-PA3580	False	
gene-PHIKZ_p67	4	4	8	10	2	19	phage	gene-PHIKZ_p67	False	
gene-PA2130	16	13	3	9	2	6	host	cupA3	False	
gene-PHIKZ040	26	25	159	77	15	99	phage	gene-PHIKZ040	False	
gene-PA1220	8	12	2	4	0	9	host	gene-PA1220	False	
gene-PA1544	34	22	7	4	7	3	host	anr	False	
gene-PA2877	3	5	3	1	1	5	host	gene-PA2877	False	
gene-PA2055	4	3	3	5	0	3	host	gene-PA2055	False	
gene-PHIKZ_p64	22	20	72	39	11	85	phage	gene-PHIKZ_p64	False	
gene-PA5439	17	14	4	14	3	12	host	gene-PA5439	False	
gene-PA0858	14	19	11	7	2	5	host	gene-PA0858	False	
gene-PA2007	6	3	2	1	1	2	host	maiA	False	
gene-PA1676	0	6	0	0	1	0	host	gene-PA1676	False	
gene-PA2155	4	4	2	4	0	5	host	gene-PA2155	False	
gene-PA0853	4	7	1	2	3	5	host	gene-PA0853	False	
gene-PA2319	9	12	6	5	0	5	host	gene-PA2319	False	
gene-PA3350	28	23	9	8	3	4	host	gene-PA3350	False	
gene-PA1215	8	9	1	4	2	15	host	gene-PA1215	False	
gene-PA5405	7	3	2	2	3	2	host	gene-PA5405	False	
gene-PA0645	0	1	1	3	1	3	host	gene-PA0645	False	
gene-PA3705	17	7	3	12	0	5	host	wspD	False	
gene-PA4697	11	13	1	5	2	4	host	gene-PA4697	False	
gene-PA2954	4	12	1	2	3	2	host	gene-PA2954	False	
gene-PA1478	5	2	0	2	0	1	host	gene-PA1478	False	
gene-PA1308	8	8	1	5	1	5	host	gene-PA1308	False	
gene-PA0674	7	9	3	2	0	12	host	vreA	False	
gene-PA3338	8	4	5	2	2	1	host	gene-PA3338	False	
gene-PA1806	3	5	0	3	2	3	host	fabI	False	
gene-PA5297	13	14	7	11	4	13	host	poxB	False	
gene-PA5432	1	4	2	3	1	4	host	gene-PA5432	False	
gene-PA4049	14	12	8	11	1	1	host	gene-PA4049	False	
gene-PA1479	19	8	5	6	2	5	host	ccmE	False	
gene-PA1735	10	3	4	4	1	4	host	gene-PA1735	False	
gene-PA2088	2	5	0	3	0	3	host	gene-PA2088	False	
gene-PA3642	6	4	1	2	1	4	host	rnhB	False	
gene-PA0617	1	4	1	2	1	3	host	gene-PA0617	False	
gene-PA5408	4	3	2	1	0	0	host	gene-PA5408	False	
gene-PA2079	7	5	0	5	0	5	host	gene-PA2079	False	
gene-PA1891	2	1	0	1	0	1	host	gene-PA1891	False	
gene-PA1504	11	15	9	2	1	4	host	gene-PA1504	False	
gene-PA1781	12	13	6	19	2	12	host	nirB	False	
gene-PA1920	12	15	4	10	2	15	host	nrdD	False	
gene-PA1369	11	7	9	7	1	5	host	gene-PA1369	False	
gene-PA3625	24	22	11	9	3	10	host	surE	False	
gene-PA4752	10	15	3	6	2	4	host	ftsJ	False	
gene-PA5130	14	18	7	7	3	3	host	gene-PA5130	False	
gene-PA4026	11	6	1	2	3	0	host	gene-PA4026	False	
gene-PA3085	14	7	1	2	0	0	host	gene-PA3085	False	
gene-PA4715	20	6	7	11	5	10	host	gene-PA4715	False	
gene-PA2294	5	5	2	8	2	1	host	gene-PA2294	False	
gene-PA1977	4	6	1	2	0	0	host	gene-PA1977	False	
gene-PA5165	25	22	9	17	6	12	host	gene-PA5165	False	
gene-PA1557	24	18	11	9	3	12	host	ccoN2	False	
gene-PA3557	3	4	0	0	0	4	host	arnE	False	
gene-PA0014	4	3	1	4	0	1	host	gene-PA0014	False	
gene-PA2657	6	8	4	6	1	0	host	gene-PA2657	False	
gene-PA0544	15	9	1	7	2	3	host	gene-PA0544	False	
gene-PA0933	16	10	3	3	4	4	host	ygcA	False	
gene-PA1004	26	20	4	8	4	8	host	nadA	False	
gene-PA0647	3	7	1	0	2	2	host	gene-PA0647	False	
gene-PA1872	8	3	1	6	0	4	host	gene-PA1872	False	
gene-PA1625	6	3	1	10	0	7	host	gene-PA1625	False	
gene-PA3382	6	8	2	9	0	2	host	phnE	False	
gene-PA1364	3	8	2	1	1	2	host	gene-PA1364	False	
gene-PA2317	18	10	3	7	3	5	host	gene-PA2317	False	
gene-PA3110	19	13	1	4	3	12	host	gene-PA3110	False	
gene-PA1164	10	9	3	3	2	6	host	gene-PA1164	False	
gene-PA2178	5	7	3	1	1	5	host	gene-PA2178	False	
gene-PA4817	10	16	1	5	1	5	host	gene-PA4817	False	
gene-PHIKZ_p66	3	1	14	12	0	30	phage	gene-PHIKZ_p66	False	
gene-PA4656	11	12	5	5	3	8	host	gene-PA4656	False	
gene-PA1446	3	9	4	5	2	3	host	fliP	False	
gene-PA2203	6	3	1	3	1	1	host	gene-PA2203	False	
gene-PA2310	4	6	2	3	0	7	host	gene-PA2310	False	
gene-PA2795	15	7	3	8	1	4	host	gene-PA2795	False	
gene-PA2914	7	6	4	5	1	1	host	gene-PA2914	False	
gene-PA2779	3	4	4	6	1	0	host	gene-PA2779	False	
gene-PA1397	7	11	0	2	0	2	host	gene-PA1397	False	
gene-PA2296	11	3	2	11	2	7	host	gene-PA2296	False	
gene-PA1688	17	12	3	12	5	4	host	gene-PA1688	False	
gene-PA0925	6	3	0	0	0	2	host	gene-PA0925	False	
gene-PA1251	17	13	4	11	2	7	host	gene-PA1251	False	
gene-PA5347	6	1	4	2	1	5	host	gene-PA5347	False	
gene-PA2826	4	5	1	6	0	5	host	gene-PA2826	False	
gene-PA0052	6	7	1	1	1	9	host	gene-PA0052	False	
gene-PA1624	4	7	0	2	0	4	host	gene-PA1624	False	
gene-PA0258	4	7	1	1	0	2	host	gene-PA0258	False	
gene-PA4644	16	6	2	4	3	2	host	gene-PA4644	False	
gene-PA1697	37	20	13	9	3	6	host	gene-PA1697	False	
gene-PA0099	15	12	2	7	3	11	host	gene-PA0099	False	
gene-PA2510	11	2	3	5	0	4	host	catR	False	
gene-PA5293	15	5	0	1	1	6	host	gene-PA5293	False	
gene-PA0436	10	7	4	7	2	9	host	gene-PA0436	False	
gene-PA1761	3	1	1	3	1	3	host	gene-PA1761	False	
gene-PA2082	4	6	1	2	0	2	host	gene-PA2082	False	
gene-PA2457	9	6	0	6	2	5	host	gene-PA2457	False	
gene-PA4335	2	4	0	4	2	2	host	gene-PA4335	False	
gene-PA4760	23	18	5	11	2	11	host	dnaJ	False	
gene-PA5543	3	2	2	3	1	9	host	gene-PA5543	False	
gene-PA3595	11	8	4	9	0	5	host	gene-PA3595	False	
gene-PHIKZ295	10	7	42	27	6	84	phage	gene-PHIKZ295	False	
gene-PA2388	12	19	7	8	1	5	host	fpvR	False	
gene-PA2664	3	5	3	3	0	4	host	fhp	False	
gene-PA2521	11	4	4	5	2	8	host	czcB	False	
gene-PA1519	3	10	3	6	1	6	host	gene-PA1519	False	
gene-PA1930	11	18	7	8	2	9	host	gene-PA1930	False	
gene-PA4853	18	13	6	5	0	2	host	fis	False	
gene-PA2091	7	6	1	6	1	4	host	gene-PA2091	False	
gene-PA4851	36	26	8	19	7	12	host	gene-PA4851	False	
gene-PA3754	13	12	8	4	1	3	host	gene-PA3754	False	
gene-PA2202	3	3	0	2	0	1	host	gene-PA2202	False	
gene-PA0060	4	5	1	3	2	3	host	gene-PA0060	False	
gene-PA4571	16	7	3	9	2	8	host	gene-PA4571	False	
gene-PA4873	25	21	3	7	2	9	host	gene-PA4873	False	
gene-PA2362	3	2	1	3	0	2	host	gene-PA2362	False	
gene-PA3089a	10	2	2	1	0	2	host	gene-PA3089a	False	
gene-PHIKZ172	30	35	160	95	11	104	phage	gene-PHIKZ172	False	
gene-PA4368	8	5	2	6	2	6	host	gene-PA4368	False	
gene-PA1523	19	12	4	8	2	9	host	xdhB	False	
gene-PA2356	7	7	1	1	1	3	host	msuD	False	
gene-PA4217	15	9	1	6	2	8	host	phzS	False	
gene-PA3767	10	4	5	7	2	7	host	gene-PA3767	False	
gene-PA1726	21	9	6	8	1	11	host	bglX	False	
gene-PA3898	9	4	3	3	2	3	host	gene-PA3898	False	
gene-PA3061	6	3	3	4	0	7	host	pelD	False	
gene-PA4494	22	13	6	6	3	7	host	roxS	False	
gene-PA4882	7	6	1	7	3	3	host	gene-PA4882	False	
gene-PA4808	16	8	4	11	3	7	host	selA	False	
gene-PA0926	2	8	1	3	1	0	host	gene-PA0926	False	
gene-PA4380	14	10	0	7	2	10	host	gene-PA4380	False	
gene-PA2098	2	6	1	0	0	2	host	gene-PA2098	False	
gene-PA4731	7	4	5	4	1	2	host	panD	False	
