Geneid	0_R1	0_R2	5_R1	5_R2	10_R1	10_R2	15_R1	15_R2	Entity	Symbol	is_outlier	outlier_info
gene-PA3826	28	38	36	59	4	12	9	3	host	gene-PA3826	False	
gene-PA2310	7	4	6	6	1	1	0	0	host	gene-PA2310	False	
gene-PA4699	305	202	160	215	46	55	23	22	host	gene-PA4699	False	
gene-PA5272	126	90	68	105	18	17	21	12	host	cyaA	False	
gene-PA0989	171	122	40	64	11	15	10	11	host	gene-PA0989	False	
gene-PA4144	10	12	2	18	0	5	2	2	host	gene-PA4144	False	
gene-PA3075	50	43	34	58	5	12	2	5	host	gene-PA3075	False	
gene-PA4930	85	85	46	80	19	23	13	13	host	alr	False	
gene-PA4869	31	41	11	40	7	6	7	4	host	gene-PA4869	False	
gene-PA1386	8	21	6	24	2	2	2	3	host	gene-PA1386	False	
gene-PA2315	5	1	4	3	0	1	0	0	host	gene-PA2315	False	
gene-PA0835	213	114	199	206	36	26	26	22	host	pta	False	
gene-PA1521	34	14	22	37	8	6	0	1	host	gene-PA1521	False	
gene-PA1789	75	68	45	70	9	11	7	7	host	gene-PA1789	False	
gene-PA4220	140	118	202	211	28	13	5	5	host	gene-PA4220	False	
gene-PA4023	108	76	246	227	17	13	4	6	host	gene-PA4023	False	
gene-PA1132	39	45	47	73	15	23	15	4	host	gene-PA1132	False	
gene-PA4050	60	58	80	127	19	23	25	14	host	pgpA	False	
gene-PA0443	4	14	4	10	0	1	0	0	host	gene-PA0443	False	
gene-PA0324	50	38	9	12	3	6	1	1	host	gene-PA0324	False	
gene-PA1941	37	42	29	21	6	6	6	4	host	gene-PA1941	False	
gene-PA3771	20	15	8	11	2	3	2	2	host	gene-PA3771	False	
gene-PA3574a	57	39	28	31	7	1	1	1	host	gene-PA3574a	False	
gene-PA0194	3	4	6	3	0	1	1	0	host	gene-PA0194	False	
gene-PA5260	171	185	177	224	33	55	25	18	host	hemC	False	
gene-PA2019	44	60	38	51	10	10	4	1	host	gene-PA2019	False	
gene-PA3819	115	144	105	145	35	34	21	12	host	gene-PA3819	False	
gene-PA1492	7	6	12	10	1	5	2	0	host	gene-PA1492	False	
gene-PA3331	9	46	8	67	2	14	6	1	host	gene-PA3331	False	
gene-PA0200	4	22	3	7	2	1	0	0	host	gene-PA0200	False	
gene-PA0756	31	36	13	27	3	5	5	2	host	gene-PA0756	False	
gene-PA4821	12	19	8	13	6	4	7	4	host	gene-PA4821	False	
gene-PA4679	45	45	26	46	4	8	10	2	host	gene-PA4679	False	
gene-PA2136	0	2	2	0	0	0	0	0	host	gene-PA2136	False	
gene-PA2221	18	17	5	15	4	5	2	0	host	gene-PA2221	False	
gene-PA1165	21	14	11	21	2	2	1	0	host	pcpS	False	
gene-PA1757	54	62	39	62	18	25	14	11	host	thrH	False	
gene-PA3347	53	73	42	62	8	8	4	1	host	gene-PA3347	False	
gene-PA1185	7	6	2	3	1	4	1	0	host	gene-PA1185	False	
gene-PA0196	52	39	13	35	5	2	4	5	host	pntB	False	
gene-PA5160.1	6	12	1	1	0	1	0	1	host	gene-PA5160.1	False	
gene-PA2405	84	71	75	110	8	4	0	3	host	gene-PA2405	False	
gene-PA0247	6	13	5	10	3	5	1	2	host	pobA	False	
gene-PA1898	9	16	7	17	1	7	0	0	host	qscR	False	
gene-PA5053	15	28	16	36	8	6	2	1	host	hslV	False	
gene-PA3440a	30	31	31	24	12	5	3	5	host	gene-PA3440a	False	
gene-PA0293	26	20	18	14	3	5	1	1	host	aguB	False	
gene-PA3880	7	1	2	2	1	0	0	1	host	gene-PA3880	False	
gene-PA2635	22	26	17	30	4	10	2	4	host	gene-PA2635	False	
gene-PA2981	224	305	185	271	43	46	25	21	host	lpxK	False	
gene-PA0357	123	118	80	105	16	24	14	9	host	mutM	False	
gene-PA2361	148	139	96	101	25	22	8	10	host	gene-PA2361	False	
gene-PA1878	21	16	9	23	3	6	0	1	host	gene-PA1878	False	
gene-PA0116	72	66	26	51	16	7	15	7	host	gene-PA0116	False	
gene-PA3789	59	83	71	116	21	30	19	8	host	gene-PA3789	False	
gene-PA4884	5	4	1	3	0	1	1	0	host	gene-PA4884	False	
gene-PA3584	19	24	57	141	12	10	2	3	host	glpD	False	
gene-PA4171	8	9	7	6	0	0	1	0	host	gene-PA4171	False	
gene-PA1313	12	8	6	7	2	2	3	0	host	gene-PA1313	False	
gene-PA0774	61	62	49	90	15	28	15	5	host	gene-PA0774	False	
gene-PA1048	285	345	126	240	50	45	20	17	host	gene-PA1048	False	
gene-PA4712	21	11	12	13	3	9	2	3	host	gene-PA4712	False	
gene-PA1851	30	33	23	26	6	10	4	2	host	gene-PA1851	False	
gene-PA2758	28	20	7	8	6	0	1	0	host	gene-PA2758	False	
gene-PA1205	122	87	55	68	8	7	1	4	host	gene-PA1205	False	
gene-PA5073	54	57	29	36	5	8	6	1	host	gene-PA5073	False	
gene-PA4357	4	5	1	7	0	0	0	0	host	gene-PA4357	False	
gene-PA1157	70	80	32	61	17	24	17	11	host	gene-PA1157	False	
gene-PA3619	52	31	5	25	5	8	6	0	host	gene-PA3619	False	
gene-PA5089	65	41	28	47	10	8	8	5	host	gene-PA5089	False	
gene-PA3973	38	32	19	36	2	5	4	2	host	gene-PA3973	False	
gene-PA0942	107	107	52	63	13	20	6	3	host	gene-PA0942	False	
gene-PA1285	22	14	3	3	2	3	0	1	host	gene-PA1285	False	
gene-PA3618	80	68	30	31	9	9	2	4	host	gene-PA3618	False	
gene-PPLUZ19_gp46	0	0	125	234	21	143	2561	1666	phage	gp46	False	
gene-PA5440	20	26	14	33	5	9	5	0	host	gene-PA5440	False	
gene-PA0448	63	35	13	29	8	6	9	5	host	gene-PA0448	False	
gene-PA5415	43	154	30	75	4	5	2	3	host	glyA1	False	
gene-PA5177	101	66	53	82	14	15	9	7	host	gene-PA5177	False	
gene-PA3788	20	32	16	32	6	8	3	2	host	gene-PA3788	False	
gene-PA1227	28	12	11	19	3	0	1	1	host	gene-PA1227	False	
gene-PA0928	148	149	98	115	19	23	16	20	host	gacS	False	
gene-PA2255	9	4	2	4	0	0	2	2	host	pvcB	False	
gene-PA1149	4	5	2	2	0	0	0	0	host	gene-PA1149	False	
gene-PA1164	98	84	31	52	13	10	9	12	host	gene-PA1164	False	
gene-PA2358	7	4	1	4	0	2	0	0	host	gene-PA2358	False	
gene-PA2934	4	7	10	14	2	1	1	1	host	cif	False	
gene-PA0005	31	57	70	111	22	32	12	8	host	lptA	False	
gene-PA0374	155	185	216	285	43	43	27	18	host	ftsE	False	
gene-PA0350	68	67	15	34	14	13	13	2	host	folA	False	
gene-PA3576	63	53	17	23	4	6	7	0	host	gene-PA3576	False	
gene-PA3004	294	277	111	163	35	33	21	15	host	gene-PA3004	False	
gene-PA4510	90	53	31	40	3	7	2	3	host	gene-PA4510	False	
gene-PA1991	50	44	32	53	9	7	2	5	host	gene-PA1991	False	
gene-PA2556	344	215	78	107	12	11	8	4	host	gene-PA2556	False	
gene-PA5384	4	4	2	3	0	1	6	0	host	gene-PA5384	False	
gene-PA0927	39	55	29	33	6	8	11	5	host	ldhA	False	
gene-PA1825	98	68	16	31	8	9	5	2	host	gene-PA1825	False	
gene-PA1694	54	15	24	16	14	5	1	3	host	pscQ	False	
gene-PA2769	80	52	40	49	16	14	12	7	host	gene-PA2769	False	
gene-PA1240	4	6	2	3	3	1	0	0	host	gene-PA1240	False	
gene-PA5067	203	282	142	250	50	50	28	24	host	hisE	False	
gene-PA3968	85	68	25	50	6	7	7	1	host	gene-PA3968	False	
gene-PA0521	3	4	2	4	0	1	0	0	host	gene-PA0521	False	
