Geneid	Ctrl_R1	Ctrl_R2	Ctrl_R3	0_R1	0_R2	0_R3	2_R1	2_R2	2_R3	5_R1	5_R2	5_R3	10_R1	10_R2	10_R3	20_R1	20_R2	20_R3	30_R1	30_R2	30_R3	Entity	Symbol	is_outlier	outlier_info
gene-SAURSH1000_RS09840	399	391	374	701	399	498	671	452	446	772	573	228	374	533	112	104	144	57	90	149	25	host	gene-SAURSH1000_RS09840	False	
gene-SAURSH1000_RS05195	829	709	1077	1033	387	982	1268	359	809	1500	353	559	722	454	358	180	204	149	145	176	71	host	gene-SAURSH1000_RS05195	False	
gene-SAURSH1000_RS07945	1326	1693	961	2129	881	645	1886	776	1039	2017	928	444	1245	1227	230	418	311	64	254	333	41	host	gene-SAURSH1000_RS07945	False	
gene-CPT_phageK_gp163	0	1	0	9	0	2	251	13	107	3158	402	2149	4530	2202	1950	937	959	1393	683	461	718	phage	gene-CPT_phageK_gp163	False	
gene-SAURSH1000_RS01575	302	193	212	397	175	213	443	185	225	493	293	168	387	414	90	149	162	59	147	122	31	host	gene-SAURSH1000_RS01575	False	
gene-SAURSH1000_RS10530	83	72	50	99	66	59	105	70	70	2189	76	43	66	99	24	27	32	17	20	33	12	host	gene-SAURSH1000_RS10530	False	
gene-SAURSH1000_RS06450	551	404	546	785	528	501	909	414	560	634	529	332	323	526	107	160	159	49	133	202	40	host	pepF	False	
gene-SAURSH1000_RS00050	38	78	40	57	45	29	58	34	33	50	42	19	55	61	11	9	12	4	9	7	0	host	gene-SAURSH1000_RS00050	False	
gene-SAURSH1000_RS01135	94	50	101	97	79	103	102	62	110	77	56	37	37	38	18	14	7	5	13	10	5	host	gene-SAURSH1000_RS01135	False	
gene-CPT_phageK_gp055	0	0	0	0	1	0	57	8	14	1330	205	1386	3522	1991	2021	660	895	578	266	266	204	phage	gene-CPT_phageK_gp055	False	
gene-SAURSH1000_RS05870	381	264	326	499	512	394	521	598	339	505	659	144	239	495	65	76	150	22	84	141	14	host	gene-SAURSH1000_RS05870	False	
gene-SAURSH1000_RS01075	1251	668	1098	1396	134	719	1127	71	714	833	115	368	345	126	132	123	121	27	98	166	32	host	gene-SAURSH1000_RS01075	False	
gene-SAURSH1000_RS08930	426	341	346	716	394	435	713	443	429	706	450	208	300	382	66	111	97	35	119	105	32	host	gene-SAURSH1000_RS08930	False	
gene-SAURSH1000_RS03905	84	170	57	121	66	57	139	64	69	150	50	49	86	100	28	23	23	14	24	30	3	host	gene-SAURSH1000_RS03905	False	
gene-CPT_phageK_gp076	0	0	0	6	0	2	125	20	43	1848	345	2093	3941	3158	2458	811	1201	983	415	405	467	phage	gene-CPT_phageK_gp076	False	
gene-SAURSH1000_RS04960	154	71	100	251	82	137	285	219	138	363	463	100	146	269	47	40	63	19	48	75	14	host	gene-SAURSH1000_RS04960	False	
gene-SAURSH1000_RS02105	6	5	9	8	25	6	9	9	5	6	15	7	7	10	0	1	3	1	3	2	1	host	gene-SAURSH1000_RS02105	False	
gene-CPT_phageK_gt004	0	0	0	51	0	1	4	5	7	53	19	176	460	420	576	3893	2172	2286	3725	1860	1263	phage	tRNA-Asp	False	
gene-SAURSH1000_RS12570	8	15	14	20	22	12	24	24	13	23	31	5	10	15	5	3	6	3	0	4	2	host	gene-SAURSH1000_RS12570	False	
gene-CPT_phageK_gp057	0	0	0	0	0	0	43	3	17	978	138	753	2169	1202	1043	260	432	252	123	116	111	phage	gene-CPT_phageK_gp057	False	
gene-CPT_phageK_gp056	0	0	0	0	0	0	37	3	6	665	94	573	1645	749	755	224	329	201	99	82	80	phage	gene-CPT_phageK_gp056	False	
gene-SAURSH1000_RS05915	387	452	414	673	376	344	685	287	426	595	264	222	279	225	78	93	66	32	68	64	17	host	gene-SAURSH1000_RS05915	False	
gene-SAURSH1000_RS13270	41	17	16	49	21	19	38	34	14	36	60	21	19	44	8	14	14	6	14	11	2	host	gene-SAURSH1000_RS13270	False	
gene-SAURSH1000_RS06970	853	668	496	1010	932	618	965	860	570	855	762	306	523	685	146	236	192	55	228	213	41	host	gene-SAURSH1000_RS06970	False	
gene-SAURSH1000_RS01725	402	639	508	469	832	437	547	612	614	481	614	355	288	414	177	100	117	76	69	115	46	host	nfsA	False	
gene-SAURSH1000_RS03550	239	75	354	382	41	379	349	54	340	328	78	116	161	133	48	29	32	27	12	29	13	host	gene-SAURSH1000_RS03550	False	
gene-SAURSH1000_RS02955	10	1	2	9	6	2	11	8	4	2	7	1	7	11	4	2	1	2	1	3	0	host	gene-SAURSH1000_RS02955	False	
gene-SAURSH1000_RS01010	98	354	126	118	174	126	137	122	71	180	96	65	184	164	37	41	81	24	18	66	6	host	gene-SAURSH1000_RS01010	False	
gene-SAURSH1000_RS03515	351	249	267	446	283	279	438	338	270	418	377	140	216	326	48	95	87	19	85	86	7	host	gene-SAURSH1000_RS03515	False	
gene-SAURSH1000_RS10840	135	123	91	193	167	88	146	172	122	158	148	75	102	127	22	45	39	8	36	36	2	host	gene-SAURSH1000_RS10840	False	
gene-SAURSH1000_RS00405	9	12	5	8	9	8	7	12	9	10	12	3	10	10	6	3	4	3	5	5	2	host	gene-SAURSH1000_RS00405	False	
gene-SAURSH1000_RS04315	3	9	11	13	15	4	14	14	2	10	5	0	7	9	2	1	1	1	2	0	0	host	gene-SAURSH1000_RS04315	False	
gene-SAURSH1000_RS08340	89	96	60	85	114	59	79	120	58	98	159	30	54	95	13	25	28	10	17	28	2	host	sasC	False	
gene-SAURSH1000_RS00895	3	5	4	7	2	3	5	2	5	5	6	0	3	3	0	1	2	1	0	1	1	host	gene-SAURSH1000_RS00895	False	
gene-SAURSH1000_RS04065	228	224	238	346	194	241	431	200	260	403	268	104	219	261	81	65	84	23	40	111	15	host	gene-SAURSH1000_RS04065	False	
gene-SAURSH1000_RS10365	946	1365	1375	1287	1466	1323	1536	1181	1391	1411	1357	624	728	1081	340	305	276	181	186	346	87	host	gene-SAURSH1000_RS10365	False	
gene-SAURSH1000_RS03430	68	84	101	122	92	96	153	99	104	164	129	55	79	130	29	25	40	9	21	49	13	host	gene-SAURSH1000_RS03430	False	
gene-SAURSH1000_RS04560	72	124	74	151	46	57	150	24	47	123	35	85	122	56	94	114	22	182	56	29	134	host	gene-SAURSH1000_RS04560	False	
gene-SAURSH1000_RS07525	531	499	542	673	505	646	694	662	474	776	787	271	277	526	128	91	144	67	75	158	36	host	nadD	False	
gene-CPT_phageK_gp153	0	0	0	26	0	0	66	4	27	872	139	966	1992	1547	1274	1560	1383	2912	3151	2956	2576	phage	gene-CPT_phageK_gp153	False	
gene-SAURSH1000_RS08130	204	188	172	372	287	173	321	238	261	289	268	135	172	173	82	73	67	23	45	47	13	host	gene-SAURSH1000_RS08130	False	
gene-SAURSH1000_RS00425	213	178	152	355	189	147	418	174	164	314	250	82	198	194	41	62	58	38	53	100	14	host	gene-SAURSH1000_RS00425	False	
gene-SAURSH1000_RS02025	188	176	154	215	243	167	230	246	173	191	254	90	107	207	53	67	51	28	49	44	25	host	gene-SAURSH1000_RS02025	False	
gene-SAURSH1000_RS11080	495	438	494	750	497	536	905	549	590	836	724	360	418	718	176	134	192	63	116	197	44	host	gene-SAURSH1000_RS11080	False	
gene-SAURSH1000_RS02300	114	92	111	152	146	125	175	152	114	141	184	60	80	143	32	31	43	17	22	41	13	host	folB	False	
gene-SAURSH1000_RS03615	205	235	232	354	239	225	338	171	286	252	245	127	141	219	53	66	58	22	55	49	13	host	gene-SAURSH1000_RS03615	False	
gene-CPT_phageK_gp070	0	1	0	59	3	0	108	18	49	3177	382	4165	11254	7058	8268	6906	6819	6559	3970	3248	2028	phage	gene-CPT_phageK_gp070	False	
gene-SAURSH1000_RS06065	17	14	8	44	7	20	40	11	19	70	30	12	28	14	2	6	12	0	11	4	0	host	gene-SAURSH1000_RS06065	False	
gene-SAURSH1000_RS09350	894	1048	1020	1434	1201	1071	1749	1084	1005	1390	1156	546	885	1482	244	282	443	105	192	451	73	host	purB	False	
gene-SAURSH1000_RS01875	5	4	24	3	2	8	5	8	9	7	7	1	18	13	4	8	7	5	5	5	1	host	gene-SAURSH1000_RS01875	False	
gene-SAURSH1000_RS12175	95	110	74	261	103	71	265	144	88	447	259	70	289	326	33	66	60	9	73	61	4	host	gene-SAURSH1000_RS12175	False	
gene-SAURSH1000_RS00475	8	2	5	3	4	5	9	4	1	7	11	3	4	10	2	0	1	0	1	0	1	host	phnC	False	
gene-SAURSH1000_RS04500	880	636	686	1136	887	807	1009	806	734	919	708	341	527	627	125	185	188	61	181	197	45	host	gene-SAURSH1000_RS04500	False	
gene-SAURSH1000_RS05995	91	100	78	108	135	77	134	121	88	102	127	48	80	122	30	37	51	7	25	40	6	host	hfq	False	
gene-SAURSH1000_RS02410	705	1032	740	819	951	777	1028	1050	599	1077	1195	375	687	829	279	179	214	118	135	198	69	host	pdxT	False	
gene-SAURSH1000_RS08325	490	593	573	812	650	679	834	771	665	912	873	327	484	638	123	143	199	70	109	198	48	host	gene-SAURSH1000_RS08325	False	
gene-SAURSH1000_RS01455	157	119	188	179	138	203	195	141	153	159	124	79	75	102	36	20	35	13	9	38	8	host	gene-SAURSH1000_RS01455	False	
gene-SAURSH1000_RS05565	619	689	561	734	781	673	781	1032	472	853	1035	278	307	569	140	110	123	71	82	164	38	host	gene-SAURSH1000_RS05565	False	
gene-CPT_phageK_gp124	0	1	0	28	0	2	116	15	36	1959	337	3952	6134	5132	5491	3658	3403	4538	2406	2088	2238	phage	gene-CPT_phageK_gp124	False	
gene-SAURSH1000_RS02465	182	330	225	254	186	198	242	269	149	291	272	70	194	202	62	49	57	30	34	88	25	host	gene-SAURSH1000_RS02465	False	
gene-SAURSH1000_RS09720	13	48	14	22	43	15	29	25	16	25	24	16	28	33	7	12	7	3	1	3	2	host	ilvB	False	
gene-SAURSH1000_RS09710	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	host	gene-SAURSH1000_RS09710	False	
gene-SAURSH1000_RS06085	40	51	27	93	60	50	112	64	40	117	77	19	66	74	8	12	30	7	18	27	2	host	gene-SAURSH1000_RS06085	False	
gene-SAURSH1000_RS04035	235	305	299	389	353	317	379	282	298	282	260	137	179	200	70	79	63	15	57	83	15	host	gene-SAURSH1000_RS04035	False	
gene-SAURSH1000_RS07535	528	408	483	679	532	612	721	670	508	885	753	257	322	535	123	110	135	59	75	152	23	host	aroE	False	
gene-SAURSH1000_RS02780	19	19	21	23	28	9	33	27	28	34	33	17	15	33	2	9	6	2	3	8	1	host	hypR	False	
gene-SAURSH1000_RS08415	57	54	87	103	38	87	89	48	74	120	70	34	119	86	34	21	38	15	13	36	4	host	gene-SAURSH1000_RS08415	False	
gene-SAURSH1000_RS08600	24	14	12	37	25	15	29	35	18	29	55	11	11	16	2	5	8	1	9	9	2	host	gene-SAURSH1000_RS08600	False	
gene-CPT_phageK_gp156	0	0	0	42	3	2	67	8	20	1507	290	1588	4763	2687	2762	2660	3057	3383	3657	3534	2132	phage	gene-CPT_phageK_gp156	False	
gene-CPT_phageK_gp081	0	0	0	24	1	1	62	13	19	2036	231	2381	8757	4091	5639	4387	4295	3796	2248	2054	1270	phage	gene-CPT_phageK_gp081	False	
gene-SAURSH1000_RS06930	733	552	780	1077	648	732	1276	769	746	857	905	569	390	920	235	163	181	100	150	187	57	host	cmk	False	
gene-SAURSH1000_RS04085	151	74	122	340	110	153	361	190	160	404	410	120	126	274	37	37	63	8	37	57	5	host	gene-SAURSH1000_RS04085	False	
gene-SAURSH1000_RS11340	49	24	27	48	23	26	54	32	29	49	56	26	27	54	12	13	11	12	10	23	4	host	gene-SAURSH1000_RS11340	False	
gene-SAURSH1000_RS10390	858	1315	902	1414	1116	1076	1484	985	1018	1506	1003	465	799	904	218	217	314	129	174	304	79	host	gene-SAURSH1000_RS10390	False	
gene-SAURSH1000_RS04435	242	374	274	351	309	293	395	206	326	363	236	148	256	247	58	70	96	30	50	95	18	host	gene-SAURSH1000_RS04435	False	
gene-SAURSH1000_RS01510	49	121	89	57	93	70	64	70	52	72	58	21	79	97	27	26	39	16	10	28	7	host	gene-SAURSH1000_RS01510	False	
gene-SAURSH1000_RS00735	171	137	423	141	31	389	134	30	130	193	48	112	306	111	93	90	98	51	49	183	30	host	gene-SAURSH1000_RS00735	False	
gene-SAURSH1000_RS00685	28	24	21	29	31	31	39	37	40	43	43	15	20	48	5	13	13	1	5	7	1	host	argJ	False	
gene-SAURSH1000_RS11205	38	98	35	49	59	42	60	57	29	52	39	20	25	49	16	8	15	5	4	20	3	host	gene-SAURSH1000_RS11205	False	
gene-SAURSH1000_RS02185	293	310	258	303	278	331	322	446	212	331	615	147	167	384	69	48	96	27	41	102	20	host	rsmA	False	
gene-SAURSH1000_RS01030	395	480	492	698	588	513	822	624	549	843	612	316	462	555	169	131	163	81	84	169	39	host	gene-SAURSH1000_RS01030	False	
gene-SAURSH1000_RS02135	823	922	721	1139	759	622	1251	743	772	1061	819	446	635	966	219	252	250	94	152	208	54	host	gene-SAURSH1000_RS02135	False	
gene-SAURSH1000_RS08820	219	320	263	544	183	242	530	221	295	627	260	149	419	364	102	101	127	32	74	87	21	host	gene-SAURSH1000_RS08820	False	
gene-SAURSH1000_RS06380	4	14	2	6	7	7	6	4	3	3	9	1	4	4	2	1	2	4	0	3	0	host	trpC	False	
gene-SAURSH1000_RS07185	482	428	434	666	496	610	739	649	502	854	701	214	374	513	116	106	143	43	64	143	27	host	gene-SAURSH1000_RS07185	False	
gene-SAURSH1000_RS01615	49	80	106	110	81	127	194	127	116	176	151	48	132	157	46	32	52	15	29	60	4	host	gene-SAURSH1000_RS01615	False	
gene-SAURSH1000_RS04100	462	185	364	810	265	503	890	502	443	1289	903	313	342	683	110	82	125	44	93	125	36	host	dltC	False	
gene-SAURSH1000_RS01800	67	98	70	43	83	62	63	61	68	58	52	34	24	57	17	24	21	16	11	22	5	host	gene-SAURSH1000_RS01800	False	
gene-SAURSH1000_RS01960	86	98	76	119	133	97	92	106	106	102	73	45	97	175	26	26	35	7	25	39	1	host	gene-SAURSH1000_RS01960	False	
gene-CPT_phageK_gp215	0	0	0	47	0	1	73	10	21	1271	155	1669	5222	2232	3268	3886	3905	4967	3547	2893	1423	phage	gene-CPT_phageK_gp215	False	
gene-SAURSH1000_RS11135	393	586	291	530	437	352	577	426	335	671	495	182	440	517	89	120	170	44	110	114	34	host	gene-SAURSH1000_RS11135	False	
gene-SAURSH1000_RS01745	146	245	123	180	159	139	226	173	127	242	220	69	223	202	54	64	95	32	36	89	22	host	gene-SAURSH1000_RS01745	False	
gene-SAURSH1000_RS09395	60	35	102	61	24	66	65	23	43	90	19	41	70	49	36	23	22	9	13	24	8	host	gene-SAURSH1000_RS09395	False	
gene-SAURSH1000_RS09085	578	185	269	253	210	52	301	171	166	307	241	163	147	400	83	150	64	76	106	79	58	host	gene-SAURSH1000_RS09085	False	
gene-SAURSH1000_RS05730	361	1200	395	450	737	412	446	618	290	506	530	180	372	445	128	105	172	45	59	127	22	host	xerC	False	
gene-SAURSH1000_RS12090	5	5	3	4	6	7	5	3	6	11	7	3	7	6	0	1	2	0	0	1	0	host	sarU	False	
gene-SAURSH1000_RS11005	42	25	54	67	18	50	54	18	52	44	18	14	22	21	10	5	5	5	5	7	5	host	ureE	False	
gene-SAURSH1000_RS09405	68	88	84	108	76	105	105	70	84	151	90	61	153	129	67	23	51	14	15	48	10	host	gene-SAURSH1000_RS09405	False	
gene-SAURSH1000_RS13130	68	54	60	124	46	69	131	70	57	194	61	51	109	120	24	34	39	8	41	32	9	host	gene-SAURSH1000_RS13130	False	
gene-SAURSH1000_RS03855	10	6	11	13	5	12	11	13	10	10	18	9	5	11	3	2	4	3	3	3	1	host	gene-SAURSH1000_RS03855	False	
gene-SAURSH1000_RS04630	31	22	18	32	28	19	31	37	26	28	44	15	30	31	3	9	8	6	4	10	2	host	gene-SAURSH1000_RS04630	False	
gene-SAURSH1000_RS04350	30	35	20	43	47	23	51	33	27	61	35	15	38	33	3	6	9	0	9	10	1	host	gene-SAURSH1000_RS04350	False	
gene-SAURSH1000_RS08320	549	778	659	737	539	838	673	547	624	938	613	308	842	665	291	184	278	135	103	243	63	host	gene-SAURSH1000_RS08320	False	
gene-SAURSH1000_RS10540	17	19	21	44	30	29	32	35	29	48	50	11	25	21	8	6	8	4	8	5	1	host	gene-SAURSH1000_RS10540	False	
gene-SAURSH1000_RS09980	2	4	2	1	2	0	3	2	0	4	3	0	1	0	0	0	0	0	0	0	0	host	gene-SAURSH1000_RS09980	False	
gene-SAURSH1000_RS12155	333	475	295	441	347	289	375	286	267	361	199	138	225	230	44	84	89	26	79	77	17	host	gene-SAURSH1000_RS12155	False	
gene-SAURSH1000_RS01395	26	28	96	56	13	59	50	21	37	37	24	18	29	30	12	9	18	5	5	13	4	host	gene-SAURSH1000_RS01395	False	
gene-SAURSH1000_RS00550	7	18	17	26	13	13	16	14	13	18	19	5	20	31	4	5	9	2	6	6	2	host	cap8G	False	
gene-SAURSH1000_RS07770	326	480	341	459	530	367	564	737	346	523	957	178	266	544	89	95	163	37	69	151	25	host	gene-SAURSH1000_RS07770	False	
gene-SAURSH1000_RS05605	335	545	381	423	526	356	523	386	412	355	368	178	228	345	99	90	127	39	53	121	18	host	recG	False	
gene-SAURSH1000_RS03870	89	89	140	148	89	137	119	68	143	192	52	52	245	97	65	48	64	21	40	39	9	host	gene-SAURSH1000_RS03870	False	
gene-SAURSH1000_RS11305	220	224	262	346	190	256	356	144	266	322	168	112	174	182	53	57	65	26	46	58	11	host	gene-SAURSH1000_RS11305	False	
gene-SAURSH1000_RS02595	392	228	270	728	286	324	737	347	428	506	494	228	218	388	54	106	85	38	98	116	22	host	gene-SAURSH1000_RS02595	False	
