Geneid	0_R1	0_R2	5_R1	5_R2	10_R1	10_R2	15_R1	15_R2	gene_length	Entity	Symbol
gene-PA2021	62.21506555287316	102.96350076362621	72.74947072576313	100.80698130606561	16.891759150037906	8.715361278044142	0.0	0.0	225	host	gene-PA2021
gene-PA3208	199.6205311856893	154.85820636240572	211.5375652787898	161.722429902779	15.243231853309606	12.23413013629191	8.49928024834756	0.0	561	host	gene-PA3208
gene-PA2258	23.852421298226133	33.92367736820752	17.431981803297873	33.213162770568744	0.0	4.176690708327864	0.0	0.0	939	host	ptxR
gene-PA3581	79.9907985679798	106.8705978908174	214.3511191026949	249.76729743243934	5.655722929700191	5.836179427261703	2.432702152715807	0.0	840	host	glpF
gene-PA4551	250.86719980997245	295.8124769922729	454.68419203601945	416.6417574141824	17.027983014151115	21.085551479139053	6.1035537881758595	3.1710152884516174	558	host	pilV
gene-PA4926	86.74215870352508	58.783248633079864	56.83552400450243	69.66828635936024	1.0151297566128548	4.190077537521222	0.7277314132055832	1.89041296042308	936	host	gene-PA4926
gene-PA1885	152.0424354803361	103.03580659281414	22.98965015912458	31.85613875542803	3.5586571243057383	5.5083041785391345	0.0	0.0	534	host	gene-PA1885
gene-PA0077	129.56767281655527	127.01089732355206	153.4868597435565	190.38523579242198	9.771775370371293	12.752740527083647	7.005240318770261	5.887384101789483	3306	host	icmF1
gene-PA2060	11.011516027057198	8.542325837690228	12.071261735469546	2.7878036865615488	0.0	1.9281772739035714	0.0	0.0	1017	host	gene-PA2060
gene-PA2916	9.426525083768663	4.875165755853514	6.889154424788175	0.0	1.59959840435965	0.0	0.0	1.4894162718484873	594	host	gene-PA2916
gene-PA1009	361.2487677263603	290.6227844134611	381.3480320302099	269.29284320672764	13.622386411320889	29.871197928780322	3.6621322729055157	7.927538221129044	558	host	gene-PA1009
gene-PA3833	242.79049971852945	266.82614527159234	177.43773347747103	207.45339140729965	12.87481642533377	13.285611704335583	3.6919057060185687	4.795193850829276	369	host	gene-PA3833
gene-PA0195.1	72.48357151791049	112.46013432920338	26.48645778850599	64.22774901175296	6.149912311907005	0.0	2.2043903001955534	2.863149726466024	309	host	pntAB
gene-PA0155	56.66014898565235	13.789754566557082	38.97293074594453	13.500934996348072	6.78686751564023	3.5017076563570217	3.2436028702877424	1.0532300779500017	840	host	pcaR
gene-PA4459	586.3199895035168	697.4294717955049	628.4640141230847	722.4060505899336	58.03778503776113	78.71203248495364	26.152609530068712	29.33604196174874	573	host	gene-PA4459
gene-PA0580	338.3626372173804	386.6776207405918	398.8457824877364	480.8227726769576	34.26508160917777	48.737217673273165	13.94180181088591	10.347523572842121	1026	host	gcp
gene-PA3915	10.034687992398897	20.75877031524722	22.000848001742877	30.485982249818225	5.108394904245333	1.7571292899282542	1.2207107576351717	0.0	558	host	moaB1
gene-PA0831	175.66606744340658	124.91895313234062	60.17879012241434	69.49010659885036	7.452246683840252	11.535036985646657	4.006803545649564	5.2041956792823605	1020	host	oruR
gene-PA2083	28.545735959553575	27.255044319783412	25.67628378556346	20.01315070046891	0.7452246683840253	0.0	0.5342404727532754	0.6938927572376482	1275	host	gene-PA2083
gene-PA5052	80.4505158011291	116.49965064849948	141.1088871835923	122.20673919108168	8.191047001634761	9.861130756407704	4.893366399140992	5.084558997000008	696	host	gene-PA5052
gene-PA0361	119.47875910672875	115.23272414614308	146.31705833685058	150.42564251986434	7.671430409835554	9.047087831879733	4.321062647269138	2.551076313373706	1734	host	gene-PA0361
gene-PA5439	229.01251123756995	146.0755187214022	80.89473355242065	71.5080197148088	8.419971968960612	8.020271114764547	1.8572777171381756	4.221535690760742	1467	host	gene-PA5439
gene-PA3424	23.877850318799936	32.93075717386766	40.717987346509204	38.286233571733334	3.3765510028060843	3.4842862252308673	1.4523594941586906	1.2575881527761215	1407	host	gene-PA3424
gene-PA2905	4.465196092311471	9.237156168985605	6.526567349799323	36.17475405720057	1.5154090146565107	1.5637609948643796	0.0	0.0	627	host	cobH
gene-PA3302	808.3995778844668	596.3849267956853	808.0056661022257	704.2844434400682	66.57182149099334	47.87897517396862	11.5695389003894	20.662093248955447	471	host	gene-PA3302
gene-PA3602	60.82478475839556	125.82830051420802	68.58364907805881	73.91573349955928	4.1285724179561925	4.86891691510846	2.1140800830553257	1.0983404909720689	1611	host	gene-PA3602
gene-PA0207	50.106093062716646	38.870449113785064	18.309430551786022	22.19952398728374	4.251281665277996	0.0	0.7619201373159127	0.9896121537785251	894	host	gene-PA0207
gene-PA2257	8.640981326787939	0.0	12.630116445444987	8.750606016151528	0.0	0.0	0.0	0.0	648	host	pvcD
gene-PA0728	110.96284557448415	135.37502958632257	66.53915005405165	83.5576159834957	2.896833695700098	3.985683511300675	2.076696959635445	3.596395388121957	984	host	gene-PA0728
gene-PA2882	22.57804798289752	28.543309183464928	33.00127200261432	33.02648077063641	1.7027983014151111	6.1499525147488905	1.2207107576351717	1.5855076442258087	1116	host	gene-PA2882
gene-PA3446	23.56631270942166	14.625497267560544	6.889154424788175	19.09223130796697	1.59959840435965	0.0	2.293456574950929	2.9788325436969747	594	host	gene-PA3446
gene-PA0511	14.431329638553056	12.43921159354376	3.515599422958914	4.871471390434872	0.8162899073794091	0.0	0.0	0.0	1164	host	nirJ
gene-PA0940	417.2069101780907	238.4816377981048	593.7640625411549	266.8420093395854	44.71348010304151	65.36520958533107	2.671202363766376	10.408391358564721	255	host	gene-PA0940
gene-PA4807	127.91882637039345	84.19912445623639	87.11239193213459	66.24290535591344	2.96000452395524	4.581673569065262	2.121983186169551	2.75611609183178	1926	host	selB
gene-PA4840	233.30649582327436	334.73517133336145	242.00932801917168	281.99533581081863	28.09617197334934	47.44249082806287	36.62132272905516	16.647830264370995	372	host	gene-PA4840
gene-PA4994	97.25928361863546	76.64776731783589	50.77118769632972	77.38749340338472	4.715441450072616	3.243930996790623	0.563404965062387	1.4635455177469003	1209	host	gene-PA4994
gene-PA0326	10.66543980906397	16.547705479868497	11.69187922378336	16.201121995617687	0.0	1.8675774167237447	0.6487205740575485	0.8425840623600013	1050	host	gene-PA0326
gene-PA4524	283.5951751350049	245.58432160935584	414.5177439763005	313.90866528611417	24.621380386539347	25.406971923626916	8.02304596890961	13.546846232289775	849	host	nadC
gene-PA3839	82.47823747598571	56.87427415339419	122.78705676913783	75.7908462151782	5.183641310363514	3.744324607997688	1.4864301205901274	2.895951769158761	1833	host	gene-PA3839
gene-PA3336	23.990385174629758	47.14748990622344	7.013123784617267	65.59580242441608	0.8141914757409016	6.721358312116305	1.751045251312149	0.7581090535372762	1167	host	gene-PA3336
gene-PA1116	169.98044695695705	244.76814355638822	297.16859693782703	290.27010242148356	24.88518089068084	31.515368907213198	9.730808610863228	16.851681247200027	840	host	gene-PA1116
gene-PA2115	108.5828974271843	69.8160529942041	77.21052317592785	80.24140611037062	8.96378728480785	8.222038941551078	2.1420018954730375	1.8547447913584936	954	host	gene-PA2115
gene-PA0220	83.95129138410711	56.54376349466921	25.682998294921607	17.794119346651225	1.325190309887911	6.837365019386095	0.950009208870887	1.85086457212971	1434	host	gene-PA0220
gene-PA4350	55.54916567220819	22.98292427759514	27.06453524023926	18.75129860603899	0.0	2.5938575232274235	0.0	1.1702556421666686	756	host	gene-PA4350
gene-PA4552	278.2710204728509	326.44109901195134	838.2723104082252	529.2366518568444	24.18592787391791	14.261500273163144	5.779510568876341	10.723797157309107	825	host	pilW
gene-PA2565	92.0081955359392	101.96649503440095	115.27204868518805	113.14163834967749	4.460851888214235	6.904775660422296	3.1979183228189014	2.0767917030000036	426	host	gene-PA2565
gene-PA0312	1255.6131411579859	865.8294382395842	462.95117734576536	492.5795677455478	38.3903617046316	15.846111414625714	4.128221834911672	19.66029478840003	495	host	gene-PA0312
gene-PA0824	113.28176675812166	150.6510759005369	70.96227274550593	76.47928495041104	7.323016972559786	13.224175349633454	11.811964209718369	6.818599348578045	519	host	gene-PA0824
gene-PA0348	43.4653197698155	44.95837790192583	82.21686760103367	54.373628615429226	2.6031820607935128	4.477069149680211	2.488243297754981	1.6159146401424684	1095	host	gene-PA0348
gene-PA0221	30.365270606066076	14.657222858162626	20.712295081901107	26.650435676088385	1.3740584991896343	1.4179004248444915	0.0	0.6397059041778752	1383	host	gene-PA0221
gene-PA2064	22.901251123756996	17.765941466116487	37.6578932054372	34.78768526666374	0.0	2.005067778691137	0.0	0.904614790877302	978	host	pcoB
gene-PA0274	32.68106556279329	18.779821394143887	31.84558543442938	18.38648734911216	1.2323754243704697	0.0	0.0	2.294976045338525	771	host	gene-PA0274
