Geneid	0_R1	0_R2	0_R3	0_R4	5_R1	5_R2	5_R3	15_R1	15_R2	15_R3	25_R1	25_R2	25_R3	Entity	Symbol
gene-PA1567	30	25	34	48	54	26	58	24	6	12	15	0	2	host	gene-PA1567
gene-PA1486	13	13	12	19	25	13	19	13	1	5	29	3	3	host	gene-PA1486
gene-PA5453	183	115	153	137	159	130	232	46	30	62	34	9	13	host	gmd
gene-PA0025	202	190	213	405	385	149	326	125	41	84	72	10	17	host	aroE
gene-PA0156	201	126	204	284	449	171	204	137	32	56	77	7	13	host	gene-PA0156
gene-PA2349	2	4	13	1	3	4	2	7	4	5	26	1	1	host	gene-PA2349
gene-PA4305	47	27	41	43	46	35	55	6	11	12	41	7	6	host	rcpC
gene-PA0239	30	38	47	61	42	28	39	12	8	12	48	2	4	host	gene-PA0239
gene-PA1698	97	58	70	138	73	30	103	17	6	15	6	0	2	host	popN
gene-PA1866	199	156	242	258	275	193	264	104	43	85	78	11	17	host	gene-PA1866
gene-PA2019	75	87	94	176	204	79	205	52	40	72	78	14	19	host	gene-PA2019
gene-PA0125	107	59	113	132	61	43	48	13	6	5	29	2	0	host	gene-PA0125
gene-EST35_0377	0	0	0	0	1177	6480	276	4329	17882	14039	907	5183	11847	phage	gene-EST35_0377
gene-PA1671	41	37	38	71	132	54	72	55	13	27	39	3	7	host	stk1
gene-PA1922	7	5	11	7	15	10	14	4	0	3	38	1	1	host	gene-PA1922
gene-PA0288	33	20	44	33	49	21	29	23	5	10	57	0	1	host	gpuA
gene-PA0203	12	3	23	13	38	16	20	13	7	4	78	7	2	host	gene-PA0203
gene-PA2987	186	146	252	465	347	161	370	89	31	106	25	9	14	host	gene-PA2987
gene-PA3669	116	82	161	131	202	128	158	77	19	29	32	12	9	host	gene-PA3669
gene-PA3881	41	30	61	77	68	38	70	8	7	17	19	4	7	host	gene-PA3881
gene-PA0617	68	20	22	43	78	89	53	34	32	18	24	9	4	host	gene-PA0617
gene-EST35_0013	0	0	0	0	748	1237	126	2606	1057	839	1503	540	823	phage	gene-EST35_0013
gene-PA2152	40	20	48	67	61	36	80	22	6	18	77	1	2	host	gene-PA2152
gene-PA0568	46	27	40	71	75	27	70	21	11	24	32	3	2	host	gene-PA0568
gene-PA4153	19	15	31	31	64	33	71	9	11	23	25	7	2	host	gene-PA4153
gene-PA5466	25	23	50	66	64	35	61	14	13	10	38	4	3	host	gene-PA5466
gene-PA5354	10	6	15	15	30	10	12	5	1	3	30	1	0	host	glcE
gene-PA2771	268	132	257	233	298	138	157	116	36	40	41	6	14	host	gene-PA2771
gene-PA0066	148	111	220	175	203	138	154	72	43	48	91	13	5	host	gene-PA0066
gene-PA3172	65	44	48	82	106	74	98	26	18	41	38	15	10	host	gene-PA3172
gene-PA3505	19	12	32	21	46	16	37	14	3	10	21	1	1	host	gene-PA3505
gene-PA1564	73	52	102	137	61	26	107	16	15	32	6	1	10	host	gene-PA1564
gene-PA4550	139	88	172	152	201	87	203	79	22	65	28	6	7	host	fimU
gene-PA5545	140	148	259	155	95	74	164	30	21	43	64	13	7	host	gene-PA5545
gene-PA2230	80	68	95	139	145	52	122	57	24	43	34	4	8	host	gene-PA2230
gene-PA0813	31	15	18	41	41	27	40	30	14	5	21	3	5	host	gene-PA0813
gene-PA4877	27	9	27	43	74	27	47	15	10	19	10	3	2	host	gene-PA4877
gene-EST35_0409	0	0	0	0	565	3599	356	1474	5923	4071	1379	4481	4646	phage	gene-EST35_0409
gene-EST35_0461	0	0	0	0	1	166	12	0	1700	1165	0	551	1088	phage	gene-EST35_0461
gene-PA3075	84	63	151	180	186	88	198	52	33	58	54	5	12	host	gene-PA3075
gene-PA1284	49	31	49	44	92	51	47	30	18	20	51	5	3	host	gene-PA1284
gene-EST35_0307	0	0	0	0	725	652	25	2040	1719	1269	3374	3115	3224	phage	gene-EST35_0307
gene-PA0675	2	3	13	2	3	2	1	4	2	0	26	1	1	host	vreI
gene-PA3915	16	17	24	29	27	12	50	10	2	3	25	2	0	host	moaB1
gene-PA4636	272	246	395	396	428	243	280	140	90	147	82	22	21	host	gene-PA4636
gene-PA3604	355	253	460	462	287	207	286	74	58	112	21	14	15	host	erdR
gene-PA0339	86	76	97	156	153	77	104	53	15	24	25	3	1	host	gene-PA0339
gene-PA1660	46	27	45	81	78	31	149	19	8	12	30	1	0	host	gene-PA1660
gene-PA4695	237	216	333	328	171	183	352	50	52	67	38	16	27	host	ilvH
gene-PA2548	26	10	33	36	45	20	33	15	2	6	28	3	3	host	gene-PA2548
gene-PA0823	23	24	32	28	21	22	47	9	9	20	4	3	2	host	gene-PA0823
gene-PA1869	34	27	61	53	60	32	34	14	6	13	7	0	3	host	gene-PA1869
gene-PA4908	15	7	12	17	17	9	21	10	2	4	32	0	0	host	gene-PA4908
gene-PA4346	21	11	12	34	42	17	86	15	4	9	7	1	2	host	gene-PA4346
gene-PA4079	476	285	465	695	437	224	372	156	35	83	54	8	12	host	gene-PA4079
gene-PA2670	9	4	14	5	7	4	17	3	2	3	38	1	0	host	gene-PA2670
gene-PA0190	28	21	40	27	47	18	30	24	9	5	33	7	0	host	gene-PA0190
gene-PA3519	2	1	11	4	10	4	4	1	4	2	36	3	1	host	gene-PA3519
gene-PA0884	41	29	64	39	46	38	40	7	10	7	44	6	4	host	gene-PA0884
gene-PA2979	128	120	156	175	180	130	188	68	23	55	33	8	6	host	kdsB
gene-PA5344	477	381	686	677	343	258	501	49	52	103	64	10	13	host	oxyR
gene-PA0318	368	239	376	475	373	225	360	95	65	109	72	16	16	host	gene-PA0318
gene-PA1797a	90	55	116	117	331	117	262	122	69	152	41	23	23	host	gene-PA1797a
gene-EST35_0019	0	0	0	0	184	1900	95	1328	3715	2561	788	1079	2191	phage	gene-EST35_0019
gene-PA1014	417	281	584	458	347	199	289	90	63	98	51	20	17	host	gene-PA1014
gene-PA2660	56	64	95	188	178	75	112	36	24	41	28	3	5	host	gene-PA2660
gene-PA2156	3	0	15	14	12	4	10	6	1	4	16	1	1	host	gene-PA2156
gene-PA5408	102	88	81	215	149	76	118	40	12	27	21	0	6	host	gene-PA5408
gene-PA0850	28	11	30	40	30	35	28	9	5	5	10	5	1	host	gene-PA0850
gene-PA1728	90	55	109	95	105	111	182	20	31	62	14	12	32	host	gene-PA1728
gene-PA2801	100	64	122	112	88	67	63	18	16	20	10	3	1	host	gene-PA2801
gene-PA1392	28	11	65	35	41	30	58	6	7	14	23	2	6	host	gene-PA1392
gene-PA4358	128	90	120	263	209	110	321	63	20	28	72	6	9	host	gene-PA4358
gene-PA1867	3	4	6	10	9	8	5	4	2	1	10	0	0	host	xphA
gene-EST35_0337	0	0	0	0	1638	770	14	5232	4583	5218	1039	833	2490	phage	gene-EST35_0337
gene-PA2255	3	10	19	10	28	10	19	11	2	1	18	2	2	host	pvcB
gene-PA1715	92	58	66	120	86	46	156	35	6	24	15	4	3	host	pscB
gene-PA1550	155	116	198	291	336	139	430	96	46	117	21	11	19	host	gene-PA1550
gene-PA2879	72	60	87	104	102	71	104	24	11	29	57	7	3	host	gene-PA2879
gene-PA4782	447	310	442	441	171	54	124	60	12	33	14	5	5	host	gene-PA4782
gene-PA2516	9	7	17	9	13	6	14	2	1	0	18	0	2	host	xylZ
gene-PA3487	158	126	256	245	236	120	157	50	34	61	108	14	18	host	pldA
gene-PA2633	33	22	53	70	53	46	61	13	15	40	21	7	9	host	gene-PA2633
gene-PA2473	3	3	3	5	4	8	7	1	0	1	14	0	0	host	gene-PA2473
gene-PA3290	154	134	253	202	211	147	194	76	72	46	119	29	18	host	gene-PA3290
gene-PA4653	16	16	43	26	76	38	46	26	6	14	82	3	4	host	gene-PA4653
gene-PA0269	20	10	24	14	15	11	18	4	6	12	6	2	3	host	gene-PA0269
gene-EST35_0301	0	0	0	0	13	60	16	98	64	37	253	144	96	phage	gene-EST35_0301
gene-PA3103	204	121	212	289	223	104	214	44	31	68	56	13	10	host	xcpR
gene-PA4203	47	37	73	71	72	44	43	31	8	9	43	2	7	host	gene-PA4203
gene-PA2217	15	22	24	34	40	13	9	18	4	8	28	1	0	host	gene-PA2217
gene-PA5189	100	78	135	174	100	77	106	58	23	44	30	10	7	host	gene-PA5189
gene-PA1842	92	81	137	116	141	92	111	24	33	46	21	2	5	host	gene-PA1842
gene-PA3908	104	88	129	252	214	97	190	57	17	74	48	6	7	host	gene-PA3908
gene-PA0129	136	76	153	195	289	115	257	142	46	84	106	14	22	host	gabP
gene-PA1780	1	1	1	0	3	5	8	1	1	1	5	0	3	host	nirD
gene-PA4876	87	45	93	96	174	87	125	38	31	77	21	19	13	host	osmE
gene-PA3441	49	21	48	39	38	23	50	11	10	15	19	1	3	host	gene-PA3441
gene-PA4190	110	89	97	216	125	47	87	32	22	52	45	6	5	host	pqsL
gene-PA5287	465	314	450	536	444	216	375	118	30	103	97	14	11	host	amtB
gene-EST35_0170	0	0	0	0	316	899	34	12024	11241	6525	13512	5065	9961	phage	gene-EST35_0170
gene-PA2394	7	8	29	9	19	9	15	4	2	5	29	1	4	host	pvdN
gene-PA0918	76	81	144	143	96	98	121	18	26	42	14	8	8	host	gene-PA0918
gene-PA5421	109	74	157	139	167	79	154	60	39	43	59	11	18	host	fdhA
gene-PA0676	30	17	46	43	60	21	41	18	6	8	19	4	1	host	vreR
gene-PA3114	350	241	410	472	336	208	403	79	37	92	35	13	9	host	truA
gene-EST35_0110	0	0	0	0	68	530	7	6721	4580	4464	1949	1525	3048	phage	gene-EST35_0110
gene-PA1203	26	12	17	9	10	18	28	4	3	12	15	0	3	host	gene-PA1203
gene-PA2294	10	11	10	5	9	5	14	1	1	0	18	2	0	host	gene-PA2294
gene-PA4637a	71	66	138	135	85	102	146	21	40	47	8	15	18	host	gene-PA4637a
gene-PA5115	8	1	15	13	11	8	15	11	4	7	21	1	1	host	gene-PA5115
gene-EST35_0185	0	0	0	0	63	121	13	13700	3567	2135	12193	3672	6149	phage	gene-EST35_0185
gene-PA1960	70	54	64	120	184	71	130	57	29	48	25	4	11	host	gene-PA1960
gene-PA2813	203	119	195	216	271	161	207	149	30	45	55	10	5	host	gene-PA2813
gene-PA4398	129	124	205	189	124	98	172	45	34	49	71	9	9	host	gene-PA4398
gene-PA1251	50	31	67	107	152	62	96	54	15	42	50	9	6	host	gene-PA1251
gene-PA2652	284	319	445	873	325	188	384	76	38	140	45	15	14	host	gene-PA2652
gene-PA1476	127	114	122	207	268	159	271	64	46	97	19	9	12	host	ccmB
gene-PA3474	93	70	139	117	99	87	111	29	16	36	34	4	7	host	gene-PA3474
gene-PA4701	391	270	413	577	273	220	255	64	66	127	74	21	14	host	gene-PA4701
gene-PA3882	29	23	31	66	45	29	40	16	8	6	22	6	4	host	gene-PA3882
gene-PA2765	293	225	340	451	292	184	277	76	49	64	32	7	10	host	gene-PA2765
gene-PA1396	199	151	220	329	183	72	170	48	7	26	41	6	4	host	gene-PA1396
gene-PA4218	137	118	180	161	162	156	193	85	90	235	48	17	39	host	gene-PA4218
gene-PA1030	135	74	168	146	209	168	179	78	59	60	87	27	37	host	gene-PA1030
gene-PA4131	90	51	104	99	136	88	112	59	11	44	65	11	8	host	gene-PA4131
gene-PA5195	67	64	88	124	82	58	69	15	7	15	31	4	6	host	gene-PA5195
gene-PA1634	30	20	28	33	27	23	27	10	5	5	34	4	0	host	kdpB
gene-PA3719	7	9	14	23	16	19	17	0	4	7	7	0	0	host	armR
gene-PA5431	30	26	50	69	96	32	53	45	4	10	66	1	2	host	gene-PA5431
gene-PA0110	22	16	21	34	48	24	40	16	2	9	19	5	0	host	gene-PA0110
gene-PA2776	238	99	126	131	255	130	175	61	54	91	39	27	30	host	gene-PA2776
gene-PA1716	138	92	157	210	183	106	318	54	21	46	59	8	6	host	pscC
gene-PA1865	69	60	82	86	111	71	102	35	16	38	39	7	9	host	gene-PA1865
gene-PA4207	107	72	176	150	135	155	105	55	47	47	99	11	10	host	mexI
gene-PA3020	142	131	225	288	170	148	203	34	23	55	45	10	9	host	gene-PA3020
gene-PA0955	549	460	722	792	772	377	503	249	99	269	62	30	44	host	gene-PA0955
gene-PA4213	3	2	4	1	7	3	9	4	0	0	20	1	0	host	phzD1
gene-PA4860	10	10	26	10	21	6	11	7	1	2	25	5	1	host	gene-PA4860
gene-PA2990	460	263	388	469	550	260	498	157	85	151	39	21	19	host	gene-PA2990
gene-PA3458	45	28	52	99	46	38	116	6	8	22	23	6	4	host	gene-PA3458
gene-PA3286	390	285	450	533	268	179	385	63	51	107	29	18	14	host	gene-PA3286
gene-PA0655	209	198	306	342	297	209	286	109	65	136	57	26	20	host	gene-PA0655
gene-PA5140	456	280	467	615	491	243	413	134	53	118	59	15	13	host	hisF1
gene-PA2705	131	63	139	120	148	111	120	32	23	38	44	7	2	host	gene-PA2705
gene-PA1606	11	1	17	14	7	11	19	3	0	4	15	2	0	host	gene-PA1606
gene-PA1903	17	17	23	24	40	20	24	11	8	7	30	1	3	host	phzE2
gene-PA5551	145	108	169	234	202	130	147	62	24	68	35	9	5	host	gene-PA5551
gene-PA2553	63	33	64	69	92	132	165	63	45	97	34	16	15	host	gene-PA2553
gene-PA5132	23	33	75	77	37	37	98	15	5	22	33	2	1	host	gene-PA5132
gene-PA0611	217	170	349	262	242	146	215	59	18	48	83	11	19	host	prtR
gene-PA0925	43	35	64	96	58	47	77	12	15	41	19	5	5	host	gene-PA0925
gene-PA1169	62	31	71	72	70	46	84	23	16	30	55	8	7	host	gene-PA1169
gene-PA0930	82	62	97	133	82	102	112	33	13	36	28	4	4	host	gene-PA0930
gene-PA2577	16	19	42	28	19	24	34	4	11	9	20	1	4	host	gene-PA2577
gene-PA2607	17	9	31	37	31	33	25	8	12	18	3	1	5	host	gene-PA2607
gene-PA3087	201	158	216	300	242	158	245	68	25	46	29	4	7	host	gene-PA3087
gene-PA1149	1	3	5	3	2	4	5	0	0	2	9	1	0	host	gene-PA1149
gene-PA0780	178	145	214	231	243	98	126	94	19	40	67	7	1	host	pruR
gene-PA0331	573	381	561	763	631	358	489	183	101	187	111	16	20	host	ilvA1
gene-PA4902	21	10	34	34	32	17	15	10	2	6	66	2	1	host	gene-PA4902
gene-PA4206	40	40	84	66	47	74	54	23	18	29	39	13	4	host	mexH
gene-PA1923	18	18	43	32	70	14	29	16	8	12	80	3	1	host	gene-PA1923
gene-PA3711	85	57	78	108	140	63	88	42	20	33	38	7	6	host	gene-PA3711
gene-PA1060	138	111	125	180	202	131	200	83	43	102	29	8	14	host	gene-PA1060
gene-PA1124	128	86	173	146	120	103	123	55	26	31	52	6	12	host	dgt
gene-PA0290	93	74	99	94	71	49	103	23	16	29	39	6	5	host	gene-PA0290
gene-PA2118	65	49	68	101	164	45	96	81	11	16	39	0	7	host	ada
gene-PA1402	4	5	12	7	15	10	25	1	3	4	30	3	3	host	gene-PA1402
gene-PA3416	2	3	18	7	18	56	40	5	20	25	22	6	11	host	gene-PA3416
gene-PA0863	65	54	48	83	86	47	72	20	10	20	31	1	7	host	gene-PA0863
gene-PA4890	173	166	235	361	96	55	166	24	9	37	36	5	2	host	desT
gene-PA1940	64	37	76	51	73	53	79	41	24	23	32	5	6	host	gene-PA1940
gene-PA1116	252	179	289	310	267	129	211	93	56	93	34	13	14	host	gene-PA1116
gene-PA2865	310	249	387	578	333	167	459	75	58	115	76	12	15	host	gene-PA2865
gene-PA1241	50	44	74	80	81	50	84	21	18	30	32	0	5	host	gene-PA1241
gene-PA4836	13	4	15	15	10	16	15	2	2	5	33	3	1	host	gene-PA4836
gene-PA3432	17	16	29	37	25	36	62	7	4	5	12	3	1	host	gene-PA3432
gene-PA0126	103	141	188	342	188	92	100	28	16	50	25	12	5	host	gene-PA0126
gene-PA4189	13	8	19	20	21	14	18	11	4	7	52	1	2	host	gene-PA4189
gene-PA4548	291	173	253	232	280	176	292	80	43	111	58	11	5	host	gene-PA4548
gene-PA1009	152	153	223	247	167	144	160	54	36	103	37	15	10	host	gene-PA1009
gene-PA0825	8	7	17	6	11	10	9	2	0	6	20	1	1	host	gene-PA0825
gene-EST35_0445	0	0	0	0	395	973	114	2756	3076	2002	903	893	1923	phage	gene-EST35_0445
gene-PA3202	346	249	393	492	388	213	275	130	39	101	22	14	14	host	gene-PA3202
gene-PA4367	184	157	288	292	215	130	224	38	36	67	68	11	12	host	bifA
gene-PA2886	52	45	82	77	72	44	45	22	17	11	34	5	1	host	atuA
gene-PA5156	110	95	205	218	199	105	163	41	18	53	73	3	2	host	gene-PA5156
gene-PA3754	120	96	195	159	114	94	153	24	24	35	27	5	6	host	gene-PA3754
gene-PA1400	44	35	63	62	119	49	78	36	15	17	70	8	3	host	gene-PA1400
gene-PA2657	84	71	90	148	130	100	151	30	26	40	15	12	11	host	gene-PA2657
gene-PA1265	10	3	25	27	40	7	15	10	2	4	15	1	1	host	gene-PA1265
gene-PA0401	284	246	306	633	462	268	430	126	70	144	70	17	21	host	gene-PA0401
gene-PA4622	37	30	51	69	29	26	62	9	2	7	56	1	1	host	gene-PA4622
gene-PA3922	71	76	92	55	48	47	49	12	21	30	32	11	1	host	gene-PA3922
gene-PA1061	51	34	69	79	85	43	69	45	17	27	35	2	2	host	gene-PA1061
gene-PA1615	97	55	99	107	131	78	106	68	23	51	22	7	13	host	gene-PA1615
gene-PA2375	8	6	16	14	18	10	24	8	4	13	12	0	3	host	gene-PA2375
gene-PA0894	198	125	215	242	232	117	208	179	39	63	44	5	5	host	gene-PA0894
gene-PA4211	7	3	11	9	11	13	4	6	6	4	28	2	2	host	phzB1
gene-PA1142	133	104	137	130	261	55	98	102	17	39	72	4	9	host	gene-PA1142
gene-PA2560	51	34	52	67	103	76	102	27	25	62	16	12	7	host	gene-PA2560
gene-PA2978	215	159	235	269	275	181	335	125	36	106	44	12	14	host	ptpA
gene-PA3440	64	54	135	102	62	44	47	8	15	35	25	7	7	host	gene-PA3440
gene-PA1747	5	3	6	4	20	12	74	6	7	10	7	4	5	host	gene-PA1747
gene-PA2779	39	23	39	48	93	82	125	17	57	107	20	23	38	host	gene-PA2779
gene-PA0279	99	65	96	157	154	52	93	73	13	22	27	3	5	host	gene-PA0279
gene-PA1749	429	286	499	491	367	226	403	81	51	120	28	11	18	host	gene-PA1749
gene-PA4796	34	31	79	78	96	86	283	32	16	36	28	9	13	host	gene-PA4796
gene-PA1514	16	24	46	25	40	15	25	5	3	8	16	0	2	host	gene-PA1514
gene-PA2601	46	36	40	70	95	55	73	35	9	17	25	5	6	host	gene-PA2601
gene-PA0186	78	40	64	61	78	46	46	27	10	8	49	0	1	host	gene-PA0186
gene-PA0542	149	137	191	282	163	100	194	41	16	62	18	9	15	host	gene-PA0542
gene-PA4628	237	233	337	452	294	235	365	58	83	191	89	14	20	host	lysP
gene-PA1952	1	5	2	7	23	7	14	11	1	3	25	0	0	host	gene-PA1952
gene-PA1982	25	20	28	28	48	9	19	18	8	6	60	7	2	host	exaA
gene-PA4532	56	52	65	76	47	51	92	9	10	28	32	5	7	host	gene-PA4532
gene-PA4891	23	19	31	55	8	9	32	5	1	2	34	3	1	host	ureE
gene-PA0511	16	13	23	45	72	14	360	24	4	12	68	2	4	host	nirJ
gene-PA3667	79	84	111	168	137	122	182	39	24	34	38	16	11	host	gene-PA3667
gene-PA3943	99	64	75	157	224	122	253	81	34	73	56	11	9	host	gene-PA3943
gene-PA3130	72	51	71	99	70	62	84	30	15	34	19	5	4	host	gene-PA3130
gene-PA3364	86	54	83	61	64	59	144	24	10	42	42	5	5	host	amiC
gene-PA0902	316	236	321	461	353	151	237	108	30	43	51	10	9	host	gene-PA0902
gene-PA2115	47	36	46	57	50	17	43	8	11	14	21	1	4	host	gene-PA2115
gene-PA2155	4	1	14	6	14	5	6	2	4	2	26	0	0	host	gene-PA2155
gene-PA2589	15	12	13	26	37	13	25	6	5	5	39	1	0	host	gene-PA2589
gene-PA2514	20	1	8	10	10	11	13	8	2	4	15	4	1	host	antC
gene-PA1823	407	307	398	481	580	247	444	224	54	133	57	16	9	host	gene-PA1823
gene-PA3393	18	14	10	22	71	13	241	43	5	6	69	1	6	host	nosD
gene-PA1790	286	205	321	483	448	252	445	170	82	148	54	12	20	host	gene-PA1790
gene-PA4008	34	28	44	51	45	26	56	13	6	7	36	1	2	host	gene-PA4008
gene-PA1690	43	31	45	57	36	26	49	6	5	15	23	1	1	host	pscU
gene-PA4026	49	62	72	46	40	53	63	5	17	30	31	7	8	host	gene-PA4026
gene-EST35_0189	0	0	0	0	1465	3404	193	6763	7700	6758	22756	6578	8136	phage	gene-EST35_0189
gene-PA3314	131	152	211	301	279	115	147	75	21	54	35	6	2	host	gene-PA3314
gene-PA4182	20	16	48	34	61	37	45	14	14	20	16	8	0	host	gene-PA4182
gene-PA5056	122	94	176	154	158	100	145	26	38	60	97	15	9	host	phaC1
gene-PA0585	14	4	23	15	23	9	18	7	2	3	17	2	2	host	gene-PA0585
gene-PA1718	36	25	28	42	40	22	44	12	3	11	6	2	1	host	pscE
gene-PA0570	21	17	21	24	12	12	18	7	1	5	4	1	2	host	gene-PA0570
gene-PA3796	117	67	89	99	245	127	146	96	63	105	40	16	18	host	gene-PA3796
gene-PA4702	43	36	47	64	47	50	82	21	11	32	19	14	2	host	gene-PA4702
gene-PA3910	27	16	30	24	33	23	52	14	9	13	42	2	0	host	eddA
gene-PA4200	57	30	49	70	78	41	52	26	9	15	43	4	9	host	gene-PA4200
gene-PA0995	85	77	141	105	106	70	126	30	21	44	33	8	7	host	ogt
gene-PA4088	6	1	12	6	19	3	9	8	3	2	33	0	1	host	gene-PA4088
gene-PA2187	2	4	6	0	12	6	15	2	0	1	25	1	1	host	gene-PA2187
gene-PA1470	32	27	46	35	51	42	54	20	9	13	10	3	1	host	gene-PA1470
gene-PA2751	35	20	33	40	46	20	60	14	11	21	34	4	10	host	gene-PA2751
gene-PA4074	26	26	29	31	63	20	36	19	8	13	20	0	5	host	gene-PA4074
gene-PA5366	78	71	134	114	107	47	92	16	17	43	39	7	9	host	pstB
gene-PA2464	253	183	278	446	193	75	139	41	11	26	19	1	2	host	gene-PA2464
