Geneid	0_R1	0_R2	0_R3	5_R1	5_R2	5_R3	10_R1	10_R2	10_R3	15_R1	15_R2	15_R3	Entity	Symbol
gene-PA3303a	9	11	3	9	7	61	0	1	5	0	0	67	host	gene-PA3303a
gene-PA3368	12	16	23	13	26	91	3	5	12	2	0	103	host	gene-PA3368
gene-PA1542	8	12	23	6	25	145	6	2	16	1	1	78	host	gene-PA1542
gene-PA0516	12	7	32	4	5	237	3	1	19	1	1	478	host	nirF
gene-PA0955	211	183	66	206	289	230	40	45	16	29	18	158	host	gene-PA0955
gene-PA1947	74	52	22	69	89	96	12	9	13	2	4	171	host	rbsA
gene-PA3110	95	118	58	170	263	124	47	40	10	20	12	76	host	gene-PA3110
gene-PA0542	182	101	132	51	88	185	14	16	18	6	5	217	host	gene-PA0542
gene-PA5193	121	140	50	71	127	216	21	23	22	21	10	342	host	yrfI
gene-PA2231	45	60	52	47	75	254	11	7	33	4	7	233	host	pslA
gene-PA1870	3	13	6	2	9	71	1	2	8	4	0	93	host	gene-PA1870
gene-PA4977	45	48	32	37	88	181	4	5	32	1	3	260	host	aruI
gene-PA2659	75	86	21	57	68	81	14	25	7	5	7	50	host	gene-PA2659
gene-PA0358	17	23	24	32	51	140	10	15	20	4	2	137	host	gene-PA0358
gene-PA2692	45	21	9	25	24	79	9	5	6	7	0	198	host	gene-PA2692
gene-PA2922	3	1	22	0	3	167	0	0	16	0	1	214	host	gene-PA2922
gene-PA5149.1	105	156	20	29	56	197	6	9	41	5	6	75	host	gene-PA5149.1
gene-PA3314	19	17	12	8	15	38	6	5	5	5	3	91	host	gene-PA3314
gene-PA0710	3	5	134	3	0	70	0	0	38	0	0	143	host	gloA2
gene-PA4439	163	140	66	115	137	224	25	26	31	13	12	231	host	trpS
gene-PA0332	29	42	6	27	37	52	7	10	3	4	1	39	host	gene-PA0332
gene-PA4721	117	144	44	54	71	163	7	11	14	6	6	215	host	gene-PA4721
gene-PA2102	29	44	37	14	19	100	2	1	15	1	1	34	host	gene-PA2102
gene-PA2936	1	3	6	1	5	70	0	0	7	0	2	73	host	gene-PA2936
gene-PA5408	64	21	8	17	22	44	4	4	3	1	0	91	host	gene-PA5408
gene-PA1373	19	8	23	15	16	99	3	8	11	4	1	155	host	fabF2
gene-PA3109	61	71	20	66	117	82	20	22	12	11	10	95	host	gene-PA3109
gene-PA0499	37	27	40	15	20	245	5	4	26	4	3	217	host	gene-PA0499
gene-PA2932	11	5	24	1	4	120	2	2	20	1	0	238	host	morB
gene-PA2109	48	2	4	53	15	39	6	5	8	1	2	117	host	gene-PA2109
gene-PA1364	81	51	14	5	6	87	1	4	19	1	1	176	host	gene-PA1364
gene-PA0163	24	17	33	6	10	213	3	2	16	3	1	400	host	gene-PA0163
gene-PA2021	5	8	2	4	8	27	4	2	1	0	0	65	host	gene-PA2021
gene-PA3208	40	30	7	29	32	35	9	7	7	7	0	49	host	gene-PA3208
gene-PA2258	8	11	13	4	11	129	0	4	9	0	0	170	host	ptxR
gene-PA3581	24	31	20	44	74	160	5	5	18	3	0	307	host	glpF
gene-PA4926	29	19	19	13	23	134	1	4	26	1	2	160	host	gene-PA4926
gene-PA1885	29	19	17	3	6	36	2	3	6	0	0	94	host	gene-PA1885
gene-PA2060	4	3	12	3	1	99	0	2	11	0	0	166	host	gene-PA2060
gene-PA2916	2	1	7	1	0	66	1	0	5	0	1	103	host	gene-PA2916
gene-PA1009	72	56	34	52	53	198	8	17	17	3	5	168	host	gene-PA1009
gene-PA3833	32	34	176	16	27	79	5	5	10	2	2	71	host	gene-PA3833
gene-PA0195.1	8	12	18	2	7	105	2	0	8	1	1	126	host	pntAB
gene-PA0155	17	4	39	8	4	261	6	3	31	4	1	322	host	pcaR
gene-PA4459	120	138	72	88	146	293	35	46	29	22	19	102	host	gene-PA4459
gene-PA0580	124	137	58	100	174	176	37	51	24	21	12	237	host	gcp
gene-PA3915	2	4	35	3	6	146	3	1	31	1	0	190	host	moaB1
gene-PA0831	64	44	23	15	25	196	8	12	20	6	6	319	host	oruR
gene-PA2083	13	12	39	8	9	164	1	0	15	1	1	188	host	gene-PA2083
gene-PA5052	20	28	45	24	30	89	6	7	13	5	4	114	host	gene-PA5052
gene-PA0361	74	69	42	62	92	205	14	16	26	11	5	343	host	gene-PA0361
gene-PA5439	120	74	47	29	37	250	13	12	27	4	7	427	host	gene-PA5439
gene-PA3424	12	16	24	14	19	118	5	5	28	3	2	165	host	gene-PA3424
gene-PA2905	1	2	4	1	8	43	1	1	3	0	0	61	host	cobH
gene-PA3302	136	97	64	93	117	147	33	23	16	8	11	139	host	gene-PA3302
gene-PA3602	35	70	46	27	42	271	7	8	43	5	2	358	host	gene-PA3602
gene-PA0207	16	12	37	4	7	168	4	0	11	1	1	351	host	gene-PA0207
gene-PA2257	2	0	1	2	2	21	0	0	4	0	0	40	host	pvcD
gene-PA2882	9	11	10	9	13	105	2	7	10	2	2	207	host	gene-PA2882
gene-PA3446	5	3	23	1	4	157	1	0	11	2	2	222	host	gene-PA3446
gene-PA0511	6	5	33	1	2	139	1	0	23	0	0	369	host	nirJ
gene-PA0940	38	21	6	37	24	55	12	17	7	1	3	21	host	gene-PA0940
gene-PA4807	88	56	20	41	45	148	6	9	16	6	6	311	host	selB
gene-PA4840	31	43	20	22	37	91	11	18	10	20	7	96	host	gene-PA4840
gene-PA0326	4	6	55	3	6	367	0	2	32	1	1	186	host	gene-PA0326
gene-PA3336	10	19	99	2	27	124	1	8	11	3	1	204	host	gene-PA3336
gene-PA1116	51	71	43	61	86	205	22	27	18	12	16	159	host	gene-PA1116
gene-PA2115	37	23	22	18	27	93	9	8	12	3	2	100	host	gene-PA2115
gene-PA0220	43	28	65	9	9	313	2	10	24	2	3	454	host	gene-PA0220
gene-PA4350	15	6	37	5	5	81	0	2	9	0	1	123	host	gene-PA4350
gene-PA4552	82	93	70	169	154	235	21	12	27	7	10	173	host	pilW
gene-PA2565	14	15	8	12	17	59	2	3	8	2	1	78	host	gene-PA2565
gene-PA0312	222	148	32	56	86	88	20	8	5	3	11	89	host	gene-PA0312
gene-PA0824	21	27	23	9	14	101	4	7	12	9	4	69	host	gene-PA0824
gene-PA0348	17	17	11	22	21	165	3	5	22	4	2	294	host	gene-PA0348
gene-PA0221	15	7	29	7	13	218	2	2	28	0	1	382	host	gene-PA0221
gene-PA2064	8	6	11	9	12	78	0	2	11	0	1	182	host	pcoB
gene-PA0274	9	5	18	6	5	141	1	0	14	0	2	339	host	gene-PA0274
gene-PA1325	5	4	6	7	11	64	2	5	6	1	0	160	host	gene-PA1325
gene-PA0076	26	40	26	20	42	63	4	9	11	3	6	138	host	gene-PA0076
gene-PA0859	16	19	5	18	54	48	5	8	11	3	2	117	host	gene-PA0859
gene-PA1231	3	7	4	0	6	83	1	2	5	0	0	129	host	gene-PA1231
gene-PA3597	16	21	34	7	18	279	4	4	42	1	0	242	host	gene-PA3597
gene-PA0846	34	33	51	33	53	221	8	6	45	4	1	108	host	gene-PA0846
gene-PA4049	55	44	21	45	70	157	15	15	11	8	5	202	host	gene-PA4049
gene-PA1640	142	148	67	59	107	168	25	23	21	6	5	252	host	gene-PA1640
gene-PA3456	19	21	28	16	26	120	3	3	22	3	1	176	host	gene-PA3456
gene-PA2229	36	13	19	15	14	114	3	2	10	1	2	184	host	gene-PA2229
gene-PA3223	5	6	19	23	30	115	1	3	13	2	1	81	host	azoR3
gene-PA2028	6	15	39	8	11	186	2	2	23	3	0	131	host	gene-PA2028
gene-PA2845	8	2	4	3	1	37	0	0	0	0	0	55	host	gene-PA2845
gene-PA1473	7	14	9	13	8	52	0	1	9	1	1	125	host	gene-PA1473
gene-PA0142	12	17	37	20	28	222	6	4	29	3	3	417	host	gene-PA0142
gene-PA3668	61	41	11	22	36	46	6	5	6	5	0	48	host	gene-PA3668
gene-PA5085	69	54	30	24	29	112	6	8	48	2	2	162	host	gene-PA5085
gene-PA1275	3	6	10	4	5	39	1	0	13	0	0	74	host	cobD
gene-PA1303	42	48	16	58	116	69	5	6	7	2	1	216	host	gene-PA1303
gene-PA4445	63	81	22	38	61	210	11	17	12	10	4	223	host	gene-PA4445
gene-PA2096	16	14	16	8	7	96	1	4	14	1	2	183	host	gene-PA2096
gene-PA2656	75	93	36	77	123	170	16	21	23	8	7	229	host	gene-PA2656
gene-PA3555	2	2	10	1	0	46	0	0	8	0	0	109	host	arnD
gene-PA0935	352	219	102	146	199	226	37	36	34	25	16	164	host	gene-PA0935
gene-PA2628	25	33	26	14	35	114	1	10	9	7	1	249	host	gene-PA2628
gene-PA1296	68	59	38	43	61	219	12	12	18	8	6	331	host	gene-PA1296
gene-PA1115	63	71	126	44	46	329	2	11	41	1	4	331	host	gene-PA1115
gene-PA2051	2	2	5	0	2	40	0	0	4	2	1	152	host	gene-PA2051
gene-PA2885	76	47	32	14	20	118	5	5	9	2	2	239	host	atuR
gene-PA0109	34	27	35	12	15	78	4	4	4	1	2	43	host	gene-PA0109
gene-PA3674	40	37	41	21	31	196	4	6	19	2	1	173	host	gene-PA3674
gene-PA3131	159	143	15	43	51	99	7	13	10	7	5	74	host	gene-PA3131
gene-PA1868	18	12	24	10	46	154	3	2	21	2	3	266	host	xqhA
gene-PA3918	59	42	69	17	36	133	12	7	14	10	3	108	host	moaC
gene-PA5234	49	29	106	25	34	246	5	11	69	0	1	256	host	gene-PA5234
gene-PA4770	110	68	107	46	54	441	9	8	46	6	5	454	host	lldP
gene-PA1979	4	6	5	1	2	39	2	1	4	1	0	108	host	eraS
gene-PA5382	11	8	14	2	10	119	2	1	16	0	3	324	host	gene-PA5382
gene-PA1986	23	19	34	19	23	98	3	1	13	1	3	221	host	pqqB
gene-PA0507	40	29	56	23	25	272	4	3	49	2	3	472	host	gene-PA0507
gene-PA2513	3	1	8	5	3	138	1	0	11	0	0	168	host	antB
gene-PA3659	81	56	46	62	57	210	7	17	32	4	9	394	host	gene-PA3659
gene-PA3767	276	241	80	49	60	121	5	10	13	2	0	170	host	gene-PA3767
gene-PA3381	2	0	16	1	1	94	2	1	8	0	0	179	host	gene-PA3381
gene-PA0819	10	5	19	4	8	153	1	2	19	2	2	97	host	gene-PA0819
gene-PA0524	16	16	54	5	11	303	6	1	32	1	2	278	host	norB
gene-PA2752	16	8	12	5	11	68	1	1	10	0	0	84	host	gene-PA2752
gene-PA0243	37	40	31	16	34	149	8	5	21	3	2	113	host	gene-PA0243
gene-PA2806	42	35	13	22	48	104	11	8	12	8	1	130	host	gene-PA2806
gene-PA1784	5	11	24	5	10	174	2	1	18	2	5	124	host	gene-PA1784
gene-PA1228	4	8	8	5	6	37	1	0	10	0	0	56	host	gene-PA1228
gene-PA0276	14	8	20	5	7	84	1	6	17	4	1	92	host	gene-PA0276
gene-PA2879	31	20	30	11	12	113	0	2	12	2	2	135	host	gene-PA2879
gene-PA1125	67	46	10	30	47	72	8	10	6	3	1	102	host	gene-PA1125
gene-PA1875	51	49	58	28	45	200	6	20	12	8	6	255	host	gene-PA1875
gene-PA1360	34	25	26	29	43	147	13	9	14	5	6	125	host	gene-PA1360
gene-PA3197	112	87	33	62	68	125	9	16	18	4	1	224	host	gene-PA3197
gene-PA2875	109	89	12	35	44	118	8	6	15	4	5	119	host	gene-PA2875
gene-PA2434	43	22	8	25	35	50	4	3	4	0	3	103	host	gene-PA2434
gene-PA1494	20	13	28	29	27	161	8	8	16	2	4	222	host	gene-PA1494
gene-PA0308	101	88	38	47	67	165	9	12	32	4	2	246	host	gene-PA0308
gene-PA1246	128	165	55	73	123	135	9	11	22	6	1	322	host	aprD
gene-PA0205	23	17	55	7	9	358	1	5	30	0	2	415	host	gene-PA0205
gene-PA4125	5	2	11	5	6	145	1	1	9	0	0	192	host	hpcD
gene-PA4175	143	144	179	132	252	274	24	47	44	16	12	246	host	piv
gene-PA3052	37	34	34	26	40	145	2	3	23	4	2	199	host	gene-PA3052
gene-PA2117	136	43	21	56	44	106	20	19	9	11	9	105	host	gene-PA2117
gene-PA1305	36	36	19	52	67	104	9	11	12	5	4	212	host	gene-PA1305
gene-PA0282	8	10	20	7	6	172	0	2	24	5	1	360	host	cysT
gene-PA3479	17	125	49	8	89	189	3	26	18	24	2	118	host	rhlA
gene-PA2146	0	1	6	1	1	47	0	0	4	0	0	36	host	gene-PA2146
gene-PA4991	88	57	47	94	87	187	25	18	17	5	11	277	host	gene-PA4991
gene-PA1332	22	23	29	12	26	100	3	4	13	2	0	235	host	gene-PA1332
gene-PA4004	153	207	32	181	276	172	29	38	14	17	8	254	host	gene-PA4004
gene-PA4345	37	16	27	16	24	138	6	6	22	5	2	246	host	gene-PA4345
gene-PA1129	10	14	7	5	9	50	0	1	9	0	0	59	host	gene-PA1129
gene-PA0105	118	80	70	85	100	295	16	20	38	5	1	189	host	coxB
gene-PA1147	12	13	15	14	15	123	3	2	24	3	1	181	host	gene-PA1147
gene-PA5499	73	49	42	26	44	103	11	8	22	5	9	76	host	np20
gene-PA0211	9	4	20	11	46	110	2	2	9	1	1	316	host	mdcD
gene-PA2219	10	10	27	6	9	158	1	4	15	1	1	204	host	opdE
gene-PA1016	32	28	20	5	10	123	2	4	19	4	2	254	host	gene-PA1016
gene-PA1368	32	47	52	14	21	210	4	9	26	5	3	136	host	gene-PA1368
gene-PA1950	219	139	33	68	93	68	17	17	8	12	10	104	host	rbsK
gene-PA2687	186	166	35	21	47	138	9	8	20	6	2	250	host	pfeS
gene-PA2234	32	42	44	64	82	139	8	14	15	9	4	72	host	pslD
gene-PA2821	96	96	33	61	98	92	14	16	14	6	2	166	host	gene-PA2821
gene-PA0021	7	14	8	5	5	60	0	0	5	0	2	108	host	gene-PA0021
gene-PA2771	73	71	45	45	63	222	19	14	25	29	7	135	host	gene-PA2771
gene-PA2698	26	11	17	19	25	131	5	2	9	0	2	160	host	gene-PA2698
gene-PA2524	105	66	25	38	52	160	9	16	16	6	2	254	host	gene-PA2524
gene-PA0124	17	22	17	5	13	105	3	3	13	2	3	104	host	gene-PA0124
gene-PA2537	27	17	30	33	48	129	19	22	20	10	4	208	host	gene-PA2537
gene-PA5097	26	7	33	18	9	294	2	3	34	2	3	481	host	gene-PA5097
gene-PA1230	1	4	13	1	5	65	0	1	8	1	0	51	host	gene-PA1230
gene-PA1126	65	72	22	33	47	112	11	18	15	4	2	109	host	gene-PA1126
gene-PA2577	17	16	21	7	22	94	1	5	13	1	2	50	host	gene-PA2577
gene-PA1461	258	231	83	210	294	168	17	25	17	10	14	146	host	motD
gene-PA3826	28	38	18	36	59	123	4	12	11	9	3	105	host	gene-PA3826
gene-PA2310	7	4	13	6	6	112	1	1	10	0	0	216	host	gene-PA2310
gene-PA4699	305	202	62	160	215	136	46	55	20	23	22	133	host	gene-PA4699
gene-PA0989	171	122	60	40	64	193	11	15	24	10	11	98	host	gene-PA0989
gene-PA4144	10	12	257	2	18	165	0	5	68	2	2	298	host	gene-PA4144
gene-PA3075	50	43	30	34	58	242	5	12	26	2	5	340	host	gene-PA3075
gene-PA4930	85	85	28	46	80	167	19	23	21	13	13	258	host	alr
gene-PA4869	31	41	64	11	40	244	7	6	38	7	4	234	host	gene-PA4869
gene-PA1386	8	21	50	6	24	343	2	2	37	2	3	148	host	gene-PA1386
gene-PA2315	5	1	13	4	3	74	0	1	9	0	0	139	host	gene-PA2315
gene-PA1521	34	14	39	22	37	234	8	6	31	0	1	344	host	gene-PA1521
gene-PA4220	140	118	18	202	211	59	28	13	7	5	5	88	host	gene-PA4220
gene-PA4023	108	76	41	246	227	284	17	13	31	4	6	423	host	gene-PA4023
gene-PA1132	39	45	35	47	73	184	15	23	24	15	4	145	host	gene-PA1132
gene-PA4050	60	58	26	80	127	132	19	23	13	25	14	204	host	pgpA
gene-PA0443	4	14	50	4	10	413	0	1	47	0	0	521	host	gene-PA0443
gene-PA0324	50	38	87	9	12	312	3	6	35	1	1	189	host	gene-PA0324
gene-PA1941	37	42	65	29	21	285	6	6	50	6	4	367	host	gene-PA1941
gene-PA3771	20	15	24	8	11	259	2	3	27	2	2	311	host	gene-PA3771
gene-PA3574a	57	39	20	28	31	93	7	1	3	1	1	112	host	gene-PA3574a
gene-PA0194	3	4	39	6	3	194	0	1	30	1	0	334	host	gene-PA0194
gene-PA5260	171	185	149	177	224	207	33	55	15	25	18	203	host	hemC
gene-PA2019	44	60	10	38	51	86	10	10	5	4	1	146	host	gene-PA2019
gene-PA3819	115	144	92	105	145	192	35	34	12	21	12	159	host	gene-PA3819
gene-PA1492	7	6	5	12	10	102	1	5	5	2	0	75	host	gene-PA1492
gene-PA3331	9	46	162	8	67	231	2	14	21	6	1	185	host	gene-PA3331
gene-PA0756	31	36	7	13	27	103	3	5	10	5	2	212	host	gene-PA0756
gene-PA4821	12	19	26	8	13	129	6	4	24	7	4	200	host	gene-PA4821
gene-PA4679	45	45	28	26	46	65	4	8	6	10	2	116	host	gene-PA4679
gene-PA2136	0	2	18	2	0	88	0	0	9	0	0	132	host	gene-PA2136
gene-PA2221	18	17	21	5	15	156	4	5	13	2	0	76	host	gene-PA2221
gene-PA1165	21	14	15	11	21	39	2	2	8	1	0	54	host	pcpS
gene-PA1757	54	62	36	39	62	147	18	25	22	14	11	39	host	thrH
gene-PA3347	53	73	33	42	62	79	8	8	9	4	1	74	host	gene-PA3347
gene-PA1185	7	6	18	2	3	90	1	4	5	1	0	90	host	gene-PA1185
gene-PA0196	52	39	84	13	35	358	5	2	28	4	5	524	host	pntB
gene-PA5160.1	6	12	8	1	1	92	0	1	12	0	1	64	host	gene-PA5160.1
gene-PA2405	84	71	22	75	110	84	8	4	8	0	3	159	host	gene-PA2405
gene-PA0247	6	13	31	5	10	236	3	5	27	1	2	247	host	pobA
gene-PA1898	9	16	39	7	17	129	1	7	20	0	0	94	host	qscR
gene-PA3440a	30	31	19	31	24	96	12	5	8	3	5	217	host	gene-PA3440a
gene-PA0293	26	20	42	18	14	163	3	5	18	1	1	245	host	aguB
gene-PA3880	7	1	20	2	2	100	1	0	6	0	1	147	host	gene-PA3880
gene-PA2635	22	26	30	17	30	179	4	10	35	2	4	284	host	gene-PA2635
gene-PA2981	224	305	37	185	271	123	43	46	10	25	21	152	host	lpxK
gene-PA0357	123	118	29	80	105	152	16	24	16	14	9	422	host	mutM
gene-PA2361	148	139	58	96	101	299	25	22	26	8	10	435	host	gene-PA2361
gene-PA1878	21	16	11	9	23	97	3	6	8	0	1	212	host	gene-PA1878
gene-PA0116	72	66	59	26	51	166	16	7	16	15	7	177	host	gene-PA0116
gene-PA3789	59	83	44	71	116	179	21	30	28	19	8	180	host	gene-PA3789
gene-PA4884	5	4	16	1	3	159	0	1	14	1	0	354	host	gene-PA4884
gene-PA3584	19	24	29	57	141	183	12	10	24	2	3	372	host	glpD
gene-PA4171	8	9	17	7	6	91	0	0	8	1	0	144	host	gene-PA4171
gene-PA1313	12	8	32	6	7	184	2	2	21	3	0	236	host	gene-PA1313
gene-PA0774	61	62	228	49	90	146	15	28	18	15	5	296	host	gene-PA0774
gene-PA1048	285	345	81	126	240	248	50	45	38	20	17	433	host	gene-PA1048
gene-PA4712	21	11	25	12	13	125	3	9	13	2	3	99	host	gene-PA4712
gene-PA1851	30	33	21	23	26	147	6	10	26	4	2	139	host	gene-PA1851
gene-PA2758	28	20	15	7	8	118	6	0	14	1	0	162	host	gene-PA2758
gene-PA1205	122	87	44	55	68	166	8	7	15	1	4	281	host	gene-PA1205
gene-PA5073	54	57	24	29	36	140	5	8	9	6	1	219	host	gene-PA5073
gene-PA4357	4	5	26	1	7	50	0	0	0	0	0	75	host	gene-PA4357
gene-PA1157	70	80	25	32	61	105	17	24	11	17	11	136	host	gene-PA1157
gene-PA3619	52	31	56	5	25	283	5	8	29	6	0	457	host	gene-PA3619
gene-PA3973	38	32	31	19	36	70	2	5	11	4	2	112	host	gene-PA3973
gene-PA0942	107	107	42	52	63	187	13	20	38	6	3	34	host	gene-PA0942
gene-PA1285	22	14	9	3	3	57	2	3	8	0	1	87	host	gene-PA1285
gene-PA3618	80	68	6	30	31	52	9	9	8	2	4	73	host	gene-PA3618
gene-PPLUZ19_gp46	0	0	0	125	234	24997	21	143	4511	2561	1666	44311	phage	gp46
gene-PA0448	63	35	30	13	29	168	8	6	15	9	5	275	host	gene-PA0448
gene-PA5177	101	66	20	53	82	193	14	15	17	9	7	212	host	gene-PA5177
gene-PA3788	20	32	29	16	32	102	6	8	16	3	2	133	host	gene-PA3788
gene-PA1227	28	12	16	11	19	53	3	0	8	1	1	57	host	gene-PA1227
gene-PA2255	9	4	9	2	4	54	0	0	6	2	2	50	host	pvcB
gene-PA1149	4	5	12	2	2	159	0	0	13	0	0	189	host	gene-PA1149
gene-PA1164	98	84	35	31	52	116	13	10	16	9	12	211	host	gene-PA1164
gene-PA2358	7	4	5	1	4	72	0	2	10	0	0	66	host	gene-PA2358
gene-PA2934	4	7	22	10	14	142	2	1	13	1	1	98	host	cif
gene-PA0005	31	57	27	70	111	235	22	32	22	12	8	427	host	lptA
gene-PA0374	155	185	58	216	285	208	43	43	18	27	18	151	host	ftsE
gene-PA0350	68	67	16	15	34	102	14	13	11	13	2	151	host	folA
gene-PA3576	63	53	15	17	23	79	4	6	14	7	0	133	host	gene-PA3576
gene-PA3004	294	277	79	111	163	193	35	33	21	21	15	111	host	gene-PA3004
gene-PA4510	90	53	30	31	40	96	3	7	11	2	3	167	host	gene-PA4510
gene-PA1991	50	44	18	32	53	190	9	7	14	2	5	231	host	gene-PA1991
gene-PA2556	344	215	53	78	107	149	12	11	19	8	4	299	host	gene-PA2556
gene-PA5384	4	4	9	2	3	74	0	1	8	6	0	180	host	gene-PA5384
gene-PA0927	39	55	141	29	33	128	6	8	21	11	5	197	host	ldhA
gene-PA1825	98	68	9	16	31	88	8	9	9	5	2	234	host	gene-PA1825
gene-PA1694	54	15	28	24	16	153	14	5	5	1	3	121	host	pscQ
gene-PA2769	80	52	22	40	49	72	16	14	13	12	7	177	host	gene-PA2769
